epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
48,191900,0.917579,0.914627,-19.186204,19.0727,19.0725,12.3345,12.2790,0.3772,0.1369,363.26,409.5,2,0,192000,92.7,0.701013,0.573709,0.124525
49,195900,0.875559,0.875307,-19.663054,19.5290,19.5289,12.6750,12.4196,0.3718,0.1413,,,0,0,196000,95.7,0.662462,0.544572,0.115036
50,199900,,,,,,,,,,112.62,108.0,1,0,200000,96.0,,,
51,203900,0.901317,0.893134,-20.093839,19.9726,19.9726,13.0851,12.5185,0.3777,0.1393,795.27,960.4,24,9,204000,101.7,0.674997,0.553170,0.117302
52,207900,1.033208,1.031698,-20.565954,20.4439,20.4442,13.4930,13.3967,0.3958,0.1406,801.55,969.0,32,7,208000,104.8,0.696150,0.568301,0.121700
53,211900,1.075594,1.060907,-20.979911,20.8743,20.8740,13.6700,13.4184,0.4121,0.1354,722.35,878.8,38,11,212000,108.0,0.682810,0.556305,0.118162
54,215900,1.252252,1.234701,-21.478700,21.3559,21.3558,15.3812,15.0334,0.4054,0.1492,131.76,163.8,19,3,216000,111.0,0.696589,0.565867,0.120969
55,219900,,,,,,,,,,66.53,58.0,5,1,220000,111.3,,,
56,223900,1.302787,1.273471,-21.890030,21.7997,21.7999,16.1748,15.7061,0.4204,0.1539,208.08,207.2,5,0,224000,114.3,0.695387,0.564845,0.120701
57,227900,1.297025,1.286626,-22.339101,22.2003,22.2000,16.5959,16.4349,0.3898,0.1529,215.89,240.1,8,3,228000,117.4,0.684295,0.556337,0.118135
58,231900,1.309451,1.297725,-22.789490,22.6313,22.6314,15.8354,15.4949,0.4076,0.1517,332.21,264.0,1,0,232000,120.4,0.684845,0.556549,0.118214
59,235900,1.352418,1.348038,-23.218214,23.0586,23.0586,17.2255,17.0459,0.4018,0.1545,112.22,140.5,2,1,236000,123.5,0.687205,0.558078,0.118665
60,239900,,,,,,,,,,269.00,295.0,1,0,240000,123.8,,,
61,243900,1.394614,1.370245,-23.622256,23.4648,23.4651,16.3696,15.9199,0.4023,0.1531,,,0,0,244000,129.7,0.693414,0.562735,0.120006
62,247900,1.384951,1.364265,-24.074798,23.8913,23.8915,16.6933,16.1698,0.3917,0.1464,948.66,1001.0,1,1,248000,132.8,0.689923,0.560016,0.119194
63,251900,1.430406,1.412895,-24.506841,24.3137,24.3133,18.0555,17.6701,0.4179,0.1567,367.09,471.0,1,0,252000,135.9,0.693999,0.563159,0.120196
64,255900,1.472089,1.459011,-24.872650,24.7317,24.7320,18.1351,17.5997,0.4113,0.1501,,,0,0,256000,139.0,0.690411,0.560489,0.119350
65,259900,,,,,,,,,,489.85,540.0,2,1,260000,139.3,,,
66,263900,1.377586,1.366808,-25.245448,25.1206,25.1211,16.7498,16.4560,0.4147,0.1601,569.76,568.0,1,0,264000,142.4,0.691265,0.560910,0.119462
67,267900,1.446696,1.433652,-25.644973,25.4897,25.4893,17.6955,17.3663,0.4083,0.1538,,,0,0,268000,145.4,0.699668,0.567469,0.121384
68,271900,1.427916,1.420543,-26.050811,25.8913,25.8915,17.1334,17.0657,0.4191,0.1592,794.99,1001.0,1,1,272000,148.6,0.694705,0.563621,0.120284
69,275900,1.510528,1.487574,-26.376559,26.2070,26.2069,18.2455,17.8636,0.4357,0.1597,266.62,270.0,2,0,276000,151.7,0.696021,0.564426,0.120488
70,279900,,,,,,,,,,473.40,402.0,1,0,280000,152.0,,,
71,283900,1.324185,1.322796,-26.711790,26.5876,26.5873,17.6499,17.2043,0.4215,0.1573,797.53,1001.0,1,0,284000,158.4,0.699566,0.567135,0.121315
72,287900,1.535919,1.511205,-27.048771,26.9178,26.9179,17.8405,17.2993,0.4282,0.1678,811.00,922.7,3,0,288000,161.4,0.692569,0.561825,0.119686
73,291900,1.372388,1.362306,-27.399615,27.2732,27.2731,17.6281,17.2724,0.4297,0.1811,567.49,674.0,3,0,292000,164.5,0.691750,0.561128,0.119526
74,295900,1.494089,1.477668,-27.726812,27.6013,27.6011,19.1085,19.0297,0.4636,0.1812,,,0,0,296000,167.5,0.685584,0.556711,0.118190
75,299900,,,,,,,,,,478.72,549.5,2,1,300000,167.8,,,
76,303900,1.537852,1.516240,-28.091649,27.9843,27.9849,19.0875,18.6097,0.4436,0.1747,827.37,1001.0,13,2,304000,170.9,0.694218,0.562949,0.120031
77,307900,1.535040,1.523231,-28.423555,28.3064,28.3059,18.7954,18.5947,0.4519,0.1867,813.61,1001.0,19,6,308000,174.0,0.678737,0.551133,0.116612
78,311900,1.693142,1.683252,-28.762052,28.6402,28.6400,19.9029,19.5222,0.4506,0.1886,739.91,895.0,27,4,312000,177.1,0.673521,0.546415,0.115247
79,315900,1.599837,1.560255,-29.124154,29.0062,29.0064,19.4616,18.5674,0.4557,0.1926,651.96,823.8,16,3,316000,180.1,0.677343,0.548974,0.116003
80,319900,,,,,,,,,,806.49,1001.0,4,1,320000,180.4,,,
81,323900,1.780037,1.762041,-29.488909,29.3919,29.3922,20.6045,20.2912,0.4479,0.1992,829.98,1001.0,3,0,324000,187.3,0.679942,0.550814,0.116526
82,327900,1.897557,1.866147,-29.899334,29.7645,29.7643,20.4802,20.0913,0.4667,0.2066,557.57,683.5,11,3,328000,190.4,0.677611,0.548803,0.116009
83,331900,1.822517,1.815024,-30.236169,30.0941,30.0942,21.5907,20.9818,0.4605,0.2012,823.69,1001.0,1,0,332000,193.5,0.675513,0.547349,0.115446
84,335900,1.752888,1.731318,-30.551073,30.4279,30.4279,20.9779,20.4843,0.4686,0.2063,694.62,780.7,3,1,336000,196.5,0.678501,0.549454,0.116029
85,339900,,,,,,,,,,539.01,765.0,1,1,340000,196.8,,,
86,343900,1.847854,1.838357,-30.869187,30.7531,30.7528,22.1447,21.8869,0.4665,0.2040,,,0,0,344000,199.8,0.687207,0.555679,0.117871
87,347900,1.801510,1.787299,-31.172627,31.0313,31.0318,21.2151,20.5863,0.4760,0.2074,306.55,271.5,2,1,348000,202.9,0.686679,0.555417,0.117815
88,351900,1.902091,1.889704,-31.542581,31.3873,31.3868,22.2961,21.8895,0.4875,0.2145,,,0,0,352000,205.9,0.682849,0.552643,0.117012
89,355900,1.981785,1.965036,-31.925445,31.7630,31.7639,23.2343,23.0332,0.4665,0.2153,274.94,178.0,1,1,356000,209.0,0.691088,0.558663,0.118741
90,359900,,,,,,,,,,823.12,1001.0,2,1,360000,209.3,,,
91,363900,1.874587,1.844818,-32.268492,32.1002,32.1001,22.7143,22.1551,0.4809,0.2238,,,0,0,364000,216.6,0.684614,0.553888,0.117394
92,367900,2.100788,2.114493,-32.572246,32.4345,32.4340,22.9398,23.3546,0.4820,0.2237,502.23,582.5,2,0,368000,219.7,0.671950,0.544140,0.114598
93,371900,2.075720,2.053664,-32.993747,32.8019,32.8016,25.4117,24.9067,0.5391,0.2314,567.50,593.6,11,2,372000,222.9,0.681424,0.551524,0.116651
94,375900,1.996037,1.993165,-33.373804,33.1821,33.1822,25.7511,24.9011,0.5196,0.2367,425.75,524.2,6,1,376000,226.0,0.680463,0.550499,0.116377
95,379900,,,,,,,,,,526.65,541.3,7,2,380000,226.3,,,
96,383900,2.145975,2.124535,-33.727043,33.5104,33.5105,26.1660,25.5440,0.5099,0.2452,237.66,270.4,5,1,384000,229.4,0.686441,0.554853,0.117601
97,387900,2.242961,2.209926,-34.061052,33.8514,33.8520,26.5048,25.8392,0.5174,0.2466,673.52,601.7,3,0,388000,232.4,0.683084,0.552263,0.116887
98,391900,2.196868,2.179529,-34.463988,34.2491,34.2487,26.0411,25.1694,0.5101,0.2543,791.50,836.0,5,0,392000,235.5,0.680469,0.550532,0.116257
99,395900,2.176267,2.156220,-34.791456,34.5952,34.5959,25.7002,25.1826,0.5223,0.2417,293.44,238.0,7,2,396000,238.5,0.674880,0.546138,0.115121
100,399900,,,,,,,,,,488.90,493.7,3,0,400000,238.8,,,
101,403900,2.169018,2.146331,-35.166275,34.9694,34.9695,27.6481,26.5781,0.5685,0.2466,687.10,777.5,13,3,404000,246.6,0.679779,0.549633,0.116158
102,407900,2.430962,2.416854,-35.539015,35.3287,35.3291,28.5561,27.9318,0.5481,0.2531,722.36,812.9,17,3,408000,249.6,0.678911,0.549017,0.115830
103,411900,2.613742,2.575395,-36.021440,35.7853,35.7850,29.7359,29.1522,0.5696,0.2690,772.91,776.2,21,9,412000,252.7,0.679296,0.548754,0.115875
104,415900,2.959564,2.883727,-36.415566,36.1831,36.1840,35.4221,33.7922,0.5839,0.2739,532.04,543.0,22,10,416000,255.8,0.692484,0.558102,0.118619
105,419900,,,,,,,,,,380.63,410.8,9,2,420000,256.1,,,
106,423900,3.073406,3.017712,-36.834217,36.6143,36.6134,35.3951,34.0591,0.5874,0.2696,262.31,253.9,7,1,424000,259.2,0.700789,0.564325,0.120426
107,427900,2.963357,2.929530,-37.254995,37.0154,37.0161,32.5265,32.0192,0.5966,0.2690,584.86,604.4,13,5,428000,262.3,0.697333,0.561598,0.119685
108,431900,2.936693,2.934413,-37.599568,37.3899,37.3901,34.6569,33.8502,0.5992,0.2658,672.48,726.0,3,0,432000,265.3,0.694690,0.559734,0.119003
109,435900,2.900344,2.877027,-37.993208,37.7879,37.7876,36.0442,35.4176,0.6076,0.2828,350.26,312.0,4,1,436000,268.4,0.701562,0.564627,0.120464
110,439900,,,,,,,,,,717.87,635.0,2,0,440000,268.6,,,
111,443900,3.179441,3.183001,-38.362534,38.1307,38.1305,36.5446,35.9152,0.5977,0.2794,315.20,191.0,1,1,444000,276.8,0.706228,0.568018,0.121486
112,447900,2.941368,2.883888,-38.701425,38.4939,38.4942,36.4507,34.7146,0.6329,0.2878,693.67,586.0,2,1,448000,279.8,0.684104,0.551439,0.116721
113,451900,3.035781,3.002861,-39.121037,38.8570,38.8564,36.3576,35.2745,0.6416,0.2888,723.45,374.0,1,0,452000,282.9,0.700540,0.563757,0.120274
114,455900,3.089551,3.071362,-39.423635,39.2075,39.2081,37.7993,37.2469,0.6137,0.2746,943.43,1001.0,1,0,456000,285.9,0.710132,0.571039,0.122335
115,459900,,,,,,,,,,651.23,481.7,6,0,460000,286.3,,,
116,463900,3.382608,3.394027,-39.735545,39.5064,39.5064,40.2642,40.6686,0.6469,0.2920,419.16,253.5,4,0,464000,289.4,0.701141,0.564318,0.120366
117,467900,3.240327,3.191770,-40.098584,39.8539,39.8539,38.2484,36.9729,0.6413,0.2835,1174.38,1001.0,1,0,468000,292.4,0.695708,0.560200,0.119205
118,471900,3.546407,3.560872,-40.369944,40.1449,40.1453,39.9116,39.7901,0.6440,0.2925,991.23,1001.0,5,2,472000,295.5,0.692620,0.557931,0.118505
119,475900,3.263795,3.218996,-40.674895,40.4452,40.4455,37.5498,36.6206,0.6222,0.2972,816.66,1001.0,3,1,476000,298.6,0.696044,0.560424,0.119358
120,479900,,,,,,,,,,830.46,1001.0,3,1,480000,298.9,,,
121,483900,3.211892,3.183969,-41.088165,40.8298,40.8297,40.5733,40.0432,0.6367,0.2854,525.21,550.5,2,0,484000,307.5,0.690076,0.556037,0.117975
122,487900,3.360924,3.353985,-41.534822,41.2282,41.2275,41.3228,40.6452,0.6416,0.2966,1021.92,1001.0,2,0,488000,310.7,0.699567,0.562983,0.120032
123,491900,3.396302,3.363855,-41.820886,41.6009,41.6011,39.4121,37.9612,0.6363,0.2939,1126.64,1001.0,2,0,492000,313.7,0.698143,0.561931,0.119724
