epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,0,0,4000,0.2
2,7900,,,,,,,,,0,0,8000,0.5
3,11900,0.110657,-1.606988,0.6130,0.7620,0.0672,0.0021,,,0,0,12000,2.2
4,15900,0.159966,-1.857758,1.4178,1.8573,0.1182,0.0037,,,0,0,16000,3.8
5,19900,,,,,,,,,0,0,20000,3.9
6,23900,0.175748,-2.163099,1.5896,2.8574,0.1420,0.0117,,,0,0,24000,5.5
7,27900,0.250231,-3.238518,2.5099,3.3884,0.2921,0.0148,,,0,0,28000,7.0
8,31900,0.252584,-3.985476,3.2810,4.1521,0.3328,0.0161,,,0,0,32000,8.6
9,35900,0.274454,-4.437446,3.7634,4.5690,0.3588,0.0188,,,0,0,36000,10.1
10,39900,,,,,,,,,0,0,40000,10.2
11,43900,0.249162,-4.681800,4.0057,4.5830,0.3595,0.0198,,,0,0,44000,11.8
12,47900,0.233206,-4.824314,4.1794,4.4726,0.3428,0.0206,,,0,0,48000,13.4
13,51900,0.269112,-5.091654,4.3086,4.9610,0.3089,0.0214,,,0,0,52000,15.0
14,55900,0.253216,-5.455721,4.7375,4.1692,0.3030,0.0205,,,0,0,56000,16.5
15,59900,,,,,,,,,0,0,60000,16.7
16,63900,0.275805,-5.615474,4.9576,4.7204,0.3266,0.0211,,,0,0,64000,18.2
17,67900,0.272058,-5.831893,5.1669,4.5882,0.3311,0.0240,,,0,0,68000,19.8
18,71900,0.307194,-6.199821,5.5492,4.5984,0.3248,0.0255,,,0,0,72000,21.3
19,75900,0.341379,-6.736717,6.0728,5.1012,0.3002,0.0264,,,0,0,76000,22.9
20,79900,,,,,,,,,0,0,80000,23.1
21,83900,0.412854,-7.550126,6.8455,6.5514,0.3316,0.0296,,,0,0,84000,24.7
22,87900,0.466420,-8.467982,7.7527,7.6571,0.3507,0.0331,,,0,0,88000,26.4
23,91900,0.484783,-9.570162,8.8245,8.3707,0.3866,0.0356,,,0,0,92000,28.2
24,95900,0.500942,-10.742939,9.9740,8.8229,0.4133,0.0405,,,0,0,96000,30.0
25,99900,,,,,,,-94.41,1000.0,100,51,100000,30.2
26,103900,1.069862,-12.128309,11.3453,12.8963,0.4498,0.0458,,,0,0,104000,31.9
27,107900,1.069515,-13.953611,13.1975,12.4378,0.4755,0.0490,,,0,0,108000,33.8
28,111900,1.060018,-15.189706,14.4265,11.6172,0.4749,0.0522,,,0,0,112000,35.5
29,115900,1.071473,-16.317333,15.5433,10.3571,0.5260,0.0538,,,0,0,116000,37.2
30,119900,,,,,,,,,0,0,120000,37.4
31,123900,1.120486,-17.564933,16.8237,11.1250,0.5675,0.0582,,,0,0,124000,39.1
32,127900,1.100517,-19.280359,18.5517,10.6419,0.5698,0.0608,,,0,0,128000,40.7
33,131900,1.116132,-21.131942,20.3912,10.3536,0.5619,0.0643,,,0,0,132000,42.3
34,135900,1.117614,-23.053491,22.2975,10.0865,0.5935,0.0679,,,0,0,136000,43.9
35,139900,,,,,,,,,0,0,140000,44.0
36,143900,1.133183,-25.001071,24.2343,10.2852,0.6172,0.0716,,,0,0,144000,45.6
37,147900,1.189519,-27.017556,26.2502,10.4826,0.6286,0.0756,,,0,0,148000,47.1
38,151900,1.224372,-29.073535,28.2957,10.1853,0.6179,0.0780,,,0,0,152000,48.7
39,155900,1.280127,-31.232004,30.4274,11.3169,0.6528,0.0836,,,0,0,156000,50.3
40,159900,,,,,,,,,0,0,160000,50.5
41,163900,1.338582,-33.497853,32.6803,11.1999,0.6894,0.0891,,,0,0,164000,52.2
42,167900,1.426784,-35.842839,35.0134,11.4009,0.7098,0.0941,,,0,0,168000,53.8
43,171900,1.527151,-38.246548,37.4003,12.2994,0.7385,0.1005,,,0,0,172000,55.6
44,175900,1.663413,-40.780990,39.8919,12.5526,0.7508,0.1071,,,0,0,176000,57.2
45,179900,,,,,,,,,0,0,180000,57.3
46,183900,1.676941,-43.413739,42.5156,12.8923,0.7838,0.1122,,,0,0,184000,58.9
47,187900,1.674026,-46.002583,45.0919,13.6232,0.8179,0.1132,,,0,0,188000,60.5
48,191900,1.878569,-48.695662,47.7973,14.3230,0.7826,0.1213,,,0,0,192000,62.1
49,195900,1.908243,-51.404455,50.5034,14.1713,0.8340,0.1295,,,0,0,196000,63.6
50,199900,,,,,,,,,0,0,200000,63.8
51,203900,5.177059,-54.019366,53.1269,17.9021,0.8892,0.1343,1078.13,1001.0,100,48,204000,65.4
52,207900,5.823268,-57.023905,56.1486,18.0764,0.8757,0.1383,,,0,0,208000,67.0
53,211900,5.882283,-60.217720,59.3175,17.6967,0.8633,0.1452,,,0,0,212000,68.7
54,215900,6.094048,-63.420217,62.5063,17.9789,0.8966,0.1548,,,0,0,216000,70.5
55,219900,,,,,,,,,0,0,220000,70.7
56,223900,5.615722,-66.528757,65.6047,18.5163,0.8926,0.1592,,,0,0,224000,72.3
57,227900,6.124846,-69.744338,68.8367,18.0699,0.9052,0.1627,,,0,0,228000,73.9
58,231900,6.339327,-72.850209,71.9399,19.1471,0.9529,0.1688,,,0,0,232000,75.4
59,235900,6.480822,-75.983627,75.0929,19.3371,0.9546,0.1761,,,0,0,236000,77.2
60,239900,,,,,,,,,0,0,240000,77.3
61,243900,6.284228,-79.166176,78.2726,19.5193,0.9786,0.1819,,,0,0,244000,79.0
62,247900,6.645517,-82.336748,81.4383,20.3233,0.9853,0.1944,,,0,0,248000,80.6
