epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
68,271900,17745.476533,-4389.934230,4387.4158,137059.9096,4.4919,0.5120,,,0,0,272000,137.0
69,275900,20624.364606,-4433.366330,4430.8118,171046.4012,6.1038,0.5206,,,0,0,276000,139.4
70,279900,,,,,,,,,0,0,280000,140.0
71,283900,20291.494724,-4478.954622,4476.3634,172207.8035,6.6782,0.5476,,,0,0,284000,142.4
72,287900,21817.830228,-4522.820541,4520.1433,176900.4101,7.8234,0.6194,,,0,0,288000,144.8
73,291900,21778.988397,-4575.081350,4572.1623,200775.8851,8.6618,0.6300,,,0,0,292000,147.3
74,295900,21976.924985,-4627.488799,4624.4866,175971.6480,7.9860,0.6264,,,0,0,296000,149.7
75,299900,,,,,,,,,0,0,300000,150.3
76,303900,21804.633312,-4687.723206,4684.4680,190327.5263,7.7319,0.6483,59107.73,1001.0,100,42,304000,152.7
77,307900,30744.424105,-4747.812100,4744.1635,176543.0048,7.5960,0.6222,,,0,0,308000,155.1
78,311900,29136.557488,-4807.146084,4803.0999,164573.8502,8.2362,0.5934,,,0,0,312000,157.4
79,315900,30990.710232,-4870.198343,4865.9740,162385.9626,9.0982,0.6341,,,0,0,316000,159.8
80,319900,,,,,,,,,0,0,320000,160.4
81,323900,29852.239468,-4937.449695,4932.9474,187857.6335,10.8528,0.6325,,,0,0,324000,162.7
82,327900,30689.152828,-5001.987010,4997.2538,182210.1301,10.1260,0.6586,,,0,0,328000,165.1
83,331900,29915.030088,-5071.128802,5066.1660,165322.9600,9.7885,0.7298,,,0,0,332000,167.5
84,335900,31206.379065,-5135.543825,5130.3256,175901.1502,9.9189,0.7126,,,0,0,336000,170.0
85,339900,,,,,,,,,0,0,340000,170.6
86,343900,31107.849962,-5201.673479,5196.1739,183500.1566,8.5823,0.7670,,,0,0,344000,173.0
87,347900,29612.406936,-5264.302161,5258.4490,182998.6225,8.4846,0.7699,,,0,0,348000,175.4
88,351900,33451.458229,-5331.984765,5325.8778,174295.9405,8.6898,0.7782,,,0,0,352000,177.8
89,355900,30034.830417,-5397.026763,5390.9846,178878.9975,8.0603,0.7352,,,0,0,356000,180.2
90,359900,,,,,,,,,0,0,360000,180.8
91,363900,29721.648143,-5459.332215,5452.8924,173351.1230,7.3933,0.7357,,,0,0,364000,183.2
92,367900,31859.947208,-5518.186828,5511.8184,156769.0498,7.5239,0.7208,,,0,0,368000,185.5
93,371900,27994.518960,-5583.569797,5576.9450,157259.7341,7.3207,0.8591,,,0,0,372000,187.9
