epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
42,167900,170.526633,174.369830,-91.318601,89.4328,89.4350,1299.8885,2002.3233,2.8462,0.1527,256.83,52.1,77,40,168000,82.1,0.678050,0.578611,0.049720
43,171900,175.102136,177.860312,-92.691142,90.8258,90.8305,1368.4884,1900.9137,2.9427,0.1644,239.12,48.6,86,39,172000,84.5,0.683583,0.583095,0.050244
44,175900,182.822621,184.702615,-94.131078,92.2560,92.2633,1365.1242,1963.9391,2.8523,0.1607,225.17,45.6,85,44,176000,87.0,0.685390,0.585168,0.050111
45,179900,,,,,,,,,,226.69,45.9,86,46,180000,87.5,,,
46,183900,187.826301,189.991898,-95.544709,93.6227,93.6199,1402.1164,1998.0523,2.8771,0.1674,230.23,46.5,94,52,184000,89.8,0.665372,0.569453,0.047959
47,187900,190.336357,193.489928,-96.735748,94.8464,94.8466,1435.1636,2023.1432,2.9666,0.1752,208.85,42.5,98,45,188000,92.3,0.691767,0.590957,0.050405
48,191900,195.080585,200.342669,-97.895676,96.0389,96.0420,1458.1173,2066.1943,3.0616,0.1813,204.48,41.9,94,57,192000,94.6,0.681014,0.580460,0.050277
49,195900,203.169250,204.346152,-99.041132,97.2386,97.2484,1487.4262,2046.6385,2.9870,0.1851,220.62,44.6,86,38,196000,97.0,0.685230,0.585554,0.049838
50,199900,,,,,,,,,,212.44,43.2,100,55,200000,97.5,,,
51,203900,208.456369,210.000802,-100.137226,98.2435,98.2537,1508.8385,2020.5813,2.9785,0.1855,198.28,40.9,80,37,204000,99.9,0.693197,0.591504,0.050846
52,207900,214.593801,218.463169,-100.915211,99.1577,99.1627,1540.6199,2095.3298,3.0191,0.1911,219.78,44.9,94,40,208000,102.4,0.700213,0.597643,0.051285
53,211900,211.752547,216.333592,-101.776027,99.9091,99.9152,1527.4162,2131.4793,3.2136,0.2048,210.09,43.2,93,51,212000,104.8,0.704339,0.600362,0.051989
54,215900,219.781707,224.954842,-102.563706,100.8092,100.8015,1581.2800,2213.8792,3.3217,0.2147,208.14,43.1,91,47,216000,107.2,0.688991,0.587205,0.050893
55,219900,,,,,,,,,,219.76,45.4,96,55,220000,107.7,,,
56,223900,224.829150,228.356759,-103.381187,101.6052,101.6170,1618.9146,2168.8474,3.2283,0.2246,220.94,45.8,87,46,224000,110.1,0.684896,0.583806,0.050545
57,227900,226.960674,231.109075,-104.157961,102.3648,102.3676,1605.2628,2079.9964,3.1996,0.2313,224.28,46.0,85,44,228000,112.5,0.670468,0.571660,0.049404
58,231900,231.586543,236.322904,-104.832293,103.0975,103.0990,1682.5570,2280.5340,3.2766,0.2364,226.46,46.8,78,36,232000,114.9,0.677416,0.577951,0.049732
59,235900,238.002059,242.354307,-105.493980,103.7405,103.7488,1695.7183,2244.6399,3.2968,0.2387,226.03,47.0,88,49,236000,117.4,0.675996,0.576828,0.049584
60,239900,,,,,,,,,,229.84,47.7,79,36,240000,117.9,,,
61,243900,238.847570,243.166866,-106.103694,104.3231,104.3297,1719.7670,2142.5892,3.3791,0.2526,243.98,49.7,84,38,244000,120.4,0.674790,0.575527,0.049632
62,247900,240.722166,248.508812,-106.638562,104.9320,104.9364,1748.1046,2174.7063,3.3720,0.2484,241.62,49.3,81,43,248000,122.8,0.682299,0.582172,0.050064
63,251900,246.835803,251.973962,-107.182502,105.4410,105.4461,1798.3587,2236.9183,3.3651,0.2617,248.29,50.4,79,40,252000,125.2,0.684519,0.583469,0.050525
64,255900,245.381323,253.965886,-107.660428,105.9724,105.9811,1827.4208,2318.0007,3.4564,0.2668,257.92,52.0,71,42,256000,127.6,0.692521,0.589582,0.051469
65,259900,,,,,,,,,,258.20,51.5,79,43,260000,128.2,,,
66,263900,249.921839,255.520054,-108.172170,106.5048,106.5082,1848.9176,2253.0802,3.6183,0.2657,257.23,51.4,82,44,264000,130.6,0.678375,0.578642,0.049866
67,267900,251.743383,257.763889,-108.622734,106.9917,106.9964,1856.1965,2199.0758,3.5746,0.2768,246.21,49.4,79,47,268000,133.0,0.672665,0.573915,0.049375
68,271900,251.882543,254.512243,-109.155153,107.4938,107.5047,1807.2426,2157.8285,3.4142,0.2846,260.23,52.3,72,37,272000,135.6,0.670960,0.571142,0.049909
69,275900,253.943686,258.533743,-109.774971,108.0491,108.0609,1842.0125,2103.0064,3.5935,0.2795,272.54,54.9,74,46,276000,138.0,0.672639,0.573959,0.049340
70,279900,,,,,,,,,,266.86,53.6,73,34,280000,138.6,,,
71,283900,256.871661,264.539722,-109.973697,108.4151,108.4188,1893.0556,2285.5347,3.6427,0.2740,278.37,55.6,70,36,284000,141.0,0.677883,0.577868,0.050008
72,287900,259.288486,265.398483,-110.517549,108.8431,108.8513,1889.0331,2190.9494,3.7674,0.2785,297.57,59.4,71,26,288000,143.5,0.665176,0.567554,0.048811
73,291900,256.701596,263.026033,-110.812127,109.2047,109.2079,1879.2776,2156.3373,3.9771,0.2830,302.45,59.8,59,33,292000,145.9,0.683202,0.582353,0.050425
74,295900,259.896029,265.425275,-111.222580,109.6243,109.6281,1931.2791,2228.9263,4.1116,0.2754,296.94,58.8,71,32,296000,148.3,0.679560,0.580088,0.049736
75,299900,,,,,,,,,,305.70,60.5,71,35,300000,148.9,,,
76,303900,261.557984,266.772149,-111.819915,110.1343,110.1465,1934.4706,2252.1800,4.0751,0.2745,291.99,57.5,66,31,304000,151.3,0.677686,0.577417,0.050134
77,307900,260.232403,263.052755,-112.165383,110.5500,110.5616,1896.4517,2150.9597,4.1484,0.2742,287.74,56.5,70,37,308000,153.8,0.672286,0.572358,0.049964
78,311900,261.273000,266.570268,-112.622712,111.0431,111.0481,2005.5860,2134.3054,4.1265,0.2760,293.72,57.7,77,37,312000,156.2,0.662324,0.565482,0.048421
79,315900,267.157563,271.704062,-113.113538,111.4675,111.4760,1980.2746,2175.6963,4.2657,0.2777,279.18,55.0,76,36,316000,158.6,0.661207,0.564396,0.048405
80,319900,,,,,,,,,,259.57,51.5,73,33,320000,159.2,,,
81,323900,262.608283,268.837441,-113.469885,111.8914,111.9009,2025.3970,2170.3219,4.3082,0.2806,250.65,49.7,75,43,324000,161.6,0.670761,0.572192,0.049284
82,327900,265.101181,272.921131,-113.781877,112.1916,112.1928,2044.5754,2231.6066,4.2728,0.2902,267.33,52.6,85,47,328000,164.0,0.674127,0.575284,0.049422
83,331900,263.307854,270.267315,-114.007746,112.5577,112.5652,2051.7754,2244.4427,4.5790,0.2841,261.60,51.6,80,42,332000,166.5,0.678505,0.577914,0.050296
84,335900,265.900650,272.939106,-114.418450,112.9779,112.9691,2096.9736,2280.8827,4.7932,0.2846,255.47,50.5,70,36,336000,168.9,0.677005,0.577021,0.049992
85,339900,,,,,,,,,,269.87,53.3,78,33,340000,169.5,,,
86,343900,265.963867,273.005261,-114.735000,113.2519,113.2626,2114.7116,2297.4945,4.6482,0.2899,259.23,51.2,76,38,344000,171.9,0.673517,0.574012,0.049752
87,347900,266.792052,272.823112,-115.019920,113.5450,113.5557,2128.3933,2234.1258,5.0444,0.2922,273.89,54.1,75,35,348000,174.3,0.671373,0.572359,0.049507
88,351900,268.076792,276.267116,-115.535687,114.0084,114.0038,2147.4056,2257.3327,4.9806,0.2943,262.52,52.1,77,44,352000,176.8,0.665890,0.567474,0.049208
89,355900,265.616117,274.325585,-115.611125,114.1838,114.1919,2127.5291,2365.9249,4.6020,0.2932,255.73,51.0,85,44,356000,179.2,0.652540,0.556594,0.047973
90,359900,,,,,,,,,,245.74,49.1,75,32,360000,179.7,,,
91,363900,270.026769,280.209139,-115.918518,114.4360,114.4402,2208.4465,2365.5471,4.7289,0.3089,250.74,49.9,80,40,364000,182.1,0.662119,0.564776,0.048672
92,367900,271.493990,279.186880,-116.214927,114.6916,114.6861,2195.1143,2406.4033,4.4390,0.3081,251.50,50.2,83,33,368000,184.6,0.671465,0.572659,0.049403
93,371900,270.934789,278.184666,-116.525390,115.0495,115.0523,2250.5759,2516.5677,4.2853,0.3110,253.10,50.2,77,46,372000,187.0,0.662985,0.565712,0.048636
94,375900,271.341538,276.609326,-116.605558,115.1315,115.1380,2250.0369,2525.6163,4.5526,0.3050,256.64,50.8,82,48,376000,189.4,0.674277,0.574385,0.049946
95,379900,,,,,,,,,,252.69,50.0,76,36,380000,190.0,,,
96,383900,274.317741,280.134673,-116.910873,115.4699,115.4797,2272.7716,2525.6155,4.9014,0.3051,261.72,51.7,78,41,384000,192.5,0.673774,0.574963,0.049405
97,387900,276.309138,281.419853,-117.200240,115.7026,115.6970,2329.5006,2580.5724,4.9218,0.3117,277.00,54.7,73,41,388000,195.0,0.660847,0.563483,0.048682
98,391900,275.423916,282.021598,-117.561318,116.0849,116.0839,2278.2722,2580.1575,4.8925,0.3087,279.88,55.4,67,39,392000,197.5,0.648703,0.552978,0.047863
