epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
43,171900,2.987411,2.998714,-27.094034,26.6886,26.6879,19.8614,30.2654,1.4513,0.0000,85.98,88.0,52,25,172000,56.8,0.540567,0.474375,0.033096
44,175900,3.122573,3.127489,-27.634670,27.1756,27.1752,20.5794,31.2623,1.4040,0.0000,88.00,90.0,45,25,176000,58.4,0.541693,0.475240,0.033227
45,179900,,,,,,,,,,77.55,79.6,56,24,180000,58.6,,,
46,183900,3.371621,3.409979,-28.122046,27.6281,27.6274,21.9474,33.4327,1.4994,0.0000,71.51,73.5,55,31,184000,60.2,0.559230,0.492716,0.033257
47,187900,3.537390,3.590669,-28.623872,28.0893,28.0892,22.4283,34.1241,1.4801,0.0000,65.03,67.0,71,28,188000,61.9,0.566870,0.498397,0.034236
48,191900,3.749172,3.831721,-29.032997,28.5080,28.5075,23.8694,35.6438,1.4106,0.0518,59.56,61.6,64,29,192000,63.6,0.564375,0.496781,0.033797
49,195900,3.916401,4.008087,-29.435784,28.9214,28.9206,24.7573,37.1252,1.6250,0.2388,56.03,58.0,67,33,196000,65.2,0.556015,0.491776,0.032120
50,199900,,,,,,,,,,55.39,57.4,76,51,200000,65.3,,,
51,203900,4.126855,4.228238,-29.758413,29.3109,29.3100,24.7481,37.6184,1.5034,0.2043,51.89,53.9,54,13,204000,67.1,0.570419,0.503936,0.033242
52,207900,4.227346,4.341132,-30.254559,29.7826,29.7819,25.6140,38.5263,1.3818,0.1462,66.29,68.3,7,2,208000,68.8,0.559019,0.496248,0.031386
53,211900,4.280538,4.398702,-30.614639,30.2230,30.2228,26.6245,39.8220,1.3958,0.1917,105.74,107.7,50,35,212000,70.4,0.571530,0.506082,0.032724
54,215900,4.515432,4.640825,-31.079405,30.6965,30.6956,27.3370,42.0692,1.6424,0.3061,108.39,110.4,44,28,216000,72.2,0.565105,0.499673,0.032716
55,219900,,,,,,,,,,92.51,94.5,45,18,220000,72.3,,,
56,223900,4.590078,4.735727,-31.414469,31.0762,31.0750,28.1960,43.2688,1.6667,0.3254,90.87,92.9,52,18,224000,74.1,0.554434,0.491784,0.031325
57,227900,4.686446,4.853380,-31.736812,31.4026,31.4020,28.4875,45.3082,1.5309,0.2993,77.08,79.1,51,30,228000,75.8,0.558194,0.493456,0.032369
58,231900,4.868595,5.008056,-32.124247,31.7748,31.7742,28.4064,44.3508,1.4778,0.3455,78.14,80.1,56,29,232000,77.5,0.571818,0.505119,0.033349
59,235900,4.935227,5.104269,-32.402781,32.0852,32.0842,29.2846,47.2249,1.3454,0.3477,72.05,74.0,21,14,236000,79.1,0.579566,0.513149,0.033208
60,239900,,,,,,,,,,90.72,92.7,32,10,240000,79.3,,,
61,243900,4.892299,5.019471,-32.753621,32.4169,32.4168,30.3883,47.8203,1.6394,0.3432,103.86,105.9,58,33,244000,80.9,0.565156,0.499463,0.032847
62,247900,5.001002,5.085146,-33.134291,32.7396,32.7389,32.4072,49.9572,1.3709,0.2439,94.10,96.1,10,7,248000,82.6,0.592576,0.524746,0.033915
63,251900,5.024329,5.093905,-33.538580,33.1689,33.1677,31.6059,50.0406,1.4153,0.2447,85.86,87.9,7,6,252000,84.3,0.602664,0.532871,0.034896
64,255900,5.129978,5.150334,-33.929217,33.5443,33.5439,33.8477,54.4824,1.5656,0.3177,155.62,157.6,13,7,256000,86.0,0.586977,0.519790,0.033594
65,259900,,,,,,,,,,188.23,190.2,13,4,260000,86.1,,,
66,263900,5.089295,5.061798,-34.345983,33.9770,33.9758,33.0870,52.7478,1.4102,0.3225,216.00,218.0,16,5,264000,87.8,0.587619,0.517758,0.034931
67,267900,5.072749,5.041848,-34.726106,34.3414,34.3414,34.0734,55.9920,1.3337,0.3163,256.47,258.5,15,5,268000,89.5,0.589058,0.520251,0.034403
68,271900,5.044416,4.994140,-35.080065,34.7329,34.7307,35.6260,57.8107,1.3578,0.3051,270.69,272.7,16,6,272000,91.1,0.588509,0.519822,0.034343
69,275900,5.074294,4.960944,-35.557868,35.1738,35.1736,35.9492,58.4433,1.3383,0.3543,213.00,215.0,1,1,276000,92.8,0.577430,0.509714,0.033858
70,279900,,,,,,,,,,335.33,337.3,3,2,280000,92.9,,,
71,283900,5.110980,4.996978,-36.057827,35.6315,35.6304,37.2304,60.5791,1.5512,0.3422,,,0,0,284000,94.7,0.560768,0.496281,0.032243
72,287900,5.102792,4.936076,-36.570947,36.1544,36.1532,38.0971,63.0827,1.3723,0.2862,,,0,0,288000,96.4,0.565999,0.498550,0.033724
73,291900,5.139165,4.982664,-37.077700,36.6678,36.6664,39.0231,63.2223,1.3811,0.3452,373.00,375.0,1,1,292000,98.0,0.559574,0.493442,0.033066
74,295900,5.035234,4.852755,-37.620845,37.1955,37.1948,38.8990,64.4676,1.5461,0.3249,,,0,0,296000,99.8,0.561998,0.497210,0.032394
75,299900,,,,,,,,,,,,0,0,300000,99.9,,,
76,303900,5.025919,4.830439,-38.094093,37.6811,37.6799,39.5855,65.2988,1.4034,0.2914,431.40,433.4,5,5,304000,101.5,0.562292,0.495998,0.033147
77,307900,4.985807,4.754034,-38.580635,38.1844,38.1837,38.9773,66.0642,1.3574,0.2979,468.50,470.5,4,4,308000,103.2,0.560926,0.494372,0.033277
78,311900,4.922715,4.712487,-39.050493,38.6610,38.6598,39.6440,67.6910,1.4642,0.2980,545.75,547.8,4,4,312000,105.0,0.548027,0.483663,0.032182
79,315900,5.043326,4.800308,-39.572096,39.1688,39.1683,40.5606,70.5926,1.3610,0.3110,,,0,0,316000,106.6,0.546577,0.483079,0.031749
80,319900,,,,,,,,,,,,0,0,320000,106.7,,,
81,323900,4.937233,4.683868,-40.033875,39.6341,39.6324,41.8512,73.5076,1.4187,0.2678,,,0,0,324000,108.4,0.546324,0.482137,0.032094
82,327900,4.985354,4.709743,-40.526780,40.1426,40.1420,43.0057,74.2474,1.6911,0.3029,1000.00,1001.0,1,1,328000,110.1,0.546865,0.482587,0.032139
83,331900,5.041331,4.746140,-41.060482,40.6222,40.6208,43.9726,76.2743,1.5397,0.3359,863.00,864.3,3,1,332000,111.7,0.548753,0.483720,0.032517
84,335900,4.938900,4.625683,-41.595339,41.1193,41.1186,43.3756,75.9052,1.3869,0.3567,,,0,0,336000,113.4,0.557222,0.493018,0.032102
85,339900,,,,,,,,,,1000.00,1001.0,4,2,340000,113.6,,,
86,343900,5.028375,4.715268,-42.092698,41.6681,41.6670,45.2066,79.6687,1.6073,0.3604,1000.00,1001.0,4,4,344000,115.3,0.547729,0.481426,0.033151
87,347900,5.024917,4.709055,-42.637502,42.1589,42.1578,44.0244,78.0503,1.6487,0.3917,1000.00,1001.0,4,3,348000,117.0,0.536554,0.472110,0.032222
88,351900,5.072113,4.713740,-43.162523,42.6907,42.6902,43.3814,76.9307,1.5548,0.3773,1000.00,1001.0,4,4,352000,118.7,0.526694,0.464640,0.031027
89,355900,5.129866,4.769968,-43.590089,43.1928,43.1920,45.0056,80.3253,1.3789,0.3401,1000.00,1001.0,11,6,356000,120.4,0.529537,0.467528,0.031004
90,359900,,,,,,,,,,1000.00,1001.0,12,4,360000,120.6,,,
