epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
57,227900,0.409116,0.425842,-5.174938,4.7039,4.7039,1.5032,1.6021,0.2916,90.96,93.0,47,228000,10.8
58,231900,0.424051,0.441852,-5.301785,4.8106,4.8122,1.8639,1.9697,0.2829,88.07,90.1,30,232000,11.0
59,235900,0.429245,0.446136,-5.402226,4.9434,4.9432,1.7437,1.8867,0.3485,93.26,95.3,58,236000,11.2
60,239900,,,,,,,,,95.72,97.7,25,240000,11.3
61,243900,0.450567,0.470181,-5.538833,5.0414,5.0414,1.9091,2.0090,0.2551,95.81,97.8,52,244000,11.5
62,247900,0.446279,0.465091,-5.629185,5.1750,5.1753,2.4085,2.5534,0.3692,92.98,95.0,41,248000,11.7
63,251900,0.448667,0.469509,-5.775148,5.2836,5.2831,1.6759,1.7552,0.3729,88.33,90.3,43,252000,11.9
64,255900,0.467202,0.488301,-5.870723,5.3945,5.3939,1.7010,1.7197,0.3072,92.32,94.3,47,256000,12.1
65,259900,,,,,,,,,90.77,92.8,35,260000,12.2
66,263900,0.477700,0.498928,-5.991478,5.4964,5.4983,1.8373,1.8544,0.2704,90.82,92.8,49,264000,12.4
67,267900,0.486668,0.510280,-6.124237,5.6235,5.6233,1.9000,1.9615,0.3080,93.31,95.3,35,268000,12.6
68,271900,0.493117,0.516385,-6.205368,5.7386,5.7382,2.0485,2.1225,0.2962,95.89,97.9,38,272000,12.8
69,275900,0.491096,0.514179,-6.308838,5.8505,5.8513,1.8586,2.0191,0.4184,103.88,105.9,34,276000,13.0
70,279900,,,,,,,,,113.31,115.3,32,280000,13.1
71,283900,0.514868,0.539139,-6.431573,5.9634,5.9638,2.0242,1.9805,0.4842,117.46,119.5,26,284000,13.3
72,287900,0.502521,0.524714,-6.579824,6.0796,6.0791,1.8809,1.8865,0.4440,135.67,137.7,24,288000,13.5
73,291900,0.528162,0.554385,-6.690921,6.1898,6.1913,1.8402,2.0075,0.4245,146.00,148.0,19,292000,13.7
74,295900,0.557532,0.583900,-6.773948,6.2982,6.2975,2.4532,2.7030,0.3726,147.38,149.4,34,296000,13.9
75,299900,,,,,,,,,144.67,146.7,33,300000,14.0
76,303900,0.554444,0.576600,-6.923786,6.4170,6.4178,2.8536,2.7034,0.4984,138.89,140.9,35,304000,14.2
77,307900,0.560001,0.587713,-7.019993,6.5299,6.5294,2.8378,3.1481,0.4000,119.32,121.3,31,308000,14.4
78,311900,0.575860,0.603889,-7.162527,6.6535,6.6549,2.4673,2.7562,0.4414,133.84,135.8,25,312000,14.6
79,315900,0.580627,0.608697,-7.252076,6.7745,6.7730,2.5095,2.7816,0.5226,133.39,135.4,18,316000,14.8
80,319900,,,,,,,,,145.85,147.9,27,320000,14.9
81,323900,0.579763,0.610178,-7.367357,6.8826,6.8835,2.4157,2.6075,0.3919,136.17,138.2,41,324000,15.2
82,327900,0.635381,0.661939,-7.456519,6.9808,6.9805,2.2963,2.2046,0.5590,142.97,145.0,29,328000,15.4
83,331900,0.582664,0.608335,-7.610205,7.1094,7.1111,3.1734,3.0636,0.6699,110.56,112.6,55,332000,15.6
84,335900,0.610491,0.641784,-7.733093,7.2205,7.2195,2.4561,2.7422,0.4499,86.68,88.7,53,336000,15.8
85,339900,,,,,,,,,69.02,71.0,64,340000,15.9
86,343900,0.632801,0.658401,-7.869223,7.3265,7.3272,2.7427,2.7196,0.4811,58.29,60.3,70,344000,16.1
87,347900,0.629796,0.660771,-7.929157,7.4467,7.4465,2.7905,2.8748,0.5407,63.17,65.2,47,348000,16.3
88,351900,0.650659,0.682742,-8.058844,7.5495,7.5495,2.7251,2.9266,0.5060,66.81,68.8,64,352000,16.5
89,355900,0.684555,0.717162,-8.193439,7.6699,7.6698,3.2118,3.3687,0.4846,65.15,67.2,65,356000,16.7
90,359900,,,,,,,,,65.80,67.8,49,360000,16.8
91,363900,0.686881,0.720794,-8.319777,7.7726,7.7724,2.8145,3.2543,0.3221,67.68,69.7,68,364000,17.0
92,367900,0.683730,0.715446,-8.432438,7.8951,7.8953,2.9358,2.9853,0.4013,62.65,64.7,55,368000,17.2
93,371900,0.707775,0.735525,-8.518549,7.9927,7.9920,3.3487,3.2183,0.4730,64.32,66.3,60,372000,17.4
94,375900,0.733004,0.767705,-8.687442,8.1093,8.1110,4.0733,4.1965,0.5294,71.62,73.6,47,376000,17.6
95,379900,,,,,,,,,73.61,75.6,57,380000,17.7
96,383900,0.743878,0.780810,-8.782939,8.2293,8.2281,3.3456,3.6753,0.4031,67.78,69.8,59,384000,17.9
97,387900,0.719494,0.756144,-8.879840,8.3392,8.3393,3.7516,3.8130,0.4393,66.40,68.4,62,388000,18.1
