episode_id,length,total_reward,has_disturbance,mean_alpha_target
0,111,-42.238895416259766,0,0.9000000357627869
1,87,-22.225278854370117,0,0.9000000953674316
2,52,-13.657783508300781,0,0.9000001549720764
3,123,-36.503509521484375,0,0.8999999165534973
4,102,-64.59503936767578,0,0.9000000357627869
5,249,-143.74241638183594,0,0.8999999761581421
6,33,-14.204140663146973,0,0.8999999761581421
7,150,42.31586456298828,0,0.9000000953674316
8,144,-57.704444885253906,0,0.9000000357627869
9,71,-22.826637268066406,0,0.9000001549720764
10,49,17.92258644104004,0,0.9000000357627869
11,1001,-346.5038757324219,0,0.8999999165534973
12,24,-0.42871904373168945,0,0.8999999165534973
13,1001,-368.2431640625,0,0.8999999165534973
14,127,-58.26552200317383,1,0.1000000387430191
15,18,-15.876435279846191,1,0.10000000149011612
16,1001,-308.1938781738281,1,0.10000001639127731
17,163,-86.76945495605469,0,0.9000000953674316
18,39,-30.819738388061523,0,0.9000000357627869
19,1001,184.21160888671875,0,0.8999999165534973
20,586,188.89019775390625,0,0.9000000357627869
21,1001,419.2086181640625,0,0.8999999165534973
22,16,-1.7852572202682495,1,0.10000000149011612
23,451,34.28504943847656,0,0.8999999165534973
24,238,24.959293365478516,0,0.8999999165534973
25,1001,284.6690368652344,0,0.8999999165534973
26,175,-19.83600616455078,0,0.8999999761581421
27,964,-253.1324462890625,0,0.8999998569488525
28,135,-85.7942123413086,0,0.9000000953674316
29,262,0.05057549476623535,1,0.10000000894069672
30,141,40.584659576416016,0,0.9000000357627869
31,99,0.11955201625823975,0,0.8999999761581421
32,76,7.986297607421875,0,0.9000000953674316
33,57,24.647974014282227,0,0.9000000357627869
34,33,-5.268229961395264,0,0.8999999761581421
35,121,-26.107025146484375,1,0.10000001639127731
36,276,36.48318862915039,0,0.9000000953674316
37,214,13.745830535888672,0,0.8999999761581421
38,99,22.5655517578125,1,0.10000002384185791
39,156,-35.813148498535156,0,0.9000000357627869
40,197,-59.68070983886719,1,0.10000002384185791
41,206,-39.164215087890625,0,0.8999999761581421
42,1001,238.73794555664062,0,0.8999999165534973
43,1001,239.71360778808594,0,0.8999999165534973
44,206,27.12495994567871,0,0.8999999761581421
45,31,-5.529290199279785,1,0.09999997913837433
46,60,-10.19281005859375,0,0.9000001549720764
47,43,-12.33384895324707,0,0.9000000953674316
48,42,-1.2354226112365723,0,0.9000000953674316
49,16,-21.10405158996582,0,0.8999999761581421
50,370,-123.63455200195312,0,0.8999999761581421
51,83,13.830761909484863,0,0.9000000357627869
52,62,-18.223052978515625,0,0.9000001549720764
53,38,-6.1983771324157715,0,0.9000000357627869
54,134,5.814628601074219,0,0.9000000953674316
55,68,-45.20044708251953,0,0.9000000953674316
56,1001,156.5442352294922,1,0.10000001639127731
57,120,-40.220306396484375,1,0.10000001639127731
58,136,7.7723846435546875,0,0.9000000953674316
59,170,-16.32840347290039,0,0.8999999761581421
60,65,23.789121627807617,0,0.9000000357627869
61,89,-17.539369583129883,0,0.8999999761581421
62,1001,304.4552001953125,0,0.8999999165534973
63,1001,-18.138748168945312,0,0.8999999165534973
64,1001,246.71751403808594,0,0.8999999165534973
65,95,8.158350944519043,0,0.9000000953674316
66,180,-24.99526023864746,0,0.8999999761581421
67,1001,372.05242919921875,0,0.8999999165534973
68,55,27.133930206298828,0,0.9000002145767212
69,1001,424.8401184082031,0,0.8999999165534973
70,92,-14.110857963562012,1,0.10000003129243851
71,15,2.1471810340881348,0,0.8999997973442078
72,11,-12.742063522338867,0,0.8999998569488525
73,1001,268.63482666015625,0,0.8999999165534973
74,212,-93.57682800292969,1,0.10000002384185791
75,1001,198.09498596191406,0,0.8999999165534973
76,303,-228.77769470214844,0,0.9000000357627869
77,73,-11.033327102661133,0,0.9000000357627869
78,45,-10.5689058303833,0,0.9000001549720764
79,20,-15.700376510620117,0,0.8999999165534973
80,47,-0.9853897094726562,0,0.9000002145767212
81,1001,282.10833740234375,0,0.8999999165534973
82,47,-21.343276977539062,0,0.9000002145767212
83,63,-38.209747314453125,0,0.9000002145767212
84,88,-24.486629486083984,0,0.8999999761581421
85,22,-4.257967472076416,1,0.09999999403953552
86,135,-28.280601501464844,0,0.9000000953674316
87,65,-20.282859802246094,1,0.10000000894069672
88,190,-221.75540161132812,1,0.10000001639127731
89,1001,67.717041015625,0,0.8999999165534973
90,56,0.13244962692260742,0,0.9000000357627869
91,172,-45.839256286621094,0,0.9000000357627869
92,1001,241.17236328125,0,0.8999999165534973
93,141,-28.928403854370117,0,0.9000000357627869
94,190,26.30526351928711,1,0.10000001639127731
95,206,-68.55896759033203,0,0.8999999761581421
96,20,-5.810176372528076,0,0.8999999165534973
97,46,-2.6309127807617188,1,0.09999998658895493
98,1001,356.72247314453125,0,0.8999999165534973
99,63,0.48875677585601807,0,0.9000002145767212
100,93,-0.9912829995155334,0,0.9000000357627869
101,1001,331.1908874511719,0,0.8999999165534973
102,221,-57.509925842285156,0,0.8999999761581421
103,149,8.566486358642578,0,0.9000000357627869
104,192,-44.90663528442383,1,0.10000001639127731
105,181,-43.103302001953125,1,0.10000002384185791
