global_step,episode_return
25,123.38532645852437
42,76.91603769724352
76,154.88093837946394
93,78.02087409966961
116,109.77191739878774
134,83.17208019275374
153,90.16140838130877
171,84.17556779199506
204,136.62763206280115
236,148.82069939094944
255,87.98914363501174
294,175.3013401204576
324,139.35098343540008
342,83.29810741264335
370,124.13878292954628
398,134.32604649452097
419,99.9589664454336
436,78.2833727676178
454,82.92659123236677
488,161.02810227782004
529,197.05958673742674
552,109.96957601184614
570,83.41981032365909
588,83.43214222386977
606,83.60718917589142
632,125.60861770438208
657,120.88932055960161
701,201.1850335980213
726,123.29363435796088
755,135.287000325879
774,90.03715007830876
793,85.219830557457
810,78.31107279128787
831,97.38719272619213
849,83.40131000531395
869,94.48393426134155
889,92.64799333474637
907,83.51439047105492
932,116.55399062219543
963,141.95922586814322
990,128.8790179284645
1016,125.61562543218999
1033,78.27758032040006
1064,150.847308488746
1096,143.8910644714465
1124,131.8980910908319
1143,90.18584652798206
1173,144.93144347048923
1191,84.5546833083942
1209,83.02360286085296
1231,104.43843520496614
1261,132.30259604700979
1287,121.06271770579491
1311,115.39512821877406
1332,98.7761660962067
1368,155.12046145804317
1394,125.6968841867615
1432,185.49455442708097
1451,90.2782086445638
1483,147.34752222918598
1515,156.0005349963024
1539,108.69960127343779
1560,99.30956471805278
1583,107.08346010501285
1611,117.2193167575382
1633,103.24508619886319
1651,83.27292462631888
1673,101.99243690429763
1693,93.8713306494736
1721,127.52078896611586
1741,94.2908666988722
1770,134.1396214827434
1811,187.32523031322654
1843,151.47813633929903
1863,95.88798401120452
1881,84.17946430314625
1904,110.30459893600195
1945,195.01282468433035
1963,83.041888212263
1983,93.81015014699237
2008,118.26317530033921
2041,158.08531587291327
2058,78.33935477706511
2090,146.39205867070797
2110,85.98443669917937
2137,130.12668470684966
2180,205.3384220986475
2202,102.76632830928409
2225,109.43736286462448
2242,78.41516082110974
2260,83.22569070274473
2290,145.73716554065425
2308,84.33262300892007
2326,82.57524183648133
2356,139.4367458299867
2375,89.29788715307888
2395,92.56269170922191
2417,103.04964483750314
2437,93.84279743323921
2460,109.33702942650623
2484,113.91663815048288
2504,93.76629410076059
2522,83.63975493149293
2552,140.06533724179195
2573,101.77125511618085
2591,83.38832990453861
2609,82.27492734353082
2628,88.42423678394206
2646,83.95072936957311
2664,84.21426580125271
2714,247.75630093061713
2731,78.07942817917574
2753,99.7868196175404
2771,83.1659782733236
2789,83.52680471289997
2828,178.76938904290776
2863,162.00280425666907
2887,114.60115677702734
2909,105.17615266016074
2943,166.55037665264084
2983,196.76750141558048
3008,119.15032030164315
3038,136.06811688541362
3058,93.27925916773769
3078,93.84429756071364
3101,107.20241144200034
3123,104.36632723569215
3145,102.90249115805867
3161,73.4258305134956
3186,119.1894458661368
3214,131.4767058854451
3233,89.51270570892729
3251,83.43393726686082
3280,140.0404053321372
3310,140.56131863309753
3344,169.66474181803332
3380,182.8242883344342
3400,94.67668821123996
3429,138.38176186784517
3449,94.20728661030364
3468,87.53458334571981
3493,117.90873456391066
3512,88.30934033173148
3549,173.6324589385288
3584,158.86441358054338
3601,77.17026799630655
3622,95.94274512558407
3668,225.78021116122986
3691,105.86174421073451
3709,83.67938109978458
3730,97.30341783305148
3762,154.27687331588345
3779,78.39767457451755
3796,74.52811632205957
3815,87.87408414313964
3857,189.99163156194965
3885,133.37391460561187
3911,124.09189747027021
3928,78.39488067420031
3953,118.5655729254771
3970,78.77116726997303
3998,134.1401280512874
4025,109.84617252805637
4068,206.56695305663703
4086,83.39347506836243
4109,109.60388427178364
4128,88.17220129699375
4166,175.68298977636601
4186,92.4342297547261
4209,108.63316327786394
4239,143.52213506836586
4272,155.7931537991208
4300,134.08024462986677
4322,104.96699090157394
4341,87.89129015513215
4358,78.39263659939331
4391,149.21402739736158
4411,89.57626371612997
4432,97.15964789117233
4452,95.20406690130454
4494,190.03354785185644
4517,111.7196167962992
4538,100.74236348642553
4563,121.36552930651905
4587,113.47691877719173
4606,89.32458687918938
4633,129.88710032293417
4652,88.94746579398037
4672,94.2452523659041
4690,83.13585163303817
4709,89.81956569820986
4728,87.31638149713048
4746,83.39035982583478
4768,104.55270295230432
4786,83.85335694762351
4803,78.27495265738581
4828,116.03718375272437
4856,133.5716534693084
4885,138.11785012174536
4914,133.12942158808428
4948,154.82042277204516
4968,93.10279321271254
4986,82.9678417659811
5012,122.30737396471491
5033,102.17733917195464
5052,90.38550896386188
5081,141.3486399469582
5110,139.78025708146941
