epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
50,199900,,,,,,,,,,249.67,51.8,72,30,200000,222.0
51,203900,233.905301,233.891606,-111.179753,108.1480,108.1563,4695.1038,6071.6028,3.6636,0.4983,264.68,54.0,75,44,204000,227.5
52,207900,237.141739,238.755860,-112.630758,109.6823,109.6795,5084.1212,5947.5573,3.9610,0.4847,273.62,55.0,76,35,208000,233.2
53,211900,241.886807,243.369806,-114.033417,110.9812,110.9897,5451.5572,6025.7401,4.4769,0.5006,277.46,55.4,62,24,212000,238.8
54,215900,250.879316,251.159249,-115.261926,112.2141,112.2194,5396.4042,6400.4267,4.2720,0.4920,282.04,56.7,78,39,216000,244.3
55,219900,,,,,,,,,,266.26,53.8,71,32,220000,245.0
56,223900,254.442357,256.590400,-116.749434,113.6025,113.6144,5428.5122,6341.6403,4.2589,0.4555,277.85,55.8,76,34,224000,250.7
57,227900,260.921621,263.550134,-117.955517,114.8835,114.8836,5846.7978,6421.2396,4.9326,0.4562,248.39,51.9,77,38,228000,256.4
58,231900,263.691013,266.654782,-119.067568,116.0626,116.0661,5836.4612,6608.0722,5.2143,0.4243,252.60,52.0,76,35,232000,262.1
59,235900,272.597522,275.209402,-119.841507,116.8853,116.9013,6035.2206,7308.1685,5.3298,0.4058,254.17,51.9,81,39,236000,267.7
60,239900,,,,,,,,,,235.93,50.4,77,41,240000,268.4
61,243900,276.979228,281.962678,-120.868906,117.8228,117.8235,5873.8478,7128.4522,5.1019,0.4089,241.51,51.3,78,35,244000,274.2
62,247900,282.283005,285.961762,-121.499567,118.5118,118.5140,5898.4104,7113.0633,5.2968,0.3796,282.75,58.4,64,33,248000,279.7
63,251900,289.042684,291.971198,-122.240048,119.2606,119.2575,6520.1511,7430.5424,5.9412,0.3676,275.94,56.3,67,26,252000,285.2
64,255900,296.076634,297.764003,-122.474065,119.5885,119.5833,6169.1548,7248.4095,6.4403,0.3551,305.62,60.9,64,38,256000,290.8
65,259900,,,,,,,,,,318.83,62.7,61,24,260000,291.4
66,263900,303.203278,303.507579,-123.217802,120.1250,120.1321,6201.8164,7056.2033,6.1592,0.3709,315.45,61.8,73,32,264000,297.1
67,267900,308.047788,310.508405,-123.349880,120.4085,120.4084,6044.9498,6872.9412,6.7153,0.3806,269.46,55.5,73,39,268000,302.8
68,271900,318.261506,319.681852,-123.545465,120.7592,120.7630,6344.2499,6986.1025,6.8302,0.3714,240.57,50.6,87,45,272000,308.5
69,275900,318.352735,321.661562,-124.038543,121.1374,121.1378,6434.1141,6944.1659,7.2233,0.3647,230.40,49.0,66,19,276000,314.2
70,279900,,,,,,,,,,272.51,56.2,77,41,280000,314.8
71,283900,320.130897,320.286302,-124.534942,121.6234,121.6286,6084.5958,6666.0685,6.7898,0.3581,270.06,54.7,71,33,284000,320.5
72,287900,327.442823,330.927328,-124.989653,122.1063,122.1040,5786.5488,6949.5884,6.9532,0.3372,297.34,61.2,62,32,288000,326.2
73,291900,331.068739,333.702831,-125.558211,122.7520,122.7577,5848.4718,6310.2369,7.2846,0.3563,304.26,63.5,57,30,292000,331.7
74,295900,330.727870,338.616719,-125.999052,123.0982,123.0979,5837.9820,6362.1393,6.6013,0.3425,300.54,60.2,84,41,296000,337.3
75,299900,,,,,,,,,,287.00,57.0,59,29,300000,338.0
76,303900,331.865074,339.280902,-126.470440,123.6421,123.6334,5918.1491,6593.8003,6.4481,0.3445,326.28,65.1,53,21,304000,343.7
77,307900,337.004309,343.765839,-126.759349,123.9951,123.9963,5873.2066,6734.9233,6.5727,0.3614,320.03,65.0,72,44,308000,349.4
78,311900,340.367628,346.498539,-127.097305,124.3412,124.3352,5784.9462,5994.7930,7.0335,0.3439,259.06,53.4,90,54,312000,355.0
79,315900,340.617267,340.800766,-127.321133,124.5381,124.5402,5707.7854,6528.6846,6.6475,0.3575,239.90,49.5,71,32,316000,360.7
80,319900,,,,,,,,,,302.18,59.5,55,26,320000,361.4
81,323900,343.925554,346.560855,-127.555130,124.9484,124.9418,5956.3297,6159.4965,6.3210,0.3563,328.55,64.3,68,38,324000,367.0
82,327900,341.703512,345.168156,-127.934511,125.1929,125.1914,5968.6029,6602.4456,6.5345,0.3588,331.36,65.3,57,26,328000,372.7
83,331900,341.277938,345.069356,-128.301621,125.6194,125.6136,5528.5728,6008.3888,6.1722,0.3489,334.42,66.0,62,34,332000,378.3
84,335900,347.173864,350.377763,-128.413145,125.7266,125.7375,5347.1363,6055.2004,5.9019,0.3773,314.22,62.4,61,28,336000,384.0
85,339900,,,,,,,,,,369.36,72.8,48,24,340000,384.6
86,343900,346.343761,348.191866,-128.544328,125.8711,125.8716,5993.0591,6058.4962,7.6583,0.4138,374.76,73.6,60,28,344000,390.3
87,347900,335.207643,341.779939,-128.934801,126.3896,126.3841,5497.8973,5949.9566,6.0400,0.3962,361.14,70.9,56,33,348000,395.9
88,351900,338.624185,345.780282,-129.256534,126.5333,126.5271,5634.0773,6312.3401,7.4303,0.4195,353.59,70.3,58,35,352000,401.5
89,355900,339.056273,341.497950,-129.633753,127.0565,127.0695,5380.5421,6007.4510,7.8668,0.4293,335.05,66.4,62,32,356000,407.2
90,359900,,,,,,,,,,373.47,73.5,48,30,360000,407.8
91,363900,336.633391,335.827343,-130.099191,127.4199,127.4390,5470.0798,5746.1296,7.5393,0.4227,337.33,67.7,63,31,364000,413.5
92,367900,332.366271,333.295417,-130.601938,127.9577,127.9545,5354.3560,5783.1675,8.0142,0.4365,288.79,58.6,87,40,368000,419.3
93,371900,332.979796,335.901615,-131.064786,128.5024,128.5001,5374.9421,5823.4653,7.7858,0.4734,273.99,56.0,69,31,372000,424.9
94,375900,327.556763,328.351767,-131.396622,128.9301,128.9432,5324.6318,5792.8172,7.1299,0.4570,282.40,57.5,46,22,376000,430.5
95,379900,,,,,,,,,,345.32,69.2,72,31,380000,431.1
96,383900,323.938573,326.698181,-131.721166,129.3416,129.3442,5198.3288,5697.6561,6.4211,0.4696,372.01,74.2,33,12,384000,436.8
97,387900,326.016975,325.880037,-132.246922,129.7873,129.7916,5414.1911,5649.8356,7.0919,0.4616,385.78,78.1,62,31,388000,442.4
98,391900,320.159224,322.772036,-132.458921,130.1930,130.1925,5221.2934,5749.4862,6.6644,0.4837,391.57,80.1,42,26,392000,448.1
99,395900,322.304072,323.198492,-132.805690,130.5461,130.5539,5344.3215,5794.7875,6.1278,0.4899,378.54,76.4,64,34,396000,453.7
100,399900,,,,,,,,,,391.34,78.6,39,20,400000,454.4
101,403900,316.505111,319.602599,-133.225429,130.9106,130.9152,5507.8795,5791.5385,5.6304,0.4919,389.71,78.0,59,24,404000,460.0
102,407900,317.273590,321.000791,-133.733217,131.3954,131.3992,5493.8831,5914.3784,6.6318,0.4950,368.84,74.0,61,28,408000,465.6
103,411900,321.110650,323.534963,-133.849389,131.6889,131.6938,5224.3241,5931.4344,7.3074,0.4815,345.62,69.4,50,32,412000,471.4
104,415900,316.215514,321.212696,-134.589621,132.3072,132.3086,5917.7358,6090.1398,6.6236,0.4975,344.84,69.8,66,27,416000,477.1
105,419900,,,,,,,,,,335.89,68.0,45,18,420000,477.7
106,423900,320.655025,324.283644,-135.077540,132.7090,132.7124,5948.7799,6150.6472,6.9109,0.4653,362.68,73.5,66,32,424000,483.3
107,427900,321.029062,321.390583,-135.515742,133.1287,133.1399,6102.3504,6269.7452,6.1655,0.4219,325.73,66.2,62,31,428000,488.9
108,431900,317.964098,322.634226,-135.996086,133.7319,133.7285,5947.5220,6275.7937,5.5660,0.4186,309.80,62.8,59,28,432000,494.5
109,435900,316.457760,320.191096,-136.416806,134.0755,134.0865,5829.9652,6020.6453,6.3085,0.3930,323.55,65.1,66,39,436000,500.2
110,439900,,,,,,,,,,305.44,62.2,66,35,440000,500.8
111,443900,326.401940,328.762631,-136.968218,134.5282,134.5205,6261.2093,6763.1887,6.1061,0.4127,310.39,62.1,60,28,444000,506.5
112,447900,324.328882,324.215585,-137.419301,135.1353,135.1483,5926.8287,6721.3732,5.6032,0.3792,320.47,64.2,58,27,448000,512.2
113,451900,327.990146,331.454624,-137.889263,135.6763,135.6852,6282.8141,6374.5048,6.4516,0.4046,316.07,64.2,75,36,452000,517.8
114,455900,330.226030,330.181271,-138.375400,136.1060,136.1133,6098.2766,6731.3695,5.3331,0.4378,288.72,58.9,62,35,456000,523.5
115,459900,,,,,,,,,,302.78,61.0,67,36,460000,524.2
116,463900,328.088019,326.842433,-138.808195,136.6181,136.6255,6019.9794,6011.4409,5.9384,0.4354,301.24,60.7,61,29,464000,529.9
117,467900,330.772728,331.153524,-139.012817,136.8921,136.8930,6397.4726,6342.9390,5.1239,0.4221,312.72,63.3,60,32,468000,535.4
118,471900,330.495298,331.553485,-139.548445,137.3973,137.3994,7021.3306,6961.6703,5.4657,0.3743,305.92,62.6,75,32,472000,541.2
119,475900,330.627213,335.093928,-140.008897,137.8305,137.8129,6285.2327,6891.9866,5.5924,0.3960,284.75,58.2,62,33,476000,546.8
120,479900,,,,,,,,,,311.92,63.5,61,32,480000,547.5
121,483900,334.337471,338.616706,-140.683746,138.4688,138.4777,6701.8796,7322.3416,5.3349,0.3818,311.50,63.1,72,38,484000,553.1
122,487900,335.354028,333.976593,-141.047278,138.8981,138.9128,6802.6203,6854.1334,6.6864,0.3734,290.96,58.8,57,30,488000,558.7
123,491900,336.657439,340.002479,-141.578715,139.4226,139.4144,6310.7060,6859.7095,5.0498,0.3459,301.85,60.6,72,32,492000,564.3
124,495900,342.741209,344.113562,-141.890779,139.7948,139.7954,6407.4505,6741.7484,5.1121,0.3328,300.79,60.2,66,35,496000,570.0
125,499900,,,,,,,,,,306.43,61.3,61,33,500000,570.7
126,503900,340.867512,343.922841,-142.366247,140.3074,140.3123,6297.2149,6748.3121,5.6086,0.3826,300.74,60.7,70,42,504000,576.4
127,507900,345.400036,343.300492,-142.815384,140.6777,140.6877,6790.2916,6875.5292,5.9670,0.3646,318.64,64.0,60,29,508000,582.3
128,511900,344.103560,343.498807,-143.217996,140.9871,140.9935,7146.0510,7121.1496,5.1419,0.3496,335.62,67.2,56,34,512000,588.0
129,515900,349.016896,348.466384,-143.403279,141.1236,141.1235,6469.6289,6847.7462,6.0237,0.3622,321.18,64.6,65,28,516000,593.6
130,519900,,,,,,,,,,311.71,62.9,68,35,520000,594.2
131,523900,348.714077,347.390153,-143.883935,141.6735,141.6750,6599.7397,7182.2913,5.2651,0.3424,299.16,60.3,63,31,524000,600.3
132,527900,350.503429,348.748682,-144.205450,142.0614,142.0605,7065.1347,6938.9725,5.5434,0.3374,306.00,61.3,66,30,528000,606.3
133,531900,344.548104,347.081670,-144.450561,142.3517,142.3507,6502.0769,7239.5337,5.2930,0.3699,301.93,60.2,71,40,532000,612.2
134,535900,350.318862,352.213449,-144.771065,142.6094,142.6098,6660.8928,6540.6382,5.0637,0.3404,292.25,58.2,64,30,536000,618.2
135,539900,,,,,,,,,,307.98,61.8,66,29,540000,618.9
136,543900,357.179841,360.223202,-144.905272,142.9441,142.9520,6478.5506,6964.4421,4.9721,0.3294,308.65,62.0,66,28,544000,624.6
137,547900,355.318252,354.513522,-145.484916,143.3117,143.3190,7119.0297,7227.4809,4.3161,0.3447,320.57,64.1,59,29,548000,630.5
138,551900,352.699685,355.662870,-145.787083,143.6943,143.6870,6689.9804,6987.2554,5.3721,0.3430,335.78,66.9,57,28,552000,636.4
139,555900,360.251617,362.123987,-146.072175,143.9331,143.9268,6929.9001,6587.6145,5.7278,0.3230,341.36,68.7,55,27,556000,642.4
140,559900,,,,,,,,,,353.42,70.4,53,30,560000,643.1
141,563900,356.919159,358.753635,-146.327721,144.2770,144.2812,6712.6625,7081.0397,4.9165,0.3440,349.39,70.0,71,40,564000,648.7
142,567900,359.546136,360.564031,-146.747458,144.6137,144.6191,7248.6332,6938.5502,4.5075,0.3298,329.20,66.2,52,22,568000,654.4
143,571900,351.733566,355.332858,-146.743267,144.7454,144.7386,7313.6468,6803.9960,4.5171,0.3440,337.72,67.9,63,33,572000,660.2
144,575900,354.013606,358.857840,-147.065379,145.0631,145.0665,6815.4038,7192.6055,4.8516,0.3508,328.82,66.1,58,31,576000,665.7
145,579900,,,,,,,,,,326.01,65.3,58,21,580000,666.4
146,583900,357.485618,363.094074,-147.372818,145.3042,145.3207,7143.1871,7456.5963,4.7115,0.3669,329.18,65.7,66,37,584000,672.1
147,587900,357.127957,361.025736,-147.522186,145.5611,145.5458,7527.4985,7037.3236,4.1144,0.3433,327.80,65.5,60,24,588000,677.7
148,591900,359.061410,364.743728,-147.723169,145.7279,145.7341,8039.9290,7460.6989,3.9162,0.3304,291.16,58.5,83,30,592000,683.4
149,595900,357.201866,367.194133,-148.036585,145.9883,145.9975,7278.5301,7183.0129,3.6600,0.3514,267.28,53.8,60,31,596000,689.1
150,599900,,,,,,,,,,316.80,63.4,62,29,600000,689.8
151,603900,364.776350,372.108691,-148.311792,146.2757,146.2698,7944.1898,7502.0436,4.1807,0.3551,326.65,65.2,62,31,604000,695.5
152,607900,364.204761,368.515919,-148.582282,146.6117,146.6105,7950.4175,7366.0945,3.7478,0.3549,333.81,66.7,59,25,608000,701.2
153,611900,363.505219,369.270488,-149.075318,146.9928,146.9991,7502.1498,7476.7639,4.1958,0.3486,316.62,63.6,74,31,612000,706.9
154,615900,357.541244,366.000800,-149.223544,147.2897,147.3009,8066.3843,7571.7362,4.1412,0.3408,268.48,54.1,64,34,616000,712.5
155,619900,,,,,,,,,,307.96,61.9,69,35,620000,713.2
156,623900,365.277832,372.089225,-149.553897,147.6841,147.6669,7440.9168,6560.1072,4.2333,0.3556,294.17,58.9,64,35,624000,718.9
157,627900,362.429800,366.731024,-149.829813,147.8874,147.9061,8115.9809,7029.7261,4.3037,0.3423,281.04,56.1,77,30,628000,724.9
158,631900,364.556639,368.159407,-150.250412,148.2156,148.2189,7949.1063,7133.1956,3.9090,0.3332,267.42,53.9,65,27,632000,730.7
159,635900,367.910927,370.206723,-150.225849,148.2885,148.2920,8221.3153,7012.7921,4.0347,0.3282,305.52,61.5,74,41,636000,736.5
160,639900,,,,,,,,,,308.75,62.1,56,29,640000,737.2
161,643900,361.012479,366.657521,-150.456919,148.5396,148.5459,7846.5014,6996.2838,3.8233,0.3502,323.21,64.8,59,30,644000,743.5
162,647900,367.290908,370.751810,-150.778346,148.7599,148.7729,8112.7389,7104.2907,3.8631,0.3505,330.67,66.7,59,24,648000,750.1
163,651900,366.301380,371.744828,-151.016968,149.0093,149.0059,7428.7117,6644.8570,3.6546,0.3657,325.90,65.6,64,30,652000,756.7
164,655900,367.146031,371.194353,-151.278714,149.2855,149.2948,7842.8313,6717.4734,4.3158,0.3286,319.57,64.3,62,29,656000,763.1
165,659900,,,,,,,,,,329.42,66.4,61,38,660000,764.0
166,663900,366.804124,370.932649,-151.120470,149.1706,149.1767,8649.1493,7332.4838,3.5200,0.3435,336.99,67.6,57,29,664000,770.3
167,667900,362.541741,364.532023,-151.516461,149.4943,149.4961,8233.4410,7143.5414,3.9241,0.3144,337.31,67.3,63,28,668000,776.2
168,671900,365.703332,373.652968,-151.674117,149.7645,149.7633,8283.2951,7462.0392,4.4764,0.3893,315.33,63.1,56,31,672000,782.5
169,675900,375.353832,379.429093,-151.981798,149.9997,150.0042,8175.6110,7121.0675,3.9633,0.3458,333.70,67.0,62,27,676000,788.5
170,679900,,,,,,,,,,330.56,66.5,61,39,680000,789.0
171,683900,372.171648,374.414734,-152.058979,150.1780,150.1801,7918.8781,6864.9756,3.4744,0.3198,340.18,68.4,59,31,684000,791.4
172,687900,371.947163,378.612492,-152.279106,150.4281,150.4294,7956.8579,7552.0962,3.7536,0.3628,350.52,70.5,48,24,688000,794.4
173,691900,374.152816,377.698102,-152.312975,150.5954,150.5928,8332.0333,6922.4317,3.7158,0.3860,351.15,71.0,68,38,692000,797.0
174,695900,375.601710,374.635755,-152.631585,150.7539,150.7613,8326.6523,7296.5667,3.4368,0.3698,336.08,67.9,51,31,696000,799.6
175,699900,,,,,,,,,,344.20,69.2,64,32,700000,800.1
176,703900,367.339172,374.691135,-152.722618,150.9531,150.9442,8371.2448,7394.8097,3.2480,0.3735,327.15,65.7,58,28,704000,803.1
177,707900,370.316677,375.293445,-153.041676,151.1546,151.1404,8378.7683,7323.5920,3.2604,0.3758,325.16,65.4,69,30,708000,806.3
178,711900,374.216496,378.030305,-152.956814,151.2862,151.2929,8843.0052,8568.4340,3.1827,0.3674,296.67,59.2,75,39,712000,808.8
179,715900,370.359409,375.979280,-153.165400,151.2998,151.2935,8554.9949,7133.9900,3.3911,0.3604,276.93,55.2,65,39,716000,813.9
180,719900,,,,,,,,,,284.01,56.6,68,29,720000,814.7
181,723900,367.937016,379.006678,-153.230971,151.4484,151.4481,8156.9716,7562.7250,3.3586,0.3763,314.89,63.0,66,27,724000,821.1
182,727900,372.007448,379.411326,-153.257075,151.5595,151.5600,8832.6755,6987.7105,2.9809,0.3537,323.69,64.5,54,23,728000,827.5
183,731900,367.891492,371.485028,-153.425752,151.7815,151.7779,9024.1167,7852.2059,3.1430,0.3994,322.27,64.4,68,41,732000,833.9
