epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
56,223900,1.256319,1.210893,-9.135019,8.4535,8.4537,14.7462,13.3515,0.9712,0.0846,,,0,0,224000,65.4
57,227900,1.265692,1.218823,-9.839336,9.1572,9.1570,15.0811,13.5210,1.0364,0.0900,,,0,0,228000,66.8
58,231900,1.330081,1.284713,-10.531835,9.8606,9.8608,16.2191,14.7286,1.0277,0.0935,,,0,0,232000,68.3
59,235900,1.357079,1.301683,-11.228758,10.5423,10.5422,16.3973,14.8118,1.0433,0.0986,,,0,0,236000,69.7
60,239900,,,,,,,,,,,,0,0,240000,69.9
61,243900,1.407219,1.350955,-11.950644,11.2626,11.2622,17.4769,16.0700,1.1762,0.1054,,,0,0,244000,71.4
62,247900,1.444715,1.385426,-12.654337,11.9724,11.9726,17.4252,16.1056,1.0899,0.1031,,,0,0,248000,72.9
63,251900,1.472359,1.414183,-13.362561,12.6855,12.6853,18.4009,16.7263,1.1846,0.1078,,,0,0,252000,74.4
64,255900,1.510362,1.456372,-14.133327,13.4035,13.4039,18.5053,17.3370,1.1130,0.1096,,,0,0,256000,75.9
65,259900,,,,,,,,,,,,0,0,260000,76.0
66,263900,1.576077,1.506783,-14.806793,14.1226,14.1228,19.5756,17.9234,1.2200,0.1126,,,0,0,264000,77.5
67,267900,1.617753,1.549159,-15.626379,14.8791,14.8794,19.3761,17.8761,1.1653,0.1151,,,0,0,268000,79.0
68,271900,1.653531,1.589276,-16.349970,15.6447,15.6452,20.9068,19.5175,1.2520,0.1200,,,0,0,272000,80.5
69,275900,1.761873,1.677472,-17.126402,16.3944,16.3948,21.6256,19.8500,1.3004,0.1199,,,0,0,276000,82.0
70,279900,,,,,,,,,,,,0,0,280000,82.1
71,283900,1.795304,1.703692,-17.908373,17.1441,17.1446,22.6641,20.8463,1.2237,0.1184,,,0,0,284000,83.6
72,287900,1.861421,1.775499,-18.569060,17.8836,17.8837,23.1386,21.3237,1.2879,0.1210,,,0,0,288000,85.2
73,291900,1.896698,1.798358,-19.357585,18.6250,18.6259,23.5256,21.6958,1.3632,0.1253,,,0,0,292000,86.6
74,295900,1.947787,1.853564,-20.083390,19.3214,19.3217,24.8996,23.1565,1.3203,0.1244,,,0,0,296000,88.1
75,299900,,,,,,,,,,,,0,0,300000,88.2
76,303900,2.058747,1.949503,-20.841458,20.0694,20.0703,26.0914,24.4163,1.2872,0.1259,1016.84,1001.0,100,45,304000,89.8
77,307900,2.621578,2.513785,-22.092927,21.3476,21.3476,30.7313,29.5664,1.4057,0.1297,,,0,0,308000,91.2
78,311900,2.796726,2.660602,-23.531760,22.8056,22.8063,33.5166,33.1887,1.3638,0.1355,,,0,0,312000,92.7
79,315900,3.182056,3.015096,-25.083497,24.2873,24.2878,36.2947,35.2072,1.3381,0.1341,,,0,0,316000,94.2
80,319900,,,,,,,,,,,,0,0,320000,94.3
81,323900,3.131331,2.967533,-26.415856,25.6434,25.6439,38.0337,37.6550,1.3628,0.1433,,,0,0,324000,95.8
82,327900,3.383410,3.198235,-27.741500,26.9761,26.9766,40.7630,39.5834,1.4242,0.1444,,,0,0,328000,97.3
83,331900,3.562108,3.372163,-29.105950,28.3264,28.3267,44.0973,44.2806,1.5418,0.1478,,,0,0,332000,98.8
84,335900,3.635572,3.437476,-30.489690,29.6453,29.6463,44.7784,43.9351,1.5893,0.1489,,,0,0,336000,100.3
85,339900,,,,,,,,,,,,0,0,340000,100.5
86,343900,3.803705,3.572169,-31.635318,30.8289,30.8298,48.0496,47.8864,1.5072,0.1561,,,0,0,344000,101.9
87,347900,4.026370,3.801307,-32.790661,31.9874,31.9869,52.2692,54.5970,1.4783,0.1556,,,0,0,348000,103.4
88,351900,4.220148,3.964516,-33.887311,33.0604,33.0605,53.6415,54.4316,1.7187,0.1657,,,0,0,352000,104.9
89,355900,4.118234,3.861593,-34.963906,34.1243,34.1249,53.1092,53.9589,1.6580,0.1658,,,0,0,356000,106.4
90,359900,,,,,,,,,,,,0,0,360000,106.5
91,363900,4.305922,4.039738,-35.985467,35.1681,35.1684,57.0306,59.3966,1.5452,0.1693,,,0,0,364000,108.0
92,367900,4.504444,4.232350,-37.165620,36.2943,36.2942,59.7985,61.5636,1.5330,0.1726,,,0,0,368000,109.4
93,371900,4.745686,4.452713,-38.196681,37.2976,37.2983,60.4863,62.2910,1.6965,0.1867,,,0,0,372000,110.9
94,375900,4.478273,4.198718,-39.080508,38.1895,38.1893,62.0917,63.9397,1.6463,0.1824,,,0,0,376000,112.4
95,379900,,,,,,,,,,,,0,0,380000,112.6
96,383900,4.917080,4.619764,-39.903947,39.1191,39.1196,69.8916,70.2732,1.7055,0.1856,,,0,0,384000,114.1
97,387900,5.047877,4.755795,-40.819050,39.9227,39.9231,68.5956,72.0095,1.7308,0.1902,,,0,0,388000,115.6
98,391900,5.002855,4.743101,-41.660536,40.8071,40.8071,73.7095,76.6842,1.7588,0.1997,,,0,0,392000,117.0
99,395900,5.067953,4.793119,-42.544475,41.6746,41.6752,69.2332,70.9822,1.9177,0.2020,,,0,0,396000,118.5
100,399900,,,,,,,,,,,,0,0,400000,118.7
101,403900,5.242077,4.972770,-43.296360,42.4690,42.4693,74.8818,77.8692,2.0359,0.2028,1884.25,1001.0,100,63,404000,120.2
102,407900,6.407550,6.139900,-44.605461,43.7522,43.7522,80.4380,82.6495,1.9917,0.2166,,,0,0,408000,121.7
103,411900,6.610350,6.331197,-46.390250,45.5126,45.5132,86.1111,87.5204,2.1088,0.2202,,,0,0,412000,123.2
104,415900,6.763145,6.484346,-48.051315,47.1490,47.1494,88.3540,89.7346,2.5157,0.2533,,,0,0,416000,124.7
105,419900,,,,,,,,,,,,0,0,420000,124.8
106,423900,6.941979,6.655057,-49.498584,48.6692,48.6692,92.2732,93.6410,2.3374,0.2660,,,0,0,424000,126.3
107,427900,6.721187,6.418669,-51.129918,50.1796,50.1803,87.9128,91.3161,2.1909,0.2495,,,0,0,428000,127.8
108,431900,7.412753,7.127794,-52.652069,51.8214,51.8215,98.8820,102.0196,2.5716,0.2887,,,0,0,432000,129.2
109,435900,7.734285,7.453462,-54.059658,53.2660,53.2660,100.8951,104.7608,2.6197,0.2784,,,0,0,436000,130.7
110,439900,,,,,,,,,,,,0,0,440000,130.8
111,443900,7.934305,7.652126,-55.646077,54.7444,54.7443,106.7425,110.2028,2.8049,0.3251,,,0,0,444000,132.3
112,447900,7.711636,7.436142,-57.299695,56.2891,56.2895,105.3682,110.0832,3.1342,0.3398,,,0,0,448000,133.9
113,451900,8.371214,8.084937,-58.674158,57.6101,57.6100,115.0662,120.0673,3.2172,0.3649,,,0,0,452000,135.4
114,455900,8.298314,8.029216,-60.056463,58.9967,58.9976,112.6975,117.3444,3.5510,0.3730,,,0,0,456000,136.8
115,459900,,,,,,,,,,,,0,0,460000,137.0
116,463900,8.055024,7.780199,-61.477392,60.5509,60.5495,117.1952,124.6689,2.9854,0.3673,,,0,0,464000,138.5
117,467900,8.582900,8.278717,-62.731721,61.7581,61.7590,122.8633,124.9192,3.7237,0.3958,,,0,0,468000,140.0
118,471900,8.976946,8.738271,-64.206900,63.3029,63.3025,126.5746,128.8635,4.4125,0.4338,,,0,0,472000,141.5
119,475900,9.124371,8.865931,-65.456389,64.4717,64.4717,129.3056,132.6370,4.4367,0.4637,,,0,0,476000,142.9
120,479900,,,,,,,,,,,,0,0,480000,143.1
121,483900,8.578530,8.337458,-66.940268,65.9942,65.9940,124.4429,128.7935,4.4409,0.4901,,,0,0,484000,144.6
122,487900,9.181768,8.894739,-68.282750,67.3353,67.3352,139.6589,143.3900,4.2136,0.4744,,,0,0,488000,146.1
123,491900,9.272882,9.018613,-69.630989,68.6729,68.6727,142.5950,147.2947,5.6416,0.5065,,,0,0,492000,147.6
