epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3900,,,,,,-9.05,24.4,32,4000,0.3
2,7900,,,,,,-15.15,43.1,17,8000,0.6
3,11900,0.470887,-2.692228,1.7030,2.1663,0.1632,27.41,80.0,1,12000,2.0
4,15900,0.655261,-4.363020,2.8662,4.1147,0.6514,,,0,16000,3.4
5,19900,,,,,,,,0,20000,3.6
