epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,-13.50,26.8,28,15,4000,0.3
2,7900,,,,,,,-18.71,44.8,12,4,8000,0.6
3,11900,0.477986,-2.087594,1.4197,1.9085,0.0160,0.0061,19.78,91.9,11,5,12000,2.3
4,15900,0.824249,-3.127627,1.7487,3.7681,0.6230,0.0000,,,0,0,16000,3.8
5,19900,,,,,,,-101.99,163.2,5,4,20000,4.1
6,23900,0.981267,-3.666514,2.3149,4.7518,0.6540,0.0039,-108.75,160.3,9,6,24000,5.7
7,27900,1.219826,-4.833058,3.6101,7.0449,1.3710,0.0137,-77.30,241.0,1,0,28000,7.4
8,31900,1.037937,-6.359175,5.3654,7.1047,1.2052,0.0158,,,0,0,32000,9.1
9,35900,0.868190,-7.498740,6.6695,6.2913,1.0499,0.0170,,,0,0,36000,10.8
10,39900,,,,,,,,,0,0,40000,11.0
11,43900,0.864284,-9.081051,7.7848,6.1916,1.3488,0.0245,-72.57,399.0,2,0,44000,12.6
12,47900,1.001189,-11.090612,9.9544,6.7866,1.2057,0.0270,-122.39,401.5,2,1,48000,14.2
13,51900,1.025190,-13.000296,11.9704,6.5639,1.2008,0.0299,-64.35,494.0,3,1,52000,15.8
14,55900,1.035235,-14.836024,13.8880,6.5722,1.0605,0.0313,-38.64,501.5,4,0,56000,17.4
15,59900,,,,,,,36.85,477.3,3,2,60000,17.7
16,63900,1.039510,-16.648702,15.7513,6.4127,1.1002,0.0351,122.53,212.5,2,1,64000,19.3
17,67900,1.043508,-18.374838,17.5428,6.1870,1.1116,0.0360,52.30,617.5,2,0,68000,21.0
18,71900,1.023209,-20.024678,19.2436,5.8515,1.1114,0.0377,107.97,671.0,1,0,72000,22.8
19,75900,1.070114,-21.634265,20.8960,6.3359,1.2365,0.0406,150.38,424.0,6,3,76000,24.4
20,79900,,,,,,,160.33,312.5,2,1,80000,24.7
21,83900,1.051141,-23.260563,22.5510,5.8116,1.1831,0.0449,,,0,0,84000,26.4
22,87900,1.033010,-24.845950,24.1595,6.0426,1.1792,0.0478,,,0,0,88000,28.0
23,91900,0.993998,-26.389149,25.7237,5.6683,1.2569,0.0509,,,0,0,92000,29.6
24,95900,0.948271,-27.889727,27.2461,5.3236,1.1704,0.0520,,,0,0,96000,31.1
25,99900,,,,,,,245.59,1000.0,40,16,100000,31.4
26,103900,1.221455,-29.302878,28.6842,5.9073,1.2261,0.0567,288.40,975.8,17,9,104000,33.0
27,107900,1.469115,-30.820046,30.2310,6.0369,1.2706,0.0624,261.01,624.4,8,3,108000,34.5
28,111900,1.506230,-32.306025,31.7450,6.2431,1.2089,0.0669,272.35,885.9,8,2,112000,36.1
29,115900,1.647809,-33.669087,33.1348,6.6387,1.2540,0.0722,112.08,118.2,6,5,116000,37.7
30,119900,,,,,,,380.00,762.0,4,2,120000,37.9
31,123900,1.867432,-35.037338,34.5172,7.0585,1.2870,0.0796,407.01,705.8,13,9,124000,39.5
32,127900,1.940002,-36.380127,35.8698,7.4827,1.3249,0.0854,205.32,195.7,3,1,128000,41.1
33,131900,1.962625,-37.726001,37.2115,7.2039,1.2365,0.0853,,,0,0,132000,42.6
34,135900,2.041465,-39.032339,38.5169,7.5034,1.4165,0.0919,,,0,0,136000,44.2
35,139900,,,,,,,373.89,335.6,5,2,140000,44.4
36,143900,2.114218,-40.368246,39.8361,7.8503,1.3668,0.0965,428.64,481.3,3,1,144000,46.0
37,147900,2.124820,-41.666457,41.1393,8.1938,1.4416,0.1012,603.56,783.0,3,1,148000,47.6
38,151900,2.372389,-43.037882,42.5115,9.2506,1.4507,0.1088,498.58,640.2,4,2,152000,49.2
39,155900,2.466576,-44.490053,43.9521,9.3687,1.4519,0.1164,640.14,864.6,5,2,156000,50.8
40,159900,,,,,,,462.65,522.8,4,2,160000,51.0
41,163900,2.608864,-45.956161,45.4137,9.6614,1.4081,0.1240,634.60,718.8,6,2,164000,52.7
42,167900,2.743452,-47.487880,46.9416,11.1658,1.5373,0.1284,550.14,524.7,6,5,168000,54.2
43,171900,3.132869,-49.062285,48.5044,12.1110,1.5455,0.1394,387.53,374.2,11,6,172000,55.8
44,175900,3.293644,-50.480299,49.9484,12.8290,1.4838,0.1464,577.19,625.9,10,5,176000,57.4
45,179900,,,,,,,270.77,371.3,3,3,180000,57.7
46,183900,3.529497,-51.831273,51.2810,14.1798,1.5991,0.1509,376.08,295.3,3,1,184000,59.3
47,187900,3.536992,-53.177297,52.6078,14.1240,1.5945,0.1530,155.40,117.3,3,1,188000,60.8
48,191900,3.594439,-54.496713,53.9312,14.6443,1.7271,0.1583,94.90,73.5,2,2,192000,62.4
