episode_id,length,total_reward,has_disturbance,mean_alpha_target
0,1208,-418.7156066894531,1,0.6695364713668823
1,6,-4.371908187866211,0,0.9000000357627869
2,39,-25.726659774780273,1,0.7153846025466919
3,190,-71.15599060058594,1,0.6684210896492004
4,53,-24.545734405517578,1,0.5830188393592834
5,113,-57.631954193115234,1,0.6805309653282166
6,189,-80.4353256225586,1,0.6587300896644592
7,9,-2.4771623611450195,1,0.8111110925674438
8,220,-82.23999786376953,1,0.6781818270683289
9,148,-58.838653564453125,1,0.6675676107406616
10,45,-22.011911392211914,1,0.704444408416748
11,36,-19.097482681274414,1,0.7000000476837158
12,31,-7.303279876708984,1,0.5903224945068359
13,28,-10.360091209411621,1,0.7571427226066589
14,54,-21.736032485961914,1,0.6481481194496155
15,30,-14.268644332885742,1,0.6866666078567505
16,36,-26.520309448242188,1,0.7666666507720947
17,76,-18.7663631439209,1,0.6789474487304688
18,151,-44.78270721435547,1,0.6986755132675171
19,67,-27.041107177734375,1,0.7089552283287048
20,254,-75.47007751464844,1,0.6984251737594604
21,102,-42.1947021484375,1,0.719607949256897
22,109,-39.35011672973633,1,0.7165137529373169
23,36,-25.152231216430664,1,0.7666666507720947
24,244,-92.59342956542969,1,0.7098360657691956
25,38,-8.36841869354248,1,0.7526315450668335
26,70,-20.9639892578125,1,0.6828572154045105
27,52,-14.181755065917969,1,0.7769231796264648
28,113,-38.979644775390625,1,0.7159290909767151
29,7,-0.9076418876647949,1,0.6714285612106323
30,4,2.359072208404541,1,0.5
31,18,-1.5401513576507568,1,0.5888888835906982
32,3,0.5260987877845764,1,0.6333333253860474
33,29,-5.759936332702637,1,0.7344826459884644
34,130,-23.84408950805664,1,0.7461538314819336
35,62,-13.961236953735352,1,0.680645227432251
36,125,-26.637598037719727,1,0.7527999877929688
37,263,-68.69389343261719,1,0.7387832403182983
38,40,-14.024304389953613,1,0.800000011920929
39,195,-65.17280578613281,1,0.7564102411270142
40,146,-40.918975830078125,1,0.7520548105239868
41,79,-14.266885757446289,1,0.778481125831604
42,2,-1.2649222612380981,0,0.8999999761581421
43,5,-3.1963391304016113,1,0.7399999499320984
44,138,-28.28020477294922,1,0.7434782981872559
45,2,0.10673940181732178,0,0.8999999761581421
46,11,-0.6956841349601746,1,0.8272726535797119
47,209,-59.2404670715332,1,0.7775119543075562
48,4,0.3004528284072876,1,0.5
49,17,-4.958191871643066,1,0.85294109582901
50,144,-37.98906326293945,1,0.7555555701255798
51,144,-32.09375,1,0.7833333611488342
52,5,1.239956259727478,1,0.7399999499320984
53,144,-36.34333038330078,1,0.7666666507720947
54,80,-24.369197845458984,1,0.7900000214576721
55,60,-10.299543380737305,1,0.7400001287460327
56,38,-10.246613502502441,1,0.7947367429733276
57,45,-15.141695022583008,1,0.6866666078567505
58,60,-14.617834091186523,1,0.8066666722297668
59,66,-19.27104377746582,1,0.7424243092536926
60,47,-19.431015014648438,1,0.7468084692955017
61,178,-60.389991760253906,1,0.7651686072349548
62,105,-23.94243621826172,1,0.7628571391105652
63,10,-1.8321411609649658,1,0.6599999666213989
64,50,-8.009449005126953,1,0.7560000419616699
65,97,-39.17869186401367,1,0.751546323299408
66,16,-6.51429557800293,1,0.75
67,18,-7.547457695007324,1,0.8111110329627991
68,59,-22.653636932373047,1,0.7372881770133972
69,5,-2.748231887817383,1,0.7399999499320984
70,56,-26.800512313842773,1,0.7571429014205933
71,57,-10.604097366333008,1,0.7315790057182312
72,168,-60.26361846923828,1,0.723809540271759
73,69,-26.495925903320312,1,0.7724637985229492
74,27,-8.372784614562988,1,0.6037036776542664
75,231,-65.81051635742188,1,0.7303029894828796
76,34,-13.974721908569336,1,0.7117646932601929
77,84,-27.619203567504883,1,0.6809524893760681
78,44,-21.32848358154297,1,0.7363635897636414
79,147,-54.489418029785156,1,0.704081654548645
80,13,-2.2204771041870117,1,0.7153846025466919
81,37,-19.59787940979004,1,0.7054053544998169
82,66,-21.68053436279297,1,0.6939394474029541
83,15,-4.418667316436768,1,0.7933332324028015
84,43,-11.836989402770996,1,0.6767441630363464
85,80,-29.653366088867188,1,0.6699999570846558
86,68,-15.298920631408691,1,0.7000000476837158
87,98,-32.60982131958008,1,0.6877550482749939
88,32,-17.596027374267578,1,0.6749999523162842
89,21,-6.887452602386475,1,0.7476189732551575
90,38,-8.764898300170898,1,0.6684209704399109
91,130,-25.436355590820312,1,0.6969230771064758
92,38,-3.9482452869415283,1,0.7736841440200806
93,101,-17.875303268432617,1,0.6940594911575317
94,101,-27.152629852294922,1,0.6940594911575317
95,11,0.06973868608474731,1,0.6090908646583557
96,12,-4.073890686035156,1,0.5
97,25,-10.10544204711914,1,0.8039999604225159
98,170,-54.49602508544922,1,0.6882352828979492
99,72,-28.456165313720703,1,0.6888889074325562
100,194,-64.22740936279297,1,0.6773196458816528
101,111,-23.227449417114258,1,0.7054054737091064
102,20,-5.104212760925293,1,0.6599999666213989
103,222,-53.47582244873047,1,0.6837837100028992
104,136,-49.482200622558594,1,0.6882352828979492
105,92,-38.78736877441406,1,0.665217399597168
106,28,-6.058097839355469,1,0.7571428418159485
107,57,-23.26070213317871,1,0.6754385828971863
108,57,-15.218256950378418,1,0.6894737482070923
109,109,-39.22407913208008,1,0.6871559619903564
110,72,-26.805492401123047,1,0.6555555462837219
111,42,-21.704357147216797,1,0.6714285612106323
112,56,-11.922761917114258,1,0.6857143044471741
113,188,39.56455993652344,1,0.6744680404663086
114,158,-240.02618408203125,1,0.6772152185440063
115,97,-185.0073699951172,1,0.6938144564628601
116,43,-84.4563980102539,1,0.71395343542099
117,194,-318.20758056640625,1,0.6855670213699341
118,68,-103.8353271484375,1,0.7000001072883606
119,42,-70.42852783203125,1,0.6714285612106323
120,18,-23.24090576171875,1,0.8111110329627991
121,19,-29.870920181274414,1,0.6894736289978027
122,24,-31.253950119018555,1,0.5999999642372131
123,41,-47.29294967651367,1,0.6658536195755005
124,61,-81.12918090820312,1,0.7163935303688049
125,76008,49591.65234375,1,0.692021906375885
126,13049,9165.5556640625,1,0.6919839978218079
127,9,3.9998700618743896,1,0.6333333849906921
128,7,4.803933620452881,1,0.6714285612106323
129,9,6.446218013763428,1,0.5444444417953491
130,5,3.6348705291748047,1,0.41999998688697815
131,1,0.29366207122802734,0,0.8999999761581421
132,9,6.920705795288086,1,0.8111110925674438
133,4,3.628323793411255,0,0.8999999761581421
134,14,7.895593643188477,1,0.7857142090797424
135,1,0.9536563158035278,1,0.10000000149011612
136,1,0.24118280410766602,1,0.10000000149011612
137,3,1.377444863319397,1,0.6333333253860474
138,2,1.4584299325942993,1,0.5
139,1,0.5511975884437561,0,0.8999999761581421
140,1,0.4980872869491577,1,0.10000000149011612
141,4,1.3864949941635132,1,0.5
142,14,10.430931091308594,1,0.728571355342865
143,4,1.9687397480010986,1,0.699999988079071
144,2,1.69441556930542,0,0.8999999761581421
145,1322,1013.4234619140625,1,0.6930407881736755
146,813,628.0867919921875,1,0.688437819480896
147,148,115.08672332763672,1,0.7054054737091064
148,112,88.3045883178711,1,0.6999999284744263
149,224,177.97161865234375,1,0.7035713791847229
150,574,441.3063659667969,1,0.690940797328949
151,109,84.63345336914062,1,0.694495439529419
152,36,28.92722511291504,1,0.6111111044883728
153,352,283.2752380371094,1,0.6818181872367859
154,172,137.48138427734375,1,0.6813953518867493
155,4,3.058831214904785,1,0.699999988079071
156,50,39.48463439941406,1,0.6759999990463257
157,130,107.2041015625,1,0.6476923227310181
158,910,750.4264526367188,1,0.6705493927001953
159,2,1.601783275604248,0,0.8999999761581421
160,156,123.01725769042969,1,0.6641026139259338
161,213,173.68179321289062,1,0.6708920001983643
162,17,12.66021728515625,1,0.42941176891326904
163,144,108.9391098022461,1,0.6777777671813965
164,149,106.07279205322266,1,0.6637583374977112
165,144,110.28245544433594,1,0.6722222566604614
166,140,103.36129760742188,1,0.6828572154045105
167,38,31.543819427490234,1,0.6473683714866638
168,45,34.7369384765625,1,0.6688888072967529
169,60,44.776123046875,1,0.6599999666213989
170,66,48.01728439331055,1,0.6939394474029541
171,47,37.55500411987305,1,0.6276595592498779
172,178,139.46932983398438,1,0.6617977619171143
173,115,91.48798370361328,1,0.6565217971801758
174,147,119.24691772460938,1,0.6659864187240601
175,16,12.424176216125488,1,0.5999999642372131
176,18,14.367588996887207,1,0.6333333253860474
177,59,49.028961181640625,1,0.6830508708953857
178,5,3.184762477874756,1,0.5799999833106995
179,56,44.66718292236328,1,0.6428571343421936
180,225,185.1204071044922,1,0.6511111259460449
181,69,57.769378662109375,1,0.6681158542633057
182,27,22.718521118164062,1,0.6629629731178284
183,231,190.92384338378906,1,0.6887445449829102
184,34,29.679101943969727,1,0.6411764621734619
185,84,69.83565521240234,1,0.6619047522544861
186,191,163.8114013671875,1,0.698952853679657
187,50,42.8726692199707,1,0.6279999613761902
188,66,51.2569580078125,1,0.6939394474029541
189,206,177.51022338867188,1,0.6864078044891357
190,130,112.7100830078125,1,0.678461492061615
191,21,17.946474075317383,1,0.7476189732551575
192,168,140.7393798828125,1,0.6761904954910278
193,38,28.21780014038086,1,0.6684209704399109
194,101,85.97608947753906,1,0.6861386299133301
195,101,85.57203674316406,1,0.6861386299133301
196,11,8.976428985595703,1,0.8272726535797119
197,12,8.059085845947266,1,0.5
198,25,23.19063949584961,1,0.6759999990463257
199,170,142.85414123535156,1,0.7070587873458862
