epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
54,215900,4.667155,-63.267943,62.7573,15.1727,1.9085,0.1847,606.43,577.7,3,2,216000,84.0,0.039556,0.030697,0.004430
55,219900,,,,,,,536.46,751.6,7,1,220000,84.3,,,
56,223900,5.027942,-64.640961,64.1051,16.7833,1.9544,0.1933,455.35,414.5,4,2,224000,86.3,0.075863,0.064349,0.005757
57,227900,5.222068,-65.875153,65.3338,17.5602,1.9177,0.2068,769.85,690.0,2,0,228000,88.2,0.033921,0.026395,0.003763
58,231900,5.342355,-67.173742,66.6174,17.4227,1.9547,0.2057,596.58,673.8,4,4,232000,90.0,0.033024,0.026200,0.003412
59,235900,5.452269,-68.417750,67.8732,18.0048,1.9992,0.2118,417.28,432.6,7,5,236000,91.9,0.011166,0.006515,0.002326
60,239900,,,,,,,482.74,311.0,1,0,240000,92.1,,,
61,243900,5.532172,-69.678165,69.1213,17.4617,1.9910,0.2231,434.96,492.0,3,2,244000,94.0,0.010461,0.007005,0.001728
62,247900,5.470890,-70.914535,70.3482,16.5827,2.0261,0.2206,550.52,627.5,2,2,248000,95.8,0.016316,0.012167,0.002074
63,251900,5.742652,-72.192106,71.6358,19.0938,1.9933,0.2311,704.70,614.5,6,4,252000,97.6,0.012619,0.008817,0.001901
64,255900,6.146242,-73.346930,72.7749,21.6103,2.0539,0.2415,524.30,335.7,6,3,256000,99.7,0.059752,0.052933,0.003410
65,259900,,,,,,,517.16,469.1,7,1,260000,99.9,,,
66,263900,6.297360,-74.455850,73.9022,20.7855,2.0859,0.2458,509.79,665.4,7,3,264000,101.9,0.055678,0.048918,0.003380
67,267900,6.520026,-75.598195,75.0247,23.0999,2.0386,0.2553,925.33,843.5,6,3,268000,103.8,0.049506,0.042622,0.003442
68,271900,6.445785,-76.804325,76.2134,22.8492,2.1113,0.2621,511.21,579.2,11,3,272000,105.8,0.070607,0.061887,0.004360
69,275900,7.162453,-77.959740,77.3631,25.0475,2.0504,0.2684,532.02,568.6,9,3,276000,107.8,0.054427,0.045872,0.004277
70,279900,,,,,,,469.77,532.9,14,6,280000,108.0,,,
71,283900,7.489650,-79.230148,78.6309,23.8360,2.0878,0.2695,183.42,94.8,5,2,284000,109.9,0.050654,0.043150,0.003752
72,287900,7.409854,-80.389583,79.7707,25.5066,2.1769,0.2786,440.60,564.0,5,2,288000,111.8,0.038741,0.031323,0.003709
73,291900,8.294414,-81.613013,80.9732,28.8916,2.1906,0.2849,431.17,559.5,12,5,292000,113.7,0.032080,0.025005,0.003538
74,295900,8.835414,-82.867698,82.2302,28.2892,2.3737,0.2978,365.86,327.2,12,6,296000,115.6,0.071163,0.058674,0.006245
75,299900,,,,,,,358.70,279.5,10,5,300000,115.9,,,
76,303900,9.359307,-84.049392,83.3941,35.6414,2.3723,0.3031,753.98,850.1,18,9,304000,117.7,0.063528,0.052011,0.005758
77,307900,8.840041,-85.412828,84.7466,30.2808,2.3095,0.3072,461.10,683.8,6,3,308000,119.7,0.071595,0.060812,0.005391
78,311900,9.450962,-86.735035,86.0820,36.9812,2.2835,0.3267,610.00,660.4,10,4,312000,121.7,0.054685,0.045519,0.004583
79,315900,10.046178,-88.208695,87.5675,35.3076,2.4093,0.3293,603.92,630.6,8,6,316000,123.6,0.052287,0.043649,0.004319
80,319900,,,,,,,569.06,555.8,8,3,320000,123.9,,,
81,323900,10.423217,-89.446377,88.8183,33.7755,2.4195,0.3334,691.83,745.0,3,2,324000,125.8,0.064978,0.053922,0.005528
