epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
57,227900,0.285206,0.293187,-5.243099,4.8857,4.8866,0.8280,0.7980,0.1546,81.89,83.9,76,228000,10.9
58,231900,0.296294,0.304884,-5.340032,4.9932,4.9924,0.9038,0.8447,0.2632,80.55,82.5,20,232000,11.1
59,235900,0.299556,0.308270,-5.484641,5.1128,5.1132,0.9048,0.9329,0.1776,85.79,87.8,68,236000,11.3
60,239900,,,,,,,,,89.22,91.2,23,240000,11.4
61,243900,0.326510,0.336042,-5.578108,5.2232,5.2226,0.9456,0.9425,0.2658,88.99,91.0,69,244000,11.6
62,247900,0.317532,0.325821,-5.714522,5.3533,5.3539,0.9998,0.8507,0.2510,87.43,89.4,28,248000,11.8
63,251900,0.318109,0.327687,-5.814813,5.4726,5.4725,0.9197,0.8862,0.1808,85.39,87.4,54,252000,12.0
64,255900,0.338180,0.349530,-5.933913,5.5659,5.5660,0.9478,0.9583,0.2454,87.07,89.1,42,256000,12.2
65,259900,,,,,,,,,93.29,95.3,17,260000,12.3
66,263900,0.339701,0.347699,-6.041070,5.6804,5.6803,1.4921,1.3421,0.3391,90.99,93.0,83,264000,12.5
67,267900,0.355428,0.366294,-6.128352,5.7707,5.7711,1.0447,0.9802,0.3116,76.24,78.2,17,268000,12.7
68,271900,0.368559,0.379652,-6.264277,5.8889,5.8884,1.2146,1.0925,0.5125,74.95,77.0,85,272000,12.9
69,275900,0.376400,0.389871,-6.376534,6.0072,6.0071,1.1339,1.0817,0.4241,67.91,69.9,57,276000,13.1
70,279900,,,,,,,,,67.11,69.1,47,280000,13.2
71,283900,0.373473,0.385808,-6.522192,6.1098,6.1094,1.1527,1.2023,0.2954,69.47,71.5,75,284000,13.4
72,287900,0.382486,0.395960,-6.633071,6.2195,6.2197,1.1337,1.0978,0.3346,68.67,70.7,30,288000,13.6
73,291900,0.399164,0.413974,-6.738963,6.3280,6.3280,1.2148,1.1952,0.4258,66.26,68.3,86,292000,13.8
74,295900,0.414061,0.428520,-6.865378,6.4329,6.4330,1.3334,1.2748,0.2632,67.57,69.6,21,296000,14.0
75,299900,,,,,,,,,69.87,71.9,86,300000,14.1
76,303900,0.422923,0.436980,-6.942623,6.5463,6.5464,1.2475,1.1632,0.2976,69.71,71.7,31,304000,14.3
77,307900,0.438161,0.454280,-7.082270,6.6606,6.6606,1.3763,1.4359,0.2911,73.18,75.2,68,308000,14.5
78,311900,0.432754,0.448528,-7.181981,6.7893,6.7892,1.4942,1.3667,0.5012,75.61,77.6,41,312000,14.8
79,315900,0.457960,0.474159,-7.310198,6.8828,6.8824,1.8076,1.7560,0.4184,76.95,78.9,58,316000,15.0
80,319900,,,,,,,,,79.06,81.1,32,320000,15.1
81,323900,0.427031,0.441838,-7.428822,7.0057,7.0056,1.4021,1.3154,0.3527,81.68,83.7,66,324000,15.3
82,327900,0.457183,0.473251,-7.482907,7.1074,7.1079,1.4459,1.4311,0.4278,74.07,76.1,61,328000,15.5
83,331900,0.460476,0.478272,-7.613881,7.2152,7.2139,1.3709,1.3482,0.3137,71.87,73.9,39,332000,15.7
84,335900,0.477015,0.494408,-7.727139,7.3063,7.3059,1.6303,1.5306,0.3971,79.77,81.8,44,336000,15.9
85,339900,,,,,,,,,87.46,89.5,50,340000,16.0
86,343900,0.536918,0.560005,-7.811829,7.4143,7.4146,1.6700,1.7243,0.5476,80.81,82.8,54,344000,16.2
87,347900,0.470548,0.495453,-7.929798,7.5348,7.5349,1.6161,1.7416,0.5744,78.10,80.1,39,348000,16.4
88,351900,0.515310,0.538051,-8.044632,7.6509,7.6505,1.5314,1.4333,0.4571,83.59,85.6,46,352000,16.6
89,355900,0.530951,0.554245,-8.156348,7.7472,7.7463,1.8980,1.6987,0.3486,85.30,87.3,53,356000,16.9
90,359900,,,,,,,,,80.75,82.8,36,360000,17.0
91,363900,0.515924,0.539810,-8.261815,7.8603,7.8605,2.2040,2.0001,0.4472,88.14,90.1,51,364000,17.2
92,367900,0.551186,0.578845,-8.371956,7.9716,7.9728,1.8098,1.9475,0.5827,86.32,88.3,38,368000,17.5
93,371900,0.571739,0.598961,-8.510362,8.0533,8.0515,2.1133,2.0205,0.4861,90.44,92.4,52,372000,17.7
94,375900,0.573174,0.600218,-8.540974,8.1819,8.1811,2.1134,1.7919,0.5635,103.55,105.5,11,376000,17.9
95,379900,,,,,,,,,93.86,95.9,81,380000,18.0
96,383900,0.562910,0.593505,-8.670463,8.2833,8.2840,2.0940,2.0695,0.4116,109.67,111.7,15,384000,18.2
97,387900,0.558362,0.588173,-8.722203,8.3892,8.3899,2.2225,2.1759,0.6181,91.97,94.0,29,388000,18.4
98,391900,0.580446,0.609259,-8.816101,8.4822,8.4811,2.2078,2.0386,0.4903,104.30,106.3,56,392000,18.6
99,395900,0.601528,0.629847,-8.929931,8.5900,8.5882,2.3059,2.0764,0.5347,134.64,136.6,11,396000,18.8
100,399900,,,,,,,,,116.81,118.8,27,400000,18.9
101,403900,0.591319,0.621265,-9.040331,8.6724,8.6727,1.9268,1.9335,0.3612,124.85,126.8,46,404000,19.1
102,407900,0.597101,0.628206,-9.148302,8.7757,8.7758,2.1735,2.1503,0.5826,138.64,140.6,33,408000,19.4
103,411900,0.590717,0.620789,-9.229248,8.9000,8.9005,2.1009,1.8652,0.6403,106.71,108.7,38,412000,19.6
104,415900,0.633637,0.664512,-9.343533,8.9839,8.9832,2.2445,2.0083,0.4590,100.89,102.9,35,416000,19.8
105,419900,,,,,,,,,102.49,104.5,45,420000,19.9
106,423900,0.643393,0.674290,-9.479216,9.1001,9.1004,2.3760,2.1021,0.5452,97.44,99.4,25,424000,20.1
107,427900,0.581074,0.617965,-9.561449,9.1961,9.1959,1.8991,1.7483,0.4453,109.33,111.3,49,428000,20.3
108,431900,0.635154,0.670020,-9.671975,9.3090,9.3092,2.3875,2.1247,0.4958,109.50,111.5,36,432000,20.5
109,435900,0.634622,0.667426,-9.744656,9.3881,9.3856,2.3665,2.1987,0.4666,97.10,99.1,42,436000,20.7
110,439900,,,,,,,,,100.00,102.0,29,440000,20.8
111,443900,0.620986,0.658955,-9.878132,9.5200,9.5212,2.0649,2.0508,0.4547,110.26,112.3,38,444000,21.0
112,447900,0.673345,0.710339,-9.982776,9.6108,9.6103,2.2447,2.2964,0.5259,108.38,110.4,45,448000,21.2
113,451900,0.642739,0.673297,-10.076683,9.7047,9.7035,2.6070,2.3838,0.4625,94.58,96.6,53,452000,21.5
114,455900,0.647078,0.678811,-10.204817,9.8015,9.8028,2.8346,2.5141,0.5061,83.05,85.0,40,456000,21.7
115,459900,,,,,,,,,78.97,81.0,59,460000,21.8
116,463900,0.646198,0.681728,-10.358680,9.9360,9.9350,2.8855,2.8482,0.5146,67.60,69.6,58,464000,22.0
117,467900,0.669849,0.702476,-10.429332,10.0289,10.0291,2.4279,2.3310,0.5395,73.58,75.6,40,468000,22.2
118,471900,0.699467,0.733690,-10.493125,10.1053,10.1052,2.6135,2.5490,0.6488,73.91,75.9,70,472000,22.5
119,475900,0.667332,0.697920,-10.620019,10.2137,10.2121,2.5090,2.4293,0.5702,69.55,71.6,56,476000,22.7
120,479900,,,,,,,,,63.69,65.7,62,480000,22.8
121,483900,0.692584,0.727869,-10.686932,10.3029,10.3043,2.6443,2.5961,0.5073,52.79,54.8,82,484000,23.0
122,487900,0.746100,0.779541,-10.831367,10.3870,10.3867,2.5884,2.5403,0.6221,58.03,60.0,73,488000,23.2
123,491900,0.755181,0.798033,-10.901349,10.4825,10.4804,2.8462,2.8490,0.6829,55.64,57.6,53,492000,23.4
124,495900,0.732943,0.768653,-11.034151,10.5950,10.5961,2.7239,2.5799,0.3733,52.25,54.3,79,496000,23.7
125,499900,,,,,,,,,52.34,54.3,86,500000,23.7
126,503900,0.769544,0.809370,-11.085370,10.6647,10.6629,3.1713,2.9443,0.3938,53.27,55.3,66,504000,24.0
127,507900,0.782097,0.816019,-11.136418,10.7391,10.7403,3.3048,2.7789,0.7276,53.24,55.2,62,508000,24.2
128,511900,0.777118,0.814598,-11.234688,10.8461,10.8454,2.9985,2.9895,0.6839,51.19,53.2,83,512000,24.4
129,515900,0.813345,0.852993,-11.350519,10.9346,10.9348,2.9917,2.7525,0.4710,52.71,54.7,83,516000,24.6
130,519900,,,,,,,,,52.00,54.0,73,520000,24.7
131,523900,0.801397,0.842027,-11.447745,11.0396,11.0387,2.9835,2.7783,0.7006,48.80,50.8,65,524000,24.9
132,527900,0.824562,0.867177,-11.554305,11.1094,11.1100,3.1603,3.0237,0.6253,47.87,49.9,82,528000,25.1
133,531900,0.821792,0.860796,-11.652792,11.1892,11.1882,3.3668,3.1570,0.2676,51.41,53.4,90,532000,25.3
134,535900,0.840989,0.880210,-11.768293,11.2737,11.2733,3.1536,2.9831,0.6916,48.08,50.1,79,536000,25.6
135,539900,,,,,,,,,49.81,51.8,63,540000,25.7
136,543900,0.844449,0.885838,-11.830151,11.3902,11.3901,3.5131,3.2883,0.8811,49.99,52.0,76,544000,25.9
137,547900,0.821770,0.861680,-11.914620,11.4831,11.4827,3.1503,2.8733,0.5995,47.87,49.9,85,548000,26.1
138,551900,0.817271,0.857120,-11.998582,11.5676,11.5679,3.4119,3.2352,1.1208,52.48,54.5,85,552000,26.3
139,555900,0.815770,0.851461,-12.130187,11.6828,11.6841,3.3967,3.1267,1.3382,49.84,51.8,68,556000,26.5
140,559900,,,,,,,,,50.82,52.8,61,560000,26.6
141,563900,0.824185,0.865043,-12.235339,11.7626,11.7619,3.3576,3.1098,0.6135,50.87,52.9,91,564000,26.8
142,567900,0.872076,0.913900,-12.287079,11.8352,11.8350,3.4852,3.0848,0.4806,46.90,48.9,90,568000,27.0
143,571900,0.839240,0.883623,-12.416220,11.9227,11.9216,4.0389,3.6067,0.9552,47.48,49.5,80,572000,27.3
144,575900,0.901248,0.948403,-12.456183,12.0025,12.0032,3.3486,3.1029,0.7765,51.16,53.2,63,576000,27.5
145,579900,,,,,,,,,48.62,50.6,76,580000,27.6
146,583900,0.876755,0.920874,-12.516341,12.1023,12.1016,3.5382,3.2158,1.0318,46.63,48.6,91,584000,27.8
147,587900,0.863444,0.906736,-12.658526,12.1702,12.1714,3.8233,3.5732,0.9404,46.85,48.8,86,588000,28.0
148,591900,0.912724,0.962651,-12.782350,12.2783,12.2780,3.7527,3.6005,0.5677,48.45,50.4,87,592000,28.2
149,595900,0.969674,1.018466,-12.861509,12.3395,12.3388,3.5982,3.3107,0.5913,46.75,48.8,73,596000,28.4
150,599900,,,,,,,,,48.22,50.2,64,600000,28.5
151,603900,0.844509,0.886522,-12.917724,12.4354,12.4356,3.1672,2.9404,0.5284,49.02,51.0,89,604000,28.7
152,607900,0.908263,0.954898,-13.017117,12.5373,12.5379,3.6490,3.3555,0.8936,49.20,51.2,86,608000,29.0
153,611900,0.894581,0.936664,-13.115988,12.6322,12.6319,3.2708,2.9935,0.9437,49.43,51.4,77,612000,29.2
154,615900,0.904183,0.948756,-13.149360,12.6972,12.6977,3.9360,3.6903,1.6194,51.22,53.2,59,616000,29.4
155,619900,,,,,,,,,49.95,52.0,84,620000,29.5
156,623900,0.939013,0.979450,-13.267437,12.7585,12.7580,4.1669,3.7940,0.7834,48.99,51.0,84,624000,29.7
157,627900,0.982236,1.023315,-13.383942,12.8699,12.8703,4.5862,4.3718,0.9790,50.87,52.9,85,628000,29.9
158,631900,0.919807,0.960970,-13.423411,12.9500,12.9496,4.3035,3.9146,0.7293,48.51,50.5,67,632000,30.1
