epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,12.60,18.0,147,77,4000,0.2,,,
2,7900,,,,,,,24.89,26.1,105,51,8000,0.5,,,
3,11900,0.225252,-2.833030,2.5771,0.6712,0.0026,0.0011,60.13,40.8,134,61,12000,2.5,0.753898,0.673906,0.039996
4,15900,0.675326,-6.862250,6.5309,1.7622,0.0930,0.0093,39.59,24.8,127,69,16000,4.3,0.740537,0.678669,0.030934
5,19900,,,,,,,107.92,68.0,1,0,20000,4.5,,,
6,23900,1.152620,-10.985724,10.5313,2.9433,0.1207,0.0058,126.31,73.4,99,48,24000,6.4,0.723386,0.664313,0.029536
7,27900,1.999906,-15.504451,15.0050,3.6468,0.1336,0.0074,116.64,66.6,45,26,28000,8.2,0.727127,0.656804,0.035162
8,31900,3.176617,-19.986987,19.3795,4.9492,0.2224,0.0096,116.94,67.4,55,24,32000,10.2,0.722503,0.647659,0.037422
9,35900,4.227429,-24.536369,23.8169,6.0005,0.2636,0.0132,143.80,78.8,16,9,36000,12.1,0.716733,0.640981,0.037876
10,39900,,,,,,,167.62,89.5,84,49,40000,12.3,,,
11,43900,6.441190,-29.249568,28.4063,8.5181,0.3142,0.0192,172.74,93.0,1,1,44000,14.2,0.707205,0.628884,0.039160
12,47900,7.567831,-33.865220,33.0516,11.1572,0.3462,0.0315,181.64,95.0,99,44,48000,16.2,0.684555,0.609355,0.037600
13,51900,9.721198,-38.393744,37.4903,14.6930,0.4290,0.0346,,,0,0,52000,18.1,0.685803,0.604398,0.040702
14,55900,11.092202,-43.433869,42.4050,18.8279,0.5129,0.0411,117.44,64.5,36,16,56000,20.0,0.656831,0.579988,0.038422
15,59900,,,,,,,224.98,113.8,64,39,60000,20.2,,,
16,63900,13.666242,-48.376042,47.2344,25.0136,0.6621,0.0505,185.31,96.0,1,0,64000,22.2,0.659225,0.579969,0.039628
17,67900,15.144295,-53.480985,52.2572,29.7294,0.6687,0.0532,213.03,110.3,37,21,68000,24.0,0.640225,0.563620,0.038302
18,71900,18.080514,-58.460302,57.2270,34.4884,0.7387,0.0584,252.91,123.4,45,20,72000,25.9,0.651758,0.572418,0.039670
19,75900,19.467195,-63.321551,62.0485,37.7450,0.8190,0.0607,229.01,121.4,14,6,76000,27.9,0.656101,0.575726,0.040187
20,79900,,,,,,,193.39,100.7,66,33,80000,28.1,,,
21,83900,23.626210,-68.233585,66.8653,46.5521,0.9236,0.0672,298.56,195.9,19,9,84000,30.0,0.660891,0.579007,0.040942
22,87900,25.781897,-73.241626,71.8442,49.4813,1.0278,0.0710,223.85,127.9,38,20,88000,31.9,0.649235,0.567298,0.040968
23,91900,28.288032,-77.957955,76.5389,56.7945,1.0645,0.0666,154.86,86.4,57,25,92000,33.6,0.674314,0.588522,0.042896
24,95900,35.040417,-82.807511,81.2078,62.9783,1.1147,0.0773,58.43,37.2,93,48,96000,35.5,0.661428,0.576072,0.042678
25,99900,,,,,,,214.33,108.1,45,16,100000,35.7,,,
26,103900,39.364709,-87.855710,86.0959,75.7209,1.1779,0.0895,47.57,32.4,29,15,104000,37.7,0.647629,0.565536,0.041046
27,107900,45.026175,-92.685986,90.9050,82.2907,1.3167,0.1018,204.06,111.1,45,23,108000,39.8,0.667404,0.582073,0.042665
28,111900,49.218913,-97.178667,95.4357,89.4397,1.3994,0.1112,248.97,133.8,38,17,112000,41.9,0.677767,0.590395,0.043686
29,115900,51.156325,-101.498437,99.7944,96.3068,1.5591,0.1113,134.39,81.4,17,8,116000,43.9,0.665165,0.579683,0.042741
30,119900,,,,,,,251.55,138.9,30,19,120000,44.1,,,
