epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3999,,,,,,,,,,-53.20,193.2,18,3,4000,1.1
2,7999,0.353770,0.364198,-1.036732,1.8614,1.8621,2.2582,2.6251,0.5224,0.0837,3.08,272.5,15,3,8000,13.9
3,11999,0.568276,0.575722,-0.759938,2.2336,2.2327,2.8566,3.5488,0.8738,0.3130,226.89,928.0,4,1,12000,30.7
4,15999,0.682597,0.694811,0.304459,0.4369,0.4359,3.1856,4.1318,1.3141,0.5489,23.25,183.9,21,4,16000,47.5
5,19999,0.995785,1.025067,1.077180,-0.9615,-0.9645,4.2356,5.5058,1.8685,0.8258,33.99,301.1,16,3,20000,64.7
6,23999,1.621759,1.656027,4.398571,-4.6467,-4.6537,6.4101,7.9944,2.5822,1.2151,-3.77,148.4,27,4,24000,81.5
7,27999,2.659970,2.640438,11.223292,-11.1814,-11.1915,10.5404,12.4552,3.5562,1.7262,-6.41,222.9,15,5,28000,98.3
8,31999,3.695496,3.706470,19.741361,-20.0388,-20.0400,17.0876,19.7958,4.3999,2.3399,2.83,346.5,11,1,32000,115.1
9,35999,5.237953,5.214361,29.559016,-30.1470,-30.1474,27.1144,29.7401,5.2668,2.9512,24.46,250.1,16,1,36000,132.0
10,39999,5.989323,5.931949,39.556633,-39.8717,-39.8714,34.1807,37.6910,5.6037,3.3587,-18.01,198.7,21,5,40000,148.7
11,43999,6.217952,6.193112,44.757446,-44.9662,-44.9652,39.4216,44.6087,5.7094,3.5406,-22.79,134.5,35,8,44000,165.5
12,47999,5.950995,5.941790,43.260323,-43.8291,-43.8278,37.9368,44.0420,5.8457,3.6645,-17.01,109.8,35,14,48000,182.4
13,51999,5.906000,5.948239,38.676688,-39.3964,-39.3949,35.9227,41.7551,5.8249,3.7078,-11.18,96.2,43,11,52000,199.4
14,55999,5.699065,5.841309,35.074103,-35.8372,-35.8349,34.3303,41.5739,5.8510,3.9138,9.57,115.9,32,10,56000,216.3
15,59999,5.387854,5.585026,32.148000,-32.9446,-32.9421,32.9264,38.2542,5.8354,3.9831,18.46,150.8,28,10,60000,233.2
16,63999,4.679525,4.855930,28.288409,-29.1498,-29.1472,29.5570,35.0932,5.6700,3.8304,12.57,154.7,26,4,64000,250.1
17,67999,4.195127,4.294800,24.513184,-25.3371,-25.3307,27.0660,32.3367,5.3526,3.6349,-3.74,112.9,36,9,68000,266.9
18,71999,4.184300,4.224594,21.376672,-22.1733,-22.1530,27.3034,30.8098,5.2739,3.5692,16.47,104.7,30,5,72000,283.8
19,75999,4.109837,4.175609,18.324992,-19.1404,-19.1190,27.3380,29.7284,5.2751,3.5285,0.98,71.1,61,12,76000,300.8
20,79999,3.990554,4.053069,16.039429,-16.8530,-16.8354,27.9324,27.9093,5.2708,3.5596,22.35,142.8,30,6,80000,317.6
21,83999,4.053124,4.100632,14.883019,-15.6780,-15.6723,29.8115,28.9023,5.3399,3.5697,73.06,246.8,14,4,84000,335.0
22,87999,4.076733,4.106300,13.225556,-14.0846,-14.0856,29.7633,29.0902,5.4487,3.5944,59.21,195.8,24,1,88000,351.9
23,91999,4.243739,4.332988,12.018997,-12.8464,-12.8491,30.2066,30.7985,5.4947,3.5830,15.70,89.8,45,5,92000,368.8
24,95999,4.370696,4.416684,11.172947,-11.9785,-11.9800,32.2412,32.4960,5.4914,3.5595,29.93,115.5,28,6,96000,385.9
25,99999,4.417630,4.450731,9.865382,-10.6778,-10.6789,31.9616,33.2984,5.5291,3.5055,25.82,106.6,41,9,100000,402.6
26,103999,4.373069,4.433192,8.846020,-9.6461,-9.6466,31.9456,33.9895,5.4783,3.4584,20.09,85.7,42,5,104000,419.3
27,107999,4.383857,4.444281,8.017183,-8.8080,-8.8095,32.2268,33.9825,5.5322,3.4342,47.29,144.1,27,8,108000,436.1
28,111999,4.335396,4.385873,7.117496,-7.9389,-7.9405,33.0361,34.2722,5.5504,3.4188,58.21,158.8,31,6,112000,453.2
29,115999,4.380734,4.434966,6.396791,-7.2109,-7.2126,33.5002,35.5107,5.5910,3.4390,58.87,166.3,22,5,116000,470.0
30,119999,4.297140,4.374336,5.732093,-6.5293,-6.5308,33.8448,36.0412,5.5544,3.3780,39.27,112.0,38,7,120000,486.9
