epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
73,291900,219.318091,-253.493745,250.5519,353.1422,1.9779,565.10,198.9,15,292000,71.1
74,295900,228.949682,-257.008649,254.0734,370.8275,2.0561,535.76,190.4,18,296000,72.4
75,299900,,,,,,477.77,173.1,16,300000,72.5
76,303900,233.259655,-260.408425,257.5005,360.5850,2.0208,535.59,189.6,26,304000,73.7
77,307900,236.873596,-263.671297,260.7640,377.5660,2.1162,553.56,200.0,28,308000,74.9
78,311900,249.963882,-266.897834,263.9412,394.7765,2.1772,513.46,190.1,19,312000,76.0
79,315900,255.171347,-270.230104,267.2698,383.1552,2.1369,512.16,188.0,16,316000,77.2
80,319900,,,,,,480.33,173.0,21,320000,77.3
81,323900,258.703088,-273.551633,270.5796,388.9431,2.1821,467.99,179.4,30,324000,78.5
82,327900,266.348183,-276.813761,273.8715,398.6431,2.2045,507.33,193.4,11,328000,79.7
83,331900,265.898557,-280.162658,277.1957,397.5295,2.2726,610.13,206.6,16,332000,80.8
84,335900,276.898777,-282.989107,279.9919,417.1673,2.3799,568.81,207.1,24,336000,82.0
85,339900,,,,,,548.41,193.3,23,340000,82.2
86,343900,280.273575,-286.024227,282.9984,408.8562,2.3251,515.90,191.1,16,344000,83.4
87,347900,280.189153,-289.401058,286.3510,414.4517,2.4087,596.46,216.2,13,348000,84.6
88,351900,289.845502,-292.598102,289.5055,432.4534,2.4143,575.87,204.3,24,352000,85.7
89,355900,296.480276,-295.541060,292.4782,444.6530,2.3929,557.99,201.1,23,356000,86.9
90,359900,,,,,,585.27,209.4,18,360000,87.0
91,363900,305.741581,-298.674139,295.5552,444.4065,2.4906,703.41,243.8,11,364000,88.2
92,367900,300.270093,-301.833780,298.7262,443.2749,2.6105,485.12,184.0,16,368000,89.3
93,371900,312.047708,-304.665900,301.5613,439.8667,2.5395,626.26,215.3,22,372000,90.6
94,375900,318.148269,-307.580940,304.4376,462.2875,2.6322,601.04,218.3,24,376000,91.7
95,379900,,,,,,700.38,245.3,21,380000,91.9
96,383900,323.090331,-309.971776,306.9272,457.5803,2.6620,567.43,205.4,14,384000,93.1
97,387900,324.846137,-312.631281,309.5921,467.1349,2.7146,557.45,199.4,28,388000,94.4
98,391900,331.495537,-314.953674,311.9659,476.2896,2.7705,556.91,192.2,12,392000,95.6
99,395900,337.199822,-317.381638,314.3818,500.6142,2.7282,584.77,217.6,9,396000,96.9
100,399900,,,,,,602.51,213.1,21,400000,97.0
1,3999,,,,,,16.95,23.4,171,4000,0.8
