epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
59,235900,1.597598,1.584023,-23.719890,23.2716,23.2718,17.6208,17.4534,0.4439,558.26,723.2,6,236000,85.8
60,239900,,,,,,,,,518.87,720.4,7,240000,86.1
61,243900,1.628740,1.619495,-24.131589,23.7039,23.7039,18.4721,18.5662,0.4746,344.42,366.0,4,244000,90.5
62,247900,1.664886,1.673300,-24.604738,24.1647,24.1654,18.0936,18.3957,0.4527,547.13,672.0,4,248000,92.1
63,251900,1.698984,1.700341,-25.115410,24.6566,24.6563,18.7010,18.8567,0.4440,535.91,705.2,5,252000,93.7
64,255900,1.756223,1.766816,-25.565049,25.1211,25.1210,18.8784,19.0963,0.4719,292.49,324.5,6,256000,95.4
65,259900,,,,,,,,,46.93,38.5,2,260000,95.7
66,263900,1.871495,1.859310,-26.059205,25.6089,25.6090,19.8876,19.9302,0.4828,,,0,264000,97.2
67,267900,1.730594,1.730471,-26.474615,26.0488,26.0494,19.3028,19.4291,0.4639,,,0,268000,98.8
68,271900,1.742916,1.736508,-26.968593,26.5282,26.5289,18.9942,18.9611,0.4498,,,0,272000,100.4
69,275900,1.899969,1.894636,-27.429954,26.9504,26.9502,20.8752,21.1181,0.4819,865.04,913.7,3,276000,102.2
70,279900,,,,,,,,,597.02,668.0,2,280000,102.5
71,283900,1.804459,1.797450,-27.908687,27.4314,27.4320,20.3256,20.5238,0.4903,435.96,454.0,4,284000,107.4
72,287900,1.972776,1.976453,-28.291810,27.8370,27.8371,21.1380,20.9847,0.4731,527.34,585.7,3,288000,109.0
73,291900,1.920993,1.909727,-28.765550,28.3038,28.3035,20.2709,20.0078,0.4713,,,0,292000,110.6
74,295900,2.018367,2.010768,-29.209377,28.7206,28.7210,22.6714,22.6253,0.4787,287.08,234.3,3,296000,112.2
75,299900,,,,,,,,,374.38,526.0,2,300000,112.5
76,303900,1.923820,1.909584,-29.632398,29.1668,29.1674,21.1040,21.0393,0.4758,760.17,929.1,28,304000,114.1
77,307900,2.005379,1.999066,-30.097484,29.6271,29.6274,22.1536,21.8649,0.4725,675.91,842.1,18,308000,115.8
78,311900,2.077572,2.090122,-30.556005,30.0868,30.0873,22.1684,22.2363,0.5183,674.57,832.0,26,312000,117.4
79,315900,2.401003,2.387030,-31.037107,30.5676,30.5680,25.1163,24.9364,0.5157,420.28,493.3,7,316000,118.9
80,319900,,,,,,,,,,,0,320000,119.2
81,323900,2.193640,2.179355,-31.502859,31.0298,31.0299,23.0680,22.9738,0.4936,321.69,361.0,4,324000,124.6
82,327900,2.414500,2.388722,-31.915189,31.4576,31.4579,24.3558,24.7681,0.5128,504.85,548.7,3,328000,126.3
83,331900,2.346110,2.367245,-32.310984,31.8435,31.8438,23.9699,24.8032,0.5013,363.83,388.8,4,332000,127.8
84,335900,2.485470,2.495384,-32.686092,32.2068,32.2065,25.9643,26.2681,0.5033,555.50,648.0,7,336000,129.5
85,339900,,,,,,,,,640.48,772.0,3,340000,129.8
86,343900,2.431290,2.424923,-33.064255,32.6217,32.6217,26.6791,26.8884,0.5051,613.14,759.0,4,344000,131.4
87,347900,2.386868,2.384166,-33.476019,33.0103,33.0108,25.4840,25.5771,0.5015,594.63,735.5,6,348000,133.1
88,351900,2.271696,2.249651,-33.836868,33.3909,33.3909,24.9011,24.6448,0.5149,795.57,1001.0,1,352000,134.7
89,355900,2.493455,2.492193,-34.251572,33.7645,33.7644,28.2307,27.9910,0.5246,784.66,1001.0,3,356000,136.3
90,359900,,,,,,,,,724.43,808.3,3,360000,136.6
91,363900,2.276566,2.265822,-34.596098,34.1447,34.1451,26.8443,27.1592,0.5111,,,0,364000,142.5
92,367900,2.463853,2.433507,-34.993659,34.5215,34.5215,27.6111,27.6443,0.5028,235.57,154.0,2,368000,144.2
93,371900,2.495083,2.480294,-35.281608,34.8289,34.8296,28.6646,28.6114,0.5167,67.67,68.0,1,372000,145.7
94,375900,2.522361,2.528116,-35.722087,35.2357,35.2363,28.7019,29.0227,0.5418,445.53,553.2,4,376000,147.3
95,379900,,,,,,,,,32.26,31.0,1,380000,147.6
96,383900,2.580613,2.559778,-35.998703,35.5340,35.5338,29.2817,29.3953,0.5192,790.03,1001.0,2,384000,149.1
97,387900,2.835870,2.809122,-36.304138,35.8552,35.8563,29.9002,30.0212,0.5505,778.24,1001.0,3,388000,150.7
98,391900,2.676160,2.666562,-36.677137,36.2209,36.2206,29.7776,30.2090,0.5247,,,0,392000,152.3
99,395900,2.540633,2.526004,-37.121798,36.6288,36.6289,27.5699,27.9839,0.5055,913.01,912.5,2,396000,153.8
100,399900,,,,,,,,,676.95,810.5,4,400000,154.1
101,403900,2.564934,2.514537,-37.376928,36.9073,36.9074,28.0245,27.9497,0.5208,733.31,947.1,18,404000,160.4
102,407900,2.819736,2.811340,-37.798285,37.3336,37.3336,29.9068,30.0372,0.5265,771.81,1001.0,10,408000,162.0
103,411900,2.887026,2.866916,-38.249956,37.7438,37.7445,29.9845,30.6243,0.5280,731.79,958.4,23,412000,163.6
104,415900,2.841959,2.831466,-38.633010,38.1413,38.1412,31.7211,32.3475,0.5326,611.08,766.1,8,416000,165.2
105,419900,,,,,,,,,177.71,119.3,3,420000,165.4
106,423900,2.750895,2.756346,-39.062273,38.5685,38.5692,29.6543,30.4577,0.5575,791.00,1001.0,3,424000,167.0
107,427900,2.870949,2.850630,-39.487194,38.9913,38.9915,31.7157,31.4679,0.5560,582.33,627.8,5,428000,168.5
108,431900,3.070879,3.027851,-39.883471,39.3876,39.3881,31.8407,31.9965,0.5358,631.86,689.7,6,432000,170.2
109,435900,3.190090,3.188072,-40.266380,39.7515,39.7517,32.2438,32.2985,0.5465,711.16,837.2,9,436000,171.8
110,439900,,,,,,,,,666.06,668.2,4,440000,172.2
111,443900,3.139484,3.130938,-40.628165,40.1989,40.1987,31.8582,32.2274,0.5590,464.29,494.2,5,444000,179.0
112,447900,3.096924,3.074918,-40.935077,40.4986,40.4986,33.2032,33.8207,0.5814,511.60,558.2,11,448000,180.6
113,451900,2.929094,2.903485,-41.415228,40.9304,40.9309,32.0256,32.0545,0.5608,363.01,336.6,5,452000,182.1
114,455900,3.176908,3.169612,-41.729728,41.2495,41.2503,36.2096,36.7565,0.5571,560.92,561.2,5,456000,183.7
115,459900,,,,,,,,,492.35,445.6,7,460000,184.0
116,463900,3.570804,3.567962,-42.176896,41.6756,41.6756,36.9077,38.2973,0.5814,281.49,211.7,3,464000,185.5
117,467900,3.316277,3.317388,-42.501114,42.0157,42.0157,36.8667,37.5629,0.5801,921.63,1001.0,1,468000,187.2
118,471900,3.789380,3.767705,-42.861019,42.3405,42.3408,38.8158,40.1753,0.5998,,,0,472000,188.6
119,475900,3.527416,3.530714,-43.196356,42.6773,42.6773,38.9060,39.3868,0.6008,482.23,450.8,4,476000,190.3
120,479900,,,,,,,,,,,0,480000,190.5
121,483900,3.428121,3.414470,-43.532800,43.0132,43.0129,35.3882,36.3686,0.5898,916.49,1001.0,2,484000,197.8
122,487900,3.569982,3.543694,-43.849947,43.3444,43.3449,38.2363,38.2473,0.6054,622.33,567.5,2,488000,199.3
123,491900,3.697501,3.704023,-44.210159,43.6596,43.6600,40.5991,42.1701,0.5980,1071.24,889.0,2,492000,200.8
124,495900,3.557947,3.541071,-44.470999,43.9367,43.9367,40.4225,41.7903,0.6086,546.29,707.0,3,496000,202.4
125,499900,,,,,,,,,985.85,1001.0,4,500000,202.7
126,503900,3.395808,3.367351,-44.868463,44.2833,44.2834,38.3484,38.2323,0.6016,901.50,879.4,16,504000,204.2
127,507900,3.855353,3.900059,-45.163524,44.6315,44.6325,41.0723,42.5948,0.6294,716.61,854.0,6,508000,205.8
128,511900,3.994036,4.024174,-45.521938,44.9377,44.9370,43.2537,45.0363,0.6337,861.58,915.9,17,512000,207.4
129,515900,4.011201,4.029230,-45.892524,45.3024,45.3030,42.4762,43.8617,0.6218,946.11,1001.0,7,516000,208.9
130,519900,,,,,,,,,478.83,453.2,8,520000,209.2
131,523900,4.432205,4.437342,-46.265552,45.6665,45.6669,45.4856,46.4868,0.6531,551.02,562.1,8,524000,216.8
