episode_id,length,total_reward,has_disturbance,mean_alpha_target
0,972,-332.6170654296875,1,0.630864143371582
1,57,-22.526208877563477,1,0.6473684310913086
2,66,-26.10270118713379,1,0.5848484635353088
3,64,-17.025794982910156,1,0.6749999523162842
4,92,-37.089759826660156,1,0.6391304731369019
5,222,-73.6757583618164,1,0.6081081032752991
6,226,-60.8394889831543,1,0.613274335861206
7,2,-2.6715784072875977,1,0.5
8,122,-52.81825256347656,1,0.6508196592330933
9,63,-18.18235206604004,1,0.5571429133415222
10,90,-46.883872985839844,1,0.6333333253860474
11,52,-22.574417114257812,1,0.6538461446762085
12,9,-3.2149715423583984,1,0.6333333849906921
13,45,-15.439329147338867,1,0.5622221827507019
14,68,-34.36362075805664,1,0.6882352828979492
15,119,-43.94828796386719,1,0.590756356716156
16,176,-68.65055084228516,1,0.6409091353416443
17,16,-6.431464195251465,1,0.44999998807907104
18,130,-33.15244674682617,1,0.6169230341911316
19,90,-32.53407287597656,1,0.6244444251060486
20,86,-24.390897750854492,1,0.6395348906517029
21,37,-13.101625442504883,1,0.6189188957214355
22,83,-35.64188003540039,1,0.6204819083213806
23,202,-92.43832397460938,1,0.6267326474189758
24,21,-7.685647010803223,1,0.7476189732551575
25,88,-30.952423095703125,1,0.6000000238418579
26,38,-13.791122436523438,1,0.6894736289978027
27,128,-44.85475540161133,1,0.6187499761581421
28,49,-10.123431205749512,1,0.6877551078796387
29,150,-63.0626220703125,1,0.6173333525657654
30,97,-41.04917907714844,1,0.6360824704170227
31,106,-32.802345275878906,1,0.6283018589019775
32,174,-53.545127868652344,1,0.6471264958381653
33,111,-24.243059158325195,1,0.6261261105537415
34,156,-32.62672424316406,1,0.6282051801681519
35,89,-20.937944412231445,1,0.603370726108551
36,6,-3.7989442348480225,1,0.7666666507720947
37,140,-37.13901901245117,1,0.6485714316368103
38,128,-34.943599700927734,1,0.6124999523162842
39,46,-10.63929271697998,1,0.7086955308914185
40,66,-18.201601028442383,1,0.5848484635353088
41,73,-19.7429256439209,1,0.6808218955993652
42,155,-32.294769287109375,1,0.6780645847320557
43,8,-5.300876617431641,1,0.699999988079071
44,51,-10.476428031921387,1,0.6019607782363892
45,72,-23.40404510498047,1,0.7000000476837158
46,42,-15.615949630737305,1,0.5952380895614624
47,76,-19.061922073364258,1,0.6894736886024475
48,128,-43.457401275634766,1,0.6624999642372131
49,50,-22.75664520263672,1,0.7079999446868896
50,85,-31.511226654052734,1,0.6929413080215454
51,149,-41.49815368652344,1,0.6369128227233887
52,102,-29.29291534423828,1,0.6647059321403503
53,50,-17.44298553466797,1,0.7079999446868896
54,38,-20.707805633544922,1,0.6052631735801697
55,89,-30.012216567993164,1,0.6662921905517578
56,110,-41.19290542602539,1,0.6454545259475708
57,57,-17.180614471435547,1,0.6754385828971863
58,96,-25.552391052246094,1,0.6583333611488342
59,14,-8.044894218444824,1,0.6714285612106323
60,103,-30.28084945678711,1,0.6592233180999756
61,42,-16.999774932861328,1,0.5952380895614624
62,236,-82.60685729980469,1,0.6661016941070557
63,62,-24.33066177368164,1,0.6290322542190552
64,62,-11.814753532409668,1,0.7064515948295593
65,130,-51.432212829589844,1,0.6415384411811829
66,95,-25.8944034576416,1,0.6726316213607788
67,110,-34.638973236083984,1,0.6527273058891296
68,73,-20.796985626220703,1,0.6917808055877686
69,118,-39.82592010498047,1,0.6491524577140808
70,70,-25.89170265197754,1,0.7057143449783325
71,208,-47.851531982421875,1,0.6615384817123413
72,49,-18.213239669799805,1,0.6061224341392517
73,48,-21.050960540771484,1,0.75
74,113,-35.3323974609375,1,0.6592919826507568
75,40,-17.18490219116211,1,0.5399999618530273
76,30,-18.851058959960938,1,0.7933332920074463
77,3,-1.539471983909607,0,0.8999999165534973
78,252,-84.4449234008789,1,0.6333333849906921
79,35,-14.772833824157715,1,0.6485713720321655
80,92,-33.437217712402344,1,0.6304348707199097
81,133,-54.29367446899414,1,0.6473684310913086
82,34,-12.664715766906738,1,0.570588231086731
83,43,-17.648771286010742,1,0.6395348310470581
84,104,-41.142486572265625,1,0.6461538076400757
85,105,-46.176246643066406,1,0.6409524083137512
86,3,-2.8692116737365723,0,0.8999999165534973
87,68,-21.466882705688477,1,0.5823529362678528
88,215,-103.26127624511719,1,0.650697648525238
89,1,0.08648386597633362,0,0.8999999761581421
90,95,-46.26731491088867,1,0.6389474272727966
91,10,-5.6824259757995605,1,0.6599999666213989
92,82,-32.03782653808594,1,0.6365854144096375
93,48,-16.44159698486328,1,0.6666666865348816
94,71,-27.897075653076172,1,0.6070422530174255
95,62,-28.42115592956543,1,0.6548388004302979
96,135,-45.51188659667969,1,0.6214814782142639
97,262,-91.9490966796875,1,0.6221374273300171
98,125,-56.617149353027344,1,0.6056000590324402
99,124,-27.523155212402344,1,0.6161290407180786
100,45,-12.053901672363281,1,0.597777783870697
101,5,-2.2683281898498535,1,0.7399999499320984
102,289,-33.97938537597656,1,0.6148788928985596
103,123,-226.75181579589844,1,0.626829206943512
104,44,-85.7552719116211,1,0.6454545259475708
105,40,-84.48047637939453,1,0.6200000047683716
106,71,-146.19931030273438,1,0.6070423126220703
107,2,-6.645140171051025,1,0.5
108,68,-143.2988739013672,1,0.6294118165969849
109,54,-99.1129150390625,1,0.6185184717178345
110,103,-195.9191131591797,1,0.6126213669776917
111,179,-353.84246826171875,1,0.618435800075531
112,965,-1986.21435546875,1,0.6106736063957214
113,184,-383.3468322753906,1,0.6130434274673462
114,51069,25860.0859375,1,0.6119974851608276
115,5106,3795.66162109375,1,0.6200156807899475
116,1474,1072.880859375,1,0.6199457049369812
117,329,235.1814727783203,1,0.6155015230178833
118,15923,11938.1640625,1,0.6119135618209839
119,14020,9694.1689453125,1,0.6199429035186768
120,3,2.002845287322998,0,0.8999999165534973
121,1,0.9731022119522095,1,0.10000000149011612
122,6,4.051287651062012,0,0.9000000357627869
123,1,-0.30875134468078613,1,0.10000000149011612
124,3,2.5451319217681885,1,0.36666667461395264
125,1,0.8128640651702881,0,0.8999999761581421
126,8,6.479835510253906,1,0.6000000238418579
127,4,3.178954601287842,1,0.699999988079071
128,5,3.9071524143218994,1,0.7399999499320984
129,1,0.6382864117622375,1,0.10000000149011612
130,3,2.3445873260498047,1,0.6333333253860474
131,1,0.5480293035507202,1,0.10000000149011612
132,1,1.4449297189712524,0,0.8999999761581421
133,3,3.117549419403076,1,0.6333333253860474
134,1,0.9089899659156799,0,0.8999999761581421
135,1,0.5471909046173096,1,0.10000000149011612
136,2,1.912912130355835,1,0.5
137,18,12.05201530456543,1,0.6777777671813965
138,1,0.4546450972557068,0,0.8999999761581421
139,2,1.0722379684448242,1,0.5
140,1,0.6708732843399048,1,0.10000000149011612
141,1,0.4568943977355957,1,0.10000000149011612
142,5,3.1763498783111572,1,0.5800000429153442
143,8,5.837457180023193,1,0.699999988079071
144,1,0.6779593229293823,1,0.10000000149011612
145,4,2.4162111282348633,1,0.699999988079071
146,3,2.0973143577575684,1,0.36666667461395264
147,1129,810.525634765625,1,0.6682904958724976
148,66,49.856414794921875,1,0.6818181872367859
149,606,464.9847106933594,1,0.6742574572563171
150,275,217.21083068847656,1,0.6847273111343384
151,469,365.71258544921875,1,0.6731342673301697
152,236,177.87911987304688,1,0.679660975933075
153,408,309.9681701660156,1,0.6745098233222961
154,660,548.7314453125,1,0.6769697070121765
155,17,13.203957557678223,1,0.6647058129310608
156,129,99.883544921875,1,0.6643410921096802
157,156,129.22178649902344,1,0.6692307591438293
158,97,77.8845443725586,1,0.6773196458816528
159,148,108.19432067871094,1,0.662162184715271
160,6,6.395143032073975,1,0.5
161,140,105.08418273925781,1,0.677142858505249
162,240,184.62188720703125,1,0.6633332371711731
163,73,54.67269515991211,1,0.6589041352272034
164,328,255.92379760742188,1,0.6487804651260376
165,204,166.14791870117188,1,0.656862735748291
166,386,325.13873291015625,1,0.6554403901100159
167,50,42.29463195800781,1,0.6439999341964722
168,38,36.661964416503906,1,0.6473684310913086
169,89,75.98128509521484,1,0.6662921905517578
170,110,98.59514617919922,1,0.6527273058891296
171,153,125.7290267944336,1,0.6385621428489685
172,14,14.314486503601074,1,0.7285714149475098
173,103,88.30078887939453,1,0.651456356048584
174,340,289.5188293457031,1,0.634117603302002
175,62,49.27070617675781,1,0.6548388004302979
176,335,278.5447998046875,1,0.6325373649597168
177,73,64.59241485595703,1,0.6479452252388
178,118,105.52725219726562,1,0.6220338940620422
179,70,66.82384490966797,1,0.6371429562568665
180,208,190.325439453125,1,0.6346153616905212
181,49,41.2503547668457,1,0.6387755274772644
182,48,44.669681549072266,1,0.6333333253860474
183,113,93.54792785644531,1,0.652212381362915
184,40,32.550025939941406,1,0.6399999856948853
185,30,24.257213592529297,1,0.5799999833106995
186,3,3.181436777114868,0,0.8999999165534973
187,252,201.9713134765625,1,0.6428571343421936
188,127,95.62860107421875,1,0.63543301820755
189,133,105.91191101074219,1,0.6413534283638
190,77,57.373626708984375,1,0.6402597427368164
191,104,79.88623809814453,1,0.6538461446762085
192,105,91.17672729492188,1,0.6409524083137512
193,3,2.597909927368164,1,0.6333333253860474
194,68,58.158782958984375,1,0.6647058129310608
195,215,179.5804901123047,1,0.6544186472892761
196,1,-0.08286254853010178,0,0.8999999761581421
197,95,75.41496276855469,1,0.6473684310913086
198,10,8.525938987731934,1,0.5800000429153442
199,201,158.28866577148438,1,0.6611940264701843
200,62,48.99000549316406,1,0.6548387408256531
201,135,107.90380859375,1,0.6570370197296143
