epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
65,259900,,,,,,,415.98,441.4,5,2,260000,85.3
66,263900,5.039936,-59.163636,58.6970,17.7460,1.7903,0.1936,349.66,382.0,5,4,264000,87.0
67,267900,5.169105,-60.000027,59.5369,17.4481,1.6801,0.1961,386.17,391.4,12,8,268000,88.6
68,271900,5.543802,-60.927288,60.4439,19.5576,1.8433,0.2009,283.98,354.9,8,7,272000,90.3
69,275900,5.500383,-61.827336,61.3360,19.1139,1.7944,0.2039,506.49,522.0,6,2,276000,91.9
70,279900,,,,,,,288.99,360.8,4,2,280000,92.1
71,283900,5.888595,-62.681712,62.1911,19.3169,1.8568,0.2067,720.44,544.3,3,2,284000,93.8
72,287900,5.486078,-63.540573,63.0528,18.9040,1.7148,0.2119,485.90,545.6,5,3,288000,95.4
73,291900,5.810843,-64.351769,63.8704,19.3533,1.8955,0.2161,313.19,227.3,3,3,292000,97.0
74,295900,5.941916,-65.275595,64.7658,21.3839,1.9112,0.2212,232.36,175.3,3,2,296000,98.7
75,299900,,,,,,,575.81,669.5,4,1,300000,98.9
76,303900,6.003636,-66.115960,65.6000,21.3622,1.8519,0.2263,803.74,1001.0,17,8,304000,100.6
77,307900,5.854062,-67.051136,66.5485,18.3152,1.9100,0.2259,537.72,706.2,11,4,308000,102.3
78,311900,6.446702,-68.046419,67.5377,19.9602,1.9152,0.2330,482.76,535.3,7,4,312000,103.9
79,315900,6.430514,-69.015909,68.5023,19.7334,1.9758,0.2310,493.38,376.4,7,2,316000,105.6
80,319900,,,,,,,586.32,651.7,6,3,320000,105.8
81,323900,6.725915,-70.042709,69.5205,20.5362,1.9168,0.2387,567.22,1001.0,1,0,324000,107.6
82,327900,6.488049,-71.043290,70.5230,21.4575,1.9272,0.2429,378.80,546.8,4,2,328000,109.2
83,331900,7.275250,-71.996020,71.4787,23.6399,2.0212,0.2506,615.95,658.7,6,4,332000,110.9
84,335900,7.139105,-72.993263,72.4654,24.1047,1.9849,0.2481,712.58,658.5,6,2,336000,112.5
85,339900,,,,,,,508.58,540.8,8,4,340000,112.8
86,343900,7.497954,-73.858460,73.3476,24.4317,1.9625,0.2531,513.89,603.0,11,6,344000,114.4
87,347900,7.564955,-74.697917,74.1915,23.2044,1.9758,0.2562,375.34,591.7,9,5,348000,116.1
88,351900,8.015130,-75.659967,75.1350,23.9691,2.1795,0.2659,532.82,680.5,6,2,352000,117.7
89,355900,8.448937,-76.628934,76.0945,27.1139,2.1019,0.2704,421.35,464.1,14,5,356000,119.4
90,359900,,,,,,,489.56,501.6,9,4,360000,119.6
91,363900,8.594158,-77.593430,77.0541,27.7964,2.0438,0.2721,505.53,384.8,10,6,364000,121.2
92,367900,8.914407,-78.499037,77.9688,31.8816,2.0646,0.2793,692.76,529.4,8,4,368000,122.9
93,371900,8.892714,-79.520555,78.9877,29.5464,2.1434,0.2842,534.43,496.8,10,8,372000,124.6
94,375900,9.009720,-80.462392,79.9171,28.4717,2.0708,0.2852,249.44,150.4,8,3,376000,126.2
95,379900,,,,,,,358.09,300.2,14,7,380000,126.4
96,383900,9.666117,-81.359483,80.8008,32.0043,2.0892,0.2947,476.87,463.9,7,3,384000,128.1
97,387900,9.927589,-82.286947,81.7405,30.5830,2.2060,0.2942,339.25,333.3,12,5,388000,129.8
98,391900,10.452140,-83.077672,82.5382,36.9955,2.2329,0.3117,620.94,351.1,9,6,392000,131.4
99,395900,10.614087,-83.913215,83.3519,35.1938,2.2616,0.3146,274.08,376.0,4,1,396000,133.0
100,399900,,,,,,,501.72,488.0,3,3,400000,133.3
