epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,-8.88,27.5,29,15,4000,0.3,,,
2,7900,,,,,,,-14.28,41.1,11,6,8000,0.6,,,
3,11900,0.445292,-1.977270,1.3847,1.6771,0.1146,0.0036,,,0,0,12000,2.3,,,
4,15900,0.791779,-2.909508,1.7401,3.2745,0.7945,0.0000,-45.41,138.4,5,2,16000,3.9,,,
5,19900,,,,,,,,,0,0,20000,4.1,,,
6,23900,0.699771,-5.663694,3.9187,3.9358,1.0895,0.0000,,,0,0,24000,5.7,,,
7,27900,0.584244,-8.048330,7.0039,4.1042,0.8464,0.0022,,,0,0,28000,7.3,,,
8,31900,0.488808,-9.000866,8.4130,3.8305,0.8274,0.0168,-13.28,276.0,1,0,32000,9.0,,,
9,35900,0.569563,-9.291694,8.9089,3.9278,0.9139,0.0188,-70.69,343.0,7,4,36000,10.6,,,
10,39900,,,,,,,-92.47,369.0,1,1,40000,10.8,,,
11,43900,0.619785,-9.525900,9.1868,4.6289,1.1089,0.0214,,,0,0,44000,12.5,,,
12,47900,0.574701,-9.637266,9.3547,4.1538,0.9935,0.0223,,,0,0,48000,14.1,,,
13,51900,0.520302,-9.747915,9.4902,4.0936,1.0008,0.0246,,,0,0,52000,15.7,,,
14,55900,0.463653,-9.931916,9.6832,3.6851,0.9128,0.0239,,,0,0,56000,17.3,,,
15,59900,,,,,,,,,0,0,60000,17.6,,,
16,63900,0.618705,-11.781952,10.5538,4.0812,1.3077,0.0362,0.00,451.0,6,3,64000,19.2,,,
17,67900,1.158994,-15.430821,14.4568,5.6862,1.6759,0.0453,12.20,572.2,10,5,68000,20.8,,,
18,71900,1.216949,-16.205675,15.2300,5.5852,1.4325,0.0402,-30.17,420.9,12,7,72000,22.7,0.814793,0.612049,0.101372
19,75900,1.187140,-17.805830,16.8231,5.6817,1.4948,0.0415,23.98,241.2,4,0,76000,24.5,0.389654,0.271346,0.059154
20,79900,,,,,,,-49.94,407.5,2,2,80000,24.8,,,
21,83900,1.204512,-20.049206,19.0628,5.7622,1.4868,0.0461,,,0,0,84000,26.7,0.169788,0.130705,0.019541
22,87900,1.196034,-22.184182,21.2339,5.7955,1.4324,0.0500,119.60,695.2,4,1,88000,28.5,0.085854,0.060521,0.012666
23,91900,1.245530,-24.300419,23.3613,5.9155,1.4633,0.0528,195.74,191.0,1,0,92000,30.4,0.087532,0.051335,0.018098
24,95900,1.307872,-26.334333,25.4185,6.2801,1.4604,0.0583,164.68,611.3,3,1,96000,32.3,0.096808,0.053153,0.021828
25,99900,,,,,,,156.38,981.8,41,21,100000,32.6,,,
26,103900,1.626708,-28.290751,27.4256,6.6037,1.4873,0.0630,178.45,639.7,26,6,104000,34.4,0.298309,0.205723,0.046293
27,107900,1.958310,-30.320076,29.4943,7.1504,1.4891,0.0705,184.35,484.5,19,8,108000,36.3,0.283689,0.207329,0.038180
28,111900,2.243850,-32.302371,31.5005,8.3055,1.5256,0.0783,185.08,245.0,7,5,112000,38.2,0.209403,0.150985,0.029209
29,115900,2.350741,-34.273133,33.4748,9.4145,1.5743,0.0838,196.20,279.0,15,6,116000,40.0,0.192271,0.134977,0.028647
30,119900,,,,,,,194.61,175.2,5,2,120000,40.3,,,
31,123900,2.501241,-36.120931,35.3625,9.1892,1.5526,0.0885,121.52,138.8,4,2,124000,42.2,0.168797,0.110963,0.028917
32,127900,2.590035,-37.867028,37.1223,9.9779,1.7177,0.0955,263.85,236.7,3,2,128000,44.0,0.117161,0.066554,0.025304
33,131900,2.639835,-39.694806,38.9344,9.8914,1.6985,0.1013,414.94,408.5,2,1,132000,45.9,0.078063,0.040759,0.018652
34,135900,2.711413,-41.507036,40.7481,10.0524,1.7694,0.1049,382.78,672.9,7,4,136000,47.8,0.088122,0.055577,0.016273
35,139900,,,,,,,334.37,260.5,2,0,140000,48.1,,,
36,143900,2.810422,-43.239446,42.5020,10.5234,1.7096,0.1127,324.74,307.6,5,3,144000,49.9,0.059777,0.033857,0.012960
37,147900,2.957750,-44.955522,44.2063,10.7972,1.7198,0.1166,547.59,447.0,3,3,148000,51.8,0.075991,0.051625,0.012183
38,151900,3.073401,-46.663946,45.9094,11.3471,1.7396,0.1221,406.35,357.0,5,4,152000,53.6,0.031157,0.011092,0.010032
39,155900,3.203110,-48.352077,47.5938,11.9935,1.8925,0.1265,339.17,297.0,4,4,156000,55.5,0.067780,0.047450,0.010165
40,159900,,,,,,,,,0,0,160000,55.8,,,
41,163900,3.308291,-50.068904,49.2956,12.8283,1.7870,0.1328,535.56,466.9,11,5,164000,57.7,0.030223,0.015611,0.007306
42,167900,3.758228,-51.748066,50.9501,14.4552,1.9497,0.1390,406.23,479.3,7,5,168000,59.6,0.054710,0.036885,0.008913
43,171900,3.804265,-53.529312,52.7305,14.5548,1.9577,0.1475,708.54,922.9,7,4,172000,61.5,0.031719,0.015786,0.007967
