epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
51,203900,115.166567,-142.993421,141.1867,363.6828,2.2604,0.2781,277.73,149.9,14,6,204000,78.8,0.719221,0.612714,0.053254
52,207900,115.471518,-146.160289,144.2819,362.9443,2.2970,0.2892,276.46,150.6,34,12,208000,80.9,0.699513,0.594392,0.052560
53,211900,118.887884,-149.385700,147.4791,364.4147,2.3852,0.2966,301.85,160.0,21,12,212000,82.8,0.717925,0.610106,0.053910
54,215900,124.531539,-152.402042,150.4973,405.6611,2.5787,0.2813,325.50,187.1,32,16,216000,84.6,0.716418,0.609009,0.053704
55,219900,,,,,,,335.45,165.3,38,19,220000,84.8,,,
56,223900,123.789766,-155.534795,153.5722,407.2031,2.6090,0.2689,300.78,144.1,20,8,224000,86.7,0.708579,0.602194,0.053193
57,227900,128.815776,-158.780055,156.7490,409.0099,2.5966,0.2693,294.17,133.0,27,11,228000,88.6,0.710236,0.602954,0.053641
58,231900,133.840171,-161.947545,159.8675,438.5991,2.7145,0.2834,322.05,137.9,39,22,232000,90.5,0.720580,0.612909,0.053835
59,235900,134.862229,-165.361107,163.2334,421.3071,2.6933,0.2750,353.22,149.8,12,7,236000,92.4,0.715475,0.608079,0.053698
60,239900,,,,,,,362.98,171.7,13,4,240000,92.6,,,
61,243900,136.328667,-169.006616,166.8022,462.3525,2.8546,0.3057,360.34,184.5,15,5,244000,94.4,0.699891,0.593659,0.053116
62,247900,136.832951,-172.430440,170.1619,460.3277,2.6081,0.2950,351.37,175.9,59,32,248000,96.3,0.695574,0.591371,0.052101
63,251900,141.416461,-175.309118,173.1416,474.7781,2.7408,0.2873,334.61,153.4,19,12,252000,98.2,0.704405,0.599019,0.052693
64,255900,138.822919,-178.434164,176.2100,460.5465,2.7372,0.2999,346.07,142.5,15,8,256000,100.1,0.709124,0.603380,0.052872
65,259900,,,,,,,354.56,142.1,7,5,260000,100.3,,,
66,263900,144.014360,-181.749999,179.4888,483.3677,2.7138,0.3141,350.52,162.7,33,22,264000,102.2,0.713619,0.607350,0.053134
67,267900,149.626498,-184.828093,182.5690,493.0091,2.7197,0.3153,346.05,170.6,47,18,268000,104.1,0.687136,0.583441,0.051848
68,271900,149.774017,-187.719025,185.4139,514.5331,2.8788,0.3504,329.07,154.2,13,8,272000,105.9,0.710965,0.604535,0.053215
69,275900,149.169485,-191.086523,188.6983,521.8842,2.7313,0.3520,352.72,171.5,13,5,276000,107.8,0.685459,0.584060,0.050700
70,279900,,,,,,,279.91,130.8,33,15,280000,108.0,,,
71,283900,150.528338,-194.536035,192.0044,480.8468,2.5542,0.3750,324.23,157.3,47,24,284000,110.2,0.724261,0.615787,0.054237
72,287900,155.722344,-198.057488,195.4111,541.6658,2.5721,0.3709,305.09,143.3,26,12,288000,112.1,0.697135,0.592938,0.052099
73,291900,161.573797,-202.269527,199.4267,507.9069,2.6274,0.3386,289.72,122.2,21,9,292000,114.3,0.714487,0.607083,0.053702
74,295900,168.681045,-205.712203,202.9408,551.5576,2.6937,0.3599,313.65,129.6,36,21,296000,116.6,0.699047,0.593618,0.052714
75,299900,,,,,,,324.72,141.8,25,6,300000,116.8,,,
76,303900,166.670207,-209.290802,206.6206,547.1935,2.7748,0.3960,307.38,143.5,21,10,304000,119.1,0.692701,0.589733,0.051484
77,307900,169.954831,-212.684963,209.9820,546.0808,2.9264,0.4195,350.28,153.7,27,15,308000,121.2,0.703541,0.598546,0.052497
78,311900,173.397615,-215.854676,213.0993,560.3843,2.8346,0.4176,332.05,143.2,47,27,312000,123.2,0.694269,0.590502,0.051884
79,315900,174.035559,-219.162905,216.3963,577.6215,3.1084,0.4239,284.66,122.0,30,15,316000,125.1,0.707564,0.601299,0.053132
80,319900,,,,,,,261.05,110.8,37,15,320000,125.2,,,
81,323900,176.484086,-222.820492,219.8991,585.0242,2.9220,0.4463,243.82,105.1,53,28,324000,127.4,0.700433,0.594448,0.052993
82,327900,181.158572,-226.465675,223.5211,591.9853,2.8686,0.4430,217.45,99.2,9,2,328000,129.6,0.708224,0.602556,0.052834
83,331900,182.981108,-229.942139,227.0942,614.8605,2.9780,0.4403,250.04,112.1,55,34,332000,131.7,0.690919,0.587575,0.051672
84,335900,187.216215,-232.802888,230.0353,611.2113,2.9218,0.4619,256.59,112.7,44,17,336000,133.5,0.691226,0.588192,0.051517
85,339900,,,,,,,156.69,80.7,53,25,340000,133.7,,,
86,343900,194.278575,-235.849082,233.0003,601.6181,3.1230,0.4374,154.45,79.4,48,28,344000,135.5,0.698556,0.594155,0.052201
87,347900,204.492020,-239.230239,236.3011,689.7023,3.2468,0.4318,152.43,78.0,45,22,348000,137.3,0.713701,0.606985,0.053358
88,351900,205.282588,-242.344606,239.3950,653.6657,3.2792,0.4568,159.85,81.5,44,20,352000,139.1,0.701018,0.595769,0.052624
89,355900,206.987478,-245.548288,242.5434,654.0214,3.2036,0.4642,228.85,99.6,29,14,356000,140.9,0.697213,0.592050,0.052582
90,359900,,,,,,,215.78,95.9,65,36,360000,141.1,,,
91,363900,212.875662,-248.246885,245.3596,657.0339,3.1397,0.4712,204.04,93.1,18,9,364000,143.1,0.715795,0.608367,0.053714
92,367900,222.167646,-250.833134,248.0414,706.3330,3.1060,0.4769,269.14,110.7,13,5,368000,145.0,0.700447,0.594704,0.052871
93,371900,232.532391,-253.088458,250.2560,726.6360,3.0913,0.4957,327.86,128.9,63,37,372000,146.9,0.690979,0.588575,0.051202
94,375900,247.950469,-255.066273,252.3165,725.6490,3.1918,0.4734,308.15,124.0,25,10,376000,148.8,0.702628,0.596723,0.052952
95,379900,,,,,,,328.56,132.9,7,4,380000,149.0,,,
96,383900,250.720718,-257.489699,254.6225,728.6944,3.1761,0.4935,322.55,132.6,34,15,384000,151.0,0.706335,0.600333,0.053001
97,387900,256.679265,-259.521876,256.6493,743.5651,3.2245,0.4973,340.29,136.5,57,36,388000,152.9,0.701020,0.595933,0.052543
98,391900,268.518748,-262.006856,259.0215,770.2706,3.2687,0.5043,263.30,118.0,5,3,392000,154.7,0.691469,0.587462,0.052004
99,395900,274.669013,-264.649357,261.6598,776.5215,3.2248,0.5186,293.96,124.4,25,10,396000,156.7,0.705124,0.598558,0.053283
100,399900,,,,,,,364.35,142.0,34,16,400000,156.9,,,
