epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,105.94,22.9,120,56,4000,1.7
2,7900,,,,,,,118.24,26.0,128,63,8000,4.5
1,3999,,,,,,,113.98,25.5,157,71,4000,1.6
43,171900,211.418719,189.008762,-108.145889,106.2437,106.2384,2129.3093,4710.7652,1.7645,0.1065,277.69,61.5,74,39,172000,244.1
44,175900,211.321348,187.341346,-108.982049,107.1061,107.1111,2129.6790,4865.1427,1.9449,0.1286,281.26,61.8,48,19,176000,251.8
45,179900,,,,,,,,,,315.29,72.0,46,18,180000,252.7
46,183900,215.094389,194.792218,-109.500379,107.5990,107.5968,2193.1650,5140.7155,2.0253,0.1404,285.12,64.7,82,45,184000,259.9
47,187900,223.546585,202.764723,-109.870440,107.9183,107.9096,2464.5262,5706.9875,2.1255,0.1273,236.92,53.5,100,43,188000,267.8
48,191900,225.736565,203.493271,-110.212533,108.1885,108.1855,2521.0685,5864.0900,2.3092,0.1299,188.91,42.6,99,53,192000,275.4
49,195900,227.379762,205.756923,-110.587309,108.6533,108.6556,2541.4700,5465.0736,2.2915,0.1463,194.57,42.9,87,39,196000,282.8
50,199900,,,,,,,,,,200.02,43.9,90,45,200000,283.7
51,203900,233.753336,214.564735,-110.820948,108.8216,108.8152,2700.9517,5866.6231,2.2484,0.1571,213.61,46.1,85,47,204000,291.5
52,207900,240.897110,223.451524,-111.120905,109.2152,109.2304,2971.5672,5939.3694,2.2024,0.1532,221.21,46.5,89,38,208000,298.9
53,211900,239.250986,227.002887,-111.207783,109.1949,109.1925,3113.3570,6277.1238,2.2125,0.1967,223.25,46.8,81,40,212000,306.2
54,215900,239.097456,223.650050,-111.173288,109.3585,109.3688,3300.2800,5899.0684,2.2243,0.2164,231.35,47.9,80,43,216000,314.1
55,219900,,,,,,,,,,236.70,48.7,92,49,220000,315.0
56,223900,237.588298,221.142772,-110.989115,109.2704,109.2661,3337.0980,6273.7872,2.2763,0.2116,236.30,48.7,75,38,224000,323.0
57,227900,231.243906,223.493901,-110.948986,109.0781,109.0841,3577.0472,5873.9405,2.4335,0.2176,240.99,49.6,77,35,228000,330.1
58,231900,221.340371,218.399308,-110.805833,109.0751,109.0699,3563.7147,6314.4678,2.2609,0.2348,248.28,50.5,85,32,232000,337.2
59,235900,223.374545,221.937391,-110.819606,109.0456,109.0499,3673.2493,6316.1859,2.3870,0.2323,241.77,49.6,81,39,236000,344.3
