epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
56,223900,233.089965,230.139018,-107.505274,103.7942,103.7902,2363.6979,2464.6532,3.1849,265.55,53.8,88,224000,250.6
57,227900,240.967165,240.240060,-108.825671,105.1609,105.1773,2424.6455,2449.2446,3.0222,269.05,54.6,69,228000,256.8
58,231900,246.907357,249.857872,-110.176149,106.5843,106.5933,2514.7338,2595.0117,3.2118,277.98,56.4,56,232000,262.7
59,235900,254.877130,254.636662,-111.700818,107.9362,107.9326,2425.5850,2530.8270,3.3962,286.71,57.9,83,236000,268.5
60,239900,,,,,,,,,262.64,53.2,75,240000,269.2
61,243900,259.534249,258.879815,-113.124054,109.2291,109.2276,2510.1224,2575.7007,3.8043,270.27,54.5,70,244000,275.2
62,247900,262.736824,263.802971,-114.233055,110.3747,110.3683,2565.5840,2566.5321,3.7560,299.39,60.7,46,248000,281.1
63,251900,268.523916,270.348404,-115.363936,111.6333,111.6219,2740.0572,2693.8263,4.0436,332.60,67.5,79,252000,287.0
64,255900,269.188449,270.514442,-116.678834,112.7537,112.7555,2730.6351,2622.0383,3.9531,317.71,64.8,44,256000,292.9
65,259900,,,,,,,,,350.52,71.2,63,260000,293.6
66,263900,275.988135,276.541118,-117.653713,113.8895,113.8868,2760.1484,2607.6382,4.1907,304.66,62.0,74,264000,298.7
67,267900,278.942303,275.926112,-118.774471,114.9399,114.9317,2900.7498,2584.9582,4.5718,297.94,60.6,58,268000,304.1
68,271900,281.473404,285.405883,-119.487865,115.7432,115.7487,2948.3946,2775.1366,4.5574,294.22,59.5,69,272000,309.3
69,275900,282.174538,282.742980,-120.495868,116.7009,116.6976,2883.3932,2741.7399,4.4289,280.39,56.6,84,276000,314.8
70,279900,,,,,,,,,271.99,55.1,62,280000,315.6
71,283900,283.543879,289.709538,-121.352313,117.5408,117.5407,3106.0070,2843.8572,4.7968,290.92,58.8,68,284000,321.1
72,287900,283.638535,290.643950,-122.065324,118.3247,118.3369,3232.4963,2752.8190,5.2487,272.82,55.1,79,288000,326.7
73,291900,280.268532,287.446299,-122.853151,119.0594,119.0629,3293.6602,2720.8979,5.5284,266.57,53.9,77,292000,332.3
74,295900,283.155803,288.572178,-123.504953,119.7349,119.7287,3412.0768,2692.4205,5.6973,270.22,54.5,58,296000,337.9
75,299900,,,,,,,,,284.51,57.5,74,300000,338.7
76,303900,284.560153,290.771062,-124.190933,120.4128,120.4159,3590.7750,2697.3182,5.0822,283.34,57.4,79,304000,344.8
77,307900,283.712346,294.751876,-124.806241,120.9915,121.0000,3963.6908,2798.7760,5.8508,271.29,54.9,65,308000,351.2
78,311900,276.093016,287.402680,-125.377243,121.5594,121.5573,3899.0644,2800.4713,5.6590,271.99,55.2,77,312000,357.9
79,315900,277.496958,293.213046,-125.724509,121.9967,122.0002,4215.9491,2792.6271,5.7798,264.07,53.9,76,316000,364.5
80,319900,,,,,,,,,268.45,54.3,70,320000,365.2
81,323900,278.855718,294.007139,-126.363717,122.5845,122.5788,4622.0162,2904.7781,5.9311,303.40,60.9,61,324000,371.4
82,327900,270.459662,288.407286,-126.643881,122.8651,122.8717,4620.7529,2781.6274,5.8945,294.10,59.4,70,328000,378.1
83,331900,267.808877,286.561342,-127.168820,123.5085,123.5064,4952.4996,2916.8116,6.9946,268.34,54.7,86,332000,385.0
84,335900,272.604552,288.399599,-127.540202,123.8938,123.8998,4905.9847,2891.3982,5.6282,260.44,53.2,68,336000,391.6
85,339900,,,,,,,,,262.47,53.6,69,340000,392.3
86,343900,267.203999,289.826641,-127.745024,124.1788,124.1826,4947.6922,2938.9844,6.0130,261.89,53.5,78,344000,398.6
87,347900,263.592778,286.467267,-128.235188,124.5799,124.5746,4968.9586,2875.9948,6.8380,259.67,52.7,84,348000,404.5
88,351900,273.033503,293.230803,-128.215352,124.6864,124.7051,5432.9334,2994.7898,6.3056,246.01,50.5,76,352000,410.5
89,355900,265.235237,289.850889,-128.487758,124.9842,124.9805,5351.6968,3056.2375,7.0644,256.37,52.3,56,356000,416.5
90,359900,,,,,,,,,320.21,63.5,73,360000,417.3
91,363900,271.637516,292.874603,-128.811940,125.2654,125.2763,5864.5656,3009.9870,7.2500,302.45,60.7,68,364000,424.1
92,367900,269.535873,290.227543,-129.026699,125.5209,125.5091,5797.7634,3017.9680,6.5430,271.13,55.1,66,368000,431.1
93,371900,264.690584,288.806987,-129.000044,125.4911,125.4881,5514.3314,3168.4992,6.4309,281.07,56.7,74,372000,438.0
94,375900,268.503288,295.985109,-129.118680,125.5806,125.5746,5693.5401,3207.2577,5.5507,285.80,57.5,81,376000,444.0
95,379900,,,,,,,,,264.51,53.4,61,380000,444.8
96,383900,270.553363,295.702712,-129.176826,125.7767,125.7774,6088.9203,3307.2217,6.2003,269.56,54.6,76,384000,450.9
97,387900,274.145680,293.300191,-129.397044,125.9411,125.9461,6308.0306,3301.7126,6.3333,267.10,54.2,78,388000,456.9
98,391900,269.932738,293.267455,-129.281038,125.9874,125.9824,6522.4314,3289.0726,5.5822,264.35,53.6,75,392000,463.8
99,395900,266.214725,295.586567,-129.334780,125.9677,125.9564,6396.8707,3409.5717,5.7309,258.00,52.6,73,396000,470.8
100,399900,,,,,,,,,261.94,53.4,71,400000,471.5
101,403900,261.285536,295.595421,-129.226050,125.9156,125.9225,6432.3623,3571.6672,6.0728,265.57,53.9,83,404000,477.9
102,407900,266.500401,298.845282,-129.017477,125.7062,125.7026,6796.7481,3567.9638,6.5935,260.13,53.2,78,408000,483.8
103,411900,268.611684,291.375348,-129.085021,125.7442,125.7682,6767.9494,3851.7281,4.7506,262.65,53.5,66,412000,489.8
104,415900,270.779065,297.323283,-128.839786,125.6381,125.6330,7065.8826,4085.6980,5.1210,264.04,53.7,75,416000,496.4
105,419900,,,,,,,,,257.86,52.7,83,420000,497.1
106,423900,267.984660,291.485980,-128.489578,125.2629,125.2685,7275.9105,4069.3545,5.4290,251.54,51.5,79,424000,504.1
107,427900,258.471523,283.753998,-128.197662,125.1105,125.1065,7290.1543,3933.0497,5.9771,250.15,51.4,70,428000,511.1
108,431900,259.183773,286.449776,-127.864953,124.8849,124.8951,7367.8619,4078.8779,5.0881,261.03,53.2,73,432000,517.0
109,435900,262.242538,279.984994,-127.576928,124.5558,124.5513,7273.0160,4385.6100,5.1744,274.41,55.6,72,436000,522.9
110,439900,,,,,,,,,279.60,56.5,75,440000,523.6
111,443900,262.008200,278.449197,-127.482013,124.4020,124.3888,7556.1488,4452.3426,4.7361,278.37,56.2,72,444000,530.1
112,447900,260.944371,276.294877,-127.137595,124.0550,124.0650,7682.5854,4634.7299,4.8839,276.23,55.9,63,448000,537.0
113,451900,254.416687,276.590474,-126.377242,123.4544,123.4432,7634.8734,4784.6014,5.2441,274.70,55.6,81,452000,543.9
114,455900,251.822055,269.979330,-126.163714,123.1543,123.1662,7992.3500,4919.2445,4.4140,263.31,53.4,83,456000,549.9
115,459900,,,,,,,,,254.00,51.9,61,460000,550.6
116,463900,252.191832,266.393108,-125.860267,122.9336,122.9259,8198.2735,5157.4460,4.9079,257.47,52.5,80,464000,556.5
117,467900,246.385319,262.258711,-125.538672,122.6307,122.6387,8061.8678,5155.1522,5.1280,258.46,52.6,80,468000,562.3
118,471900,245.830276,263.195607,-125.092739,122.3341,122.3215,8341.7497,5366.1695,4.4651,267.31,54.3,75,472000,569.3
119,475900,244.559046,264.531641,-124.589867,121.8436,121.8487,7787.6727,5659.9455,4.3865,273.01,55.4,60,476000,576.2
120,479900,,,,,,,,,281.00,57.0,77,480000,576.9
121,483900,244.588265,257.123370,-124.065383,121.3795,121.3693,8517.3314,5687.5873,4.3990,262.65,53.4,83,484000,583.5
122,487900,240.510899,253.167866,-123.665131,121.0900,121.0977,8426.6060,5775.2824,4.0525,267.33,54.5,66,488000,589.4
123,491900,238.642690,249.096521,-123.147566,120.6357,120.6335,8671.9369,5689.9335,3.8663,264.28,53.9,77,492000,595.4
124,495900,236.606730,250.350548,-122.932767,120.3390,120.3404,8449.6535,5637.1921,4.1118,252.91,51.7,81,496000,602.2
