epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,-10.13,25.5,35,14,4000,0.3,,,
2,7900,,,,,,,-16.84,38.5,14,7,8000,0.6,,,
3,11900,0.468469,-1.651186,1.2079,1.8739,0.0645,0.0021,-3.00,99.5,10,4,12000,2.3,,,
4,15900,1.063181,-1.855129,0.8021,5.3102,0.6670,0.0000,-37.71,110.4,19,7,16000,4.2,0.706250,0.583152,0.061549
5,19900,,,,,,,-54.09,89.1,17,10,20000,4.4,,,
6,23900,1.297440,-3.528400,2.1840,6.7136,1.3604,0.0123,16.12,35.0,1,1,24000,6.3,0.380649,0.314904,0.032873
7,27900,1.361104,-5.861164,4.6600,8.2244,1.5330,0.0229,,,0,0,28000,8.1,0.089940,0.072423,0.008758
8,31900,1.225317,-8.260439,7.1575,8.5398,1.4241,0.0244,-18.13,309.0,1,1,32000,10.0,0.035004,0.024634,0.005185
9,35900,1.204578,-10.387066,9.4508,8.0760,1.3476,0.0274,14.36,293.0,1,0,36000,12.0,0.070103,0.056469,0.006817
10,39900,,,,,,,54.49,260.0,1,1,40000,12.3,,,
11,43900,1.196870,-12.565982,11.7216,7.8352,1.3672,0.0288,82.66,383.6,5,1,44000,14.2,0.021628,0.009064,0.006282
12,47900,1.260652,-14.715066,13.9236,7.9387,1.3079,0.0312,84.36,467.0,1,0,48000,16.1,0.033874,0.004469,0.014702
13,51900,1.260564,-16.737109,16.0336,8.3441,1.2364,0.0351,,,0,0,52000,18.1,0.057442,0.026835,0.015303
14,55900,1.236985,-18.658324,18.0066,7.4968,1.2793,0.0365,203.22,497.0,1,1,56000,20.0,0.033775,0.013312,0.010231
15,59900,,,,,,,250.83,407.0,3,2,60000,20.2,,,
16,63900,1.264721,-20.499769,19.8773,8.0436,1.3421,0.0384,332.79,441.0,1,1,64000,22.0,0.064751,0.041766,0.011493
17,67900,1.277987,-22.300184,21.7068,7.5594,1.1955,0.0399,255.09,485.2,6,3,68000,23.9,0.099772,0.065300,0.017236
18,71900,1.379193,-24.062408,23.4758,8.0648,1.2000,0.0461,281.63,465.5,4,2,72000,25.8,0.088615,0.050971,0.018822
19,75900,1.372126,-25.809779,25.2473,7.8877,1.2434,0.0479,197.24,244.3,3,3,76000,27.8,0.071668,0.050762,0.010453
20,79900,,,,,,,236.49,237.5,2,2,80000,28.1,,,
21,83900,1.400856,-27.462807,26.9290,8.0202,1.3743,0.0513,419.19,736.2,4,3,84000,30.2,0.015548,0.005676,0.004936
22,87900,1.424278,-29.074411,28.5563,8.1320,1.3198,0.0552,34.50,30.0,1,1,88000,32.2,0.057959,0.044579,0.006690
23,91900,1.451033,-30.639996,30.1252,8.1797,1.3467,0.0602,365.77,573.0,3,2,92000,34.3,0.025896,0.016778,0.004559
24,95900,1.508923,-32.181586,31.6786,8.6635,1.3645,0.0632,353.36,492.2,5,2,96000,36.3,0.010964,0.004770,0.003097
25,99900,,,,,,,409.85,916.5,29,13,100000,36.5,,,
26,103900,1.769569,-33.680940,33.1859,8.7077,1.3837,0.0672,390.83,829.8,16,6,104000,38.5,0.194039,0.158273,0.017883
27,107900,2.075406,-35.364023,34.8783,9.3969,1.4516,0.0720,449.27,843.4,13,9,108000,40.5,0.174567,0.144219,0.015174
28,111900,2.137361,-37.102481,36.6102,9.4306,1.4600,0.0769,367.78,691.5,4,3,112000,42.4,0.027395,0.015742,0.005827
29,115900,2.445689,-38.874292,38.3804,10.1902,1.4020,0.0848,402.62,598.6,21,9,116000,44.5,0.098089,0.078374,0.009857
30,119900,,,,,,,593.07,723.1,11,4,120000,44.8,,,
31,123900,2.704546,-40.617490,40.1263,11.3387,1.4846,0.0922,305.43,312.5,11,5,124000,46.9,0.100288,0.082215,0.009037
32,127900,3.016915,-42.379675,41.8779,12.9118,1.5255,0.0964,197.60,166.0,10,4,128000,48.8,0.103791,0.087332,0.008230
33,131900,3.242830,-44.223778,43.7131,13.5889,1.5443,0.1033,221.41,191.5,11,5,132000,50.8,0.052102,0.040706,0.005698
34,135900,3.515906,-46.004723,45.5020,14.9478,1.5682,0.1110,285.24,276.3,13,10,136000,52.7,0.066075,0.053151,0.006462
35,139900,,,,,,,302.45,218.4,12,4,140000,53.0,,,
36,143900,3.786848,-47.715460,47.2144,16.5852,1.6914,0.1245,255.70,242.1,11,4,144000,54.9,0.091435,0.077938,0.006748
37,147900,3.959430,-49.426045,48.9022,17.3230,1.6625,0.1321,533.02,469.5,4,1,148000,56.7,0.045482,0.036806,0.004338
38,151900,4.034917,-51.176270,50.6535,18.1095,1.7022,0.1357,267.04,169.2,6,2,152000,58.6,0.030258,0.022384,0.003937
39,155900,4.482290,-52.864349,52.3251,19.7170,1.7449,0.1449,396.98,340.5,11,3,156000,60.5,0.030825,0.020289,0.005268
40,159900,,,,,,,384.91,316.5,6,2,160000,60.7,,,
41,163900,4.473035,-54.501812,53.9634,19.5451,1.7090,0.1448,409.01,286.5,2,1,164000,62.7,0.041292,0.033010,0.004141
42,167900,4.538522,-56.158727,55.6015,20.4781,1.7571,0.1523,590.38,416.3,7,5,168000,64.9,0.024471,0.016257,0.004107
43,171900,4.809812,-57.746565,57.1941,21.6875,1.7792,0.1623,512.42,402.9,9,5,172000,69.2,0.042021,0.033065,0.004478
44,175900,5.018977,-59.323063,58.7642,23.1145,1.8767,0.1693,494.02,302.5,6,4,176000,71.8,0.029100,0.021153,0.003973
45,179900,,,,,,,266.46,241.0,9,4,180000,72.2,,,
46,183900,5.262771,-60.925590,60.3396,23.5008,1.8269,0.1728,394.30,249.5,6,4,184000,74.8,0.024261,0.017547,0.003357
47,187900,5.468613,-62.452439,61.8706,26.1085,1.9733,0.1805,905.03,706.5,4,0,188000,77.7,0.053012,0.043610,0.004701
48,191900,5.162502,-63.874379,63.2814,23.6790,1.8879,0.1787,406.65,441.6,7,5,192000,80.2,0.036562,0.029262,0.003650
49,195900,5.141163,-65.248668,64.6591,23.0106,1.8909,0.1834,355.08,334.7,12,5,196000,82.4,0.047750,0.040180,0.003785
50,199900,,,,,,,570.83,489.1,7,2,200000,82.7,,,
51,203900,6.151476,-66.698879,66.1061,27.3533,2.1473,0.1978,569.30,695.9,25,9,204000,85.0,0.076563,0.063956,0.006304
52,207900,6.566016,-68.178121,67.5668,29.5608,2.0040,0.1989,324.48,397.2,12,4,208000,87.1,0.062118,0.051350,0.005384
53,211900,6.607486,-69.745802,69.1346,27.9960,2.0696,0.2027,251.30,308.5,4,2,212000,89.2,0.049521,0.040129,0.004696
54,215900,7.117547,-71.303820,70.6914,32.8358,2.1373,0.2139,503.69,550.1,13,9,216000,91.4,0.104706,0.090381,0.007162
55,219900,,,,,,,331.41,266.4,13,9,220000,91.6,,,
56,223900,7.344867,-72.865769,72.2814,33.2150,2.2291,0.2164,487.83,520.9,8,3,224000,93.6,0.103965,0.088878,0.007543
57,227900,7.500493,-74.204634,73.6182,32.1620,2.2471,0.2246,327.93,189.4,5,4,228000,95.7,0.062291,0.051861,0.005215
58,231900,8.152506,-75.644797,75.0429,35.1407,2.2023,0.2288,561.82,594.1,11,6,232000,97.7,0.079855,0.067007,0.006424
59,235900,8.209935,-77.115843,76.5008,37.2342,2.3274,0.2337,401.13,431.2,13,7,236000,99.8,0.076871,0.064242,0.006315
60,239900,,,,,,,438.82,588.0,6,3,240000,100.0,,,
61,243900,8.703908,-78.589446,77.9862,38.6911,2.3367,0.2423,376.55,447.9,9,7,244000,102.1,0.049257,0.040156,0.004550
62,247900,8.752492,-79.966970,79.3605,35.5929,2.3443,0.2470,438.14,557.0,2,0,248000,104.0,0.046911,0.037233,0.004839
63,251900,8.772875,-81.319160,80.7209,38.1941,2.5134,0.2593,178.60,109.4,5,3,252000,106.0,0.036183,0.027942,0.004120
64,255900,8.710041,-82.773550,82.1528,36.4660,2.4105,0.2610,591.13,562.8,9,4,256000,107.9,0.034432,0.027197,0.003617
65,259900,,,,,,,712.72,647.8,9,4,260000,108.2,,,
66,263900,9.102596,-84.119515,83.4876,39.0156,2.4618,0.2652,405.38,391.8,5,4,264000,110.1,0.065715,0.055242,0.005236
67,267900,8.951997,-85.540540,84.9115,36.9271,2.4229,0.2690,928.82,832.2,4,3,268000,112.1,0.056945,0.046312,0.005316
68,271900,9.584143,-86.794628,86.1772,42.5094,2.4134,0.2786,647.78,755.6,5,4,272000,114.2,0.043052,0.034111,0.004471
69,275900,9.560072,-88.185326,87.5843,38.9206,2.4426,0.2918,527.03,697.2,4,3,276000,116.3,0.041141,0.032749,0.004196
70,279900,,,,,,,680.87,522.2,16,9,280000,116.5,,,
71,283900,10.924956,-89.443639,88.8398,47.5866,2.4855,0.2866,993.90,786.0,3,1,284000,118.7,0.070701,0.060597,0.005052
72,287900,10.251172,-90.806656,90.1867,39.3682,2.4947,0.2963,220.20,136.8,4,2,288000,120.8,0.054930,0.046525,0.004202
73,291900,10.356114,-92.086378,91.4632,41.6977,2.5721,0.3182,447.27,489.7,6,3,292000,122.6,0.048391,0.039074,0.004658
74,295900,11.727838,-93.291428,92.6574,52.4457,2.6428,0.3196,622.36,348.2,17,8,296000,124.6,0.061858,0.051833,0.005012
75,299900,,,,,,,467.75,402.0,4,3,300000,124.8,,,
76,303900,11.671222,-94.415240,93.7945,46.9696,2.6394,0.3184,405.82,561.4,11,5,304000,126.7,0.022306,0.015755,0.003275
77,307900,11.639125,-95.586273,94.9763,46.6911,2.6594,0.3268,564.96,552.2,9,5,308000,128.8,0.042948,0.034957,0.003996
78,311900,12.041462,-96.637129,96.0157,51.1639,2.6472,0.3472,540.16,450.2,8,4,312000,130.9,0.037414,0.029342,0.004036
79,315900,12.859912,-97.667683,97.0907,54.2979,2.7383,0.3573,708.85,666.6,14,8,316000,133.1,0.086936,0.074941,0.005997
80,319900,,,,,,,257.48,413.1,14,4,320000,133.4,,,
81,323900,13.143179,-98.854990,98.2637,52.8940,2.7197,0.3623,612.83,595.3,7,3,324000,135.4,0.080585,0.068275,0.006155
82,327900,13.992405,-99.875824,99.2852,55.1146,2.9570,0.3614,398.31,259.9,7,2,328000,137.4,0.073328,0.063019,0.005155
83,331900,14.700567,-101.029668,100.4066,61.8562,2.8003,0.3708,569.59,378.6,13,4,332000,139.5,0.077946,0.066163,0.005891
