step,episode_return,has_disturbance
92,-8.48405391289462,0
189,-67.8688023515216,0
1190,-382.45385261810736,0
1301,-30.0863072460287,0
1389,-17.74568077705675,0
1415,-13.593221708084064,0
1667,-107.97528918861748,0
2668,-398.2355214800239,0
2742,-73.1332182712127,0
2769,-17.475907449037678,0
2804,-25.71849400553159,0
2853,-8.660871990930792,0
2957,-72.24884471060119,0
2994,-19.15202594760087,0
3995,-323.24801613425717,1
4023,-7.068936329949672,1
4085,-3.4221678234518667,1
4260,4.131602110911276,0
4369,-5.428354345937442,0
4411,-13.261215949592986,0
5412,-851.2551749484243,0
5446,-62.06767619222817,0
5488,-81.55039754206048,1
5520,-53.94718946400572,0
5576,-115.21353851535996,0
5617,-96.17624624057518,1
5654,-81.74538344953777,0
6655,-2019.6967819012782,0
7656,-2282.1623660940922,0
8657,-2237.1472639408694,0
9658,-2273.43827997393,1
10659,-2250.055864842171,0
11660,-2243.8553018031416,1
12661,-2247.2363739465145,0
13662,-2262.3250271269476,0
14663,-2277.547301099789,0
15664,-2262.1838465396286,0
16665,-2232.8514979092092,0
17666,-2275.2826660259593,0
18667,-2265.1810168650527,0
19668,-2263.233624726891,0
20669,-2262.9610709397693,1
21670,-2256.4331685147354,1
22671,-2229.8494478637126,0
23672,-2270.0716861055407,0
24673,-2250.158083666087,0
25674,-2250.2553719634448,0
26675,-2247.2621905674596,0
27676,-2245.946732603401,1
28677,-2229.399421098215,0
29678,-2259.588755047542,1
30679,-2254.6153135616837,0
31680,-2261.5439246818814,1
32681,-2247.721816954997,1
33682,-2245.827951292421,1
34683,-2245.480210916925,1
35684,-2257.111578844239,1
36685,-2250.6124757965035,1
37686,-2254.571525290053,1
38687,-2260.0041393356682,1
39688,-2232.9895680743157,0
40689,-2246.593522268587,1
41690,-2256.9470918039574,1
42691,-2274.912794167887,0
43692,-2271.8458226399116,1
44693,-2280.986568138169,0
45694,-2263.717281235462,1
46695,-2240.1709384797673,0
47696,-2250.488380089953,1
48697,-2258.50093620898,0
49698,-2253.0362935261955,1
50699,-2250.775663960534,0
51700,-2248.195966715107,1
52701,-2252.1153451793452,1
53702,-2256.2809679358425,0
54703,-2259.6965012493756,0
55704,-2231.7781990571466,1
56705,-2278.646425417923,0
57706,-2247.4682486098245,1
58707,-2266.239635094932,0
59708,-2266.1524990914404,0
60709,-2260.941118889823,0
61710,-2267.7659219553525,1
62711,-2253.4413237007257,0
63712,-2239.4795850025293,0
64713,-2258.887524532339,0
65714,-2237.4774981653836,1
66715,-2243.3659854551297,0
67716,-2253.4844316986487,1
68717,-2265.3960595268554,1
69718,-2263.9221067152357,0
70719,-2236.82729644636,1
71720,-2261.5043915758147,0
72721,-2258.428971925787,0
73722,-2255.939200845528,1
74723,-2246.219965295252,1
75724,-2272.809879461584,0
76725,-2284.920887669348,1
77726,-2253.452099963715,0
78727,-2261.8850909445355,0
79728,-2250.346177625078,1
80729,-2253.843884221755,0
81730,-2252.7294875891857,0
82731,-2252.2715455741945,0
83732,-2238.538197821037,0
84733,-2238.0664665810796,0
85734,-2263.3536597145553,1
86735,-2261.9123846418975,0
87736,-2271.942036993059,1
88737,-2244.1636721985274,0
89738,-2266.8664031354488,1
90739,-2260.3915029323475,0
91740,-2272.0948915591325,1
92741,-2260.935319185169,0
93742,-2260.949068686134,0
94743,-2256.4936200358743,0
95744,-2244.7563452131844,1
96745,-2254.868175327356,0
97746,-2250.602224805929,0
98747,-2264.586468611827,1
99748,-2259.1876908529707,0
100749,-2253.446783625047,0
101750,-2271.416179425674,1
102751,-2252.5401541960896,1
103752,-2251.4009322626084,0
104753,-2256.444439243,1
105754,-2272.4462426609552,1
106755,-2251.6272031883077,1
107756,-2241.3276164574554,0
108757,-2244.8777480589106,0
109758,-2272.2861648644416,0
110759,-2264.600894412179,0
111760,-2246.4106952033526,0
112761,-2262.486014471488,0
113762,-2259.6098824386913,0
114763,-2249.7804438682256,1
115764,-2254.2981720227917,0
116765,-2261.690130567907,1
117766,-2265.7314315856643,1
118767,-2253.600828596201,1
119768,-2248.7266423133115,1
