epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,-10.17,26.8,28,10,4000,0.3,,,
2,7900,,,,,,,-15.25,39.6,16,10,8000,0.6,,,
3,11900,0.438508,-1.636020,1.0297,1.6111,0.0670,0.0060,,,0,0,12000,2.4,,,
4,15900,0.842530,-1.202227,0.6205,3.4413,0.2977,0.0030,-102.97,137.7,26,8,16000,4.0,,,
5,19900,,,,,,,,,0,0,20000,4.2,,,
6,23900,0.984878,1.730567,-2.0060,4.8302,0.4699,0.0000,-166.65,73.0,1,0,24000,5.9,,,
7,27900,1.262954,-1.195632,-1.0504,6.0817,0.7420,0.0201,-273.87,205.4,51,30,28000,8.0,0.740690,0.588844,0.075923
8,31900,1.226595,-1.345940,-0.4838,7.0518,1.1319,0.0232,-170.86,129.8,5,2,32000,10.0,0.617421,0.493679,0.061871
9,35900,1.578597,-3.649360,1.0344,7.4258,1.3064,0.0288,-163.33,125.5,27,14,36000,12.0,0.315456,0.251365,0.032045
10,39900,,,,,,,-453.91,323.0,1,0,40000,12.2,,,
11,43900,1.582766,-4.435415,2.9744,7.7419,2.2226,0.0298,-106.16,142.0,2,0,44000,14.2,0.153864,0.125603,0.014130
12,47900,1.500395,-5.770520,3.9312,7.3706,1.5821,0.0315,-139.50,204.0,1,1,48000,16.2,0.114070,0.099471,0.007300
13,51900,1.401852,-7.763380,5.9671,7.1449,1.5623,0.0330,-189.00,261.0,1,0,52000,18.2,0.082106,0.072840,0.004633
14,55900,1.310422,-9.664230,7.9413,6.6382,1.5163,0.0329,-188.46,283.3,3,3,56000,20.1,0.085771,0.076447,0.004662
15,59900,,,,,,,-284.22,450.5,2,1,60000,20.4,,,
16,63900,1.303267,-11.431194,9.8526,6.7459,1.5533,0.0376,,,0,0,64000,22.2,0.082490,0.072223,0.005133
17,67900,1.301146,-13.270175,11.7657,6.9318,1.4169,0.0417,23.13,309.0,1,0,68000,24.2,0.043335,0.035466,0.003934
18,71900,1.326274,-15.113393,13.6867,7.0056,1.3214,0.0442,-54.54,412.3,3,1,72000,26.1,0.020143,0.017063,0.001540
19,75900,1.438471,-16.899432,15.5615,7.0686,1.5089,0.0483,-75.82,595.5,4,2,76000,28.0,0.090801,0.078721,0.006040
20,79900,,,,,,,147.77,452.0,2,0,80000,28.2,,,
21,83900,1.483183,-18.676309,17.3979,7.1197,1.4486,0.0533,125.97,400.2,4,2,84000,30.1,0.071738,0.044311,0.013714
22,87900,1.599046,-20.403655,19.1851,7.6705,1.4757,0.0597,129.66,295.0,2,0,88000,32.1,0.086638,0.049040,0.018799
23,91900,1.679530,-22.114215,20.9430,7.4909,1.3687,0.0626,205.71,584.7,3,1,92000,34.1,0.040288,0.011335,0.014476
24,95900,1.771723,-23.740071,22.6170,7.6510,1.4774,0.0681,114.14,392.3,6,2,96000,36.0,0.081562,0.040277,0.020643
25,99900,,,,,,,-188.37,913.1,22,13,100000,36.3,,,
26,103900,1.926664,-25.224987,24.1494,8.0171,1.5090,0.0736,79.04,653.6,5,3,104000,38.2,0.140617,0.094014,0.023301
27,107900,2.012165,-26.751978,25.7171,8.1027,1.4526,0.0788,-82.08,648.6,8,4,108000,40.1,0.081032,0.045563,0.017734
28,111900,2.156770,-28.186973,27.2023,8.3179,1.4703,0.0844,146.52,238.2,6,5,112000,42.1,0.070837,0.045305,0.012766
29,115900,2.214716,-29.589907,28.6262,8.7256,1.4533,0.0896,7.31,811.1,9,7,116000,44.1,0.036035,0.014167,0.010934
30,119900,,,,,,,165.22,167.0,2,2,120000,44.3,,,
31,123900,2.364554,-30.984779,30.0520,8.9478,1.5196,0.0962,259.49,287.0,4,2,124000,46.4,0.069436,0.050113,0.009661
32,127900,2.403095,-32.299825,31.4104,9.4205,1.4836,0.1033,250.15,953.9,19,11,128000,48.4,0.046360,0.027748,0.009306
33,131900,2.686229,-33.590630,32.7276,9.6892,1.4868,0.1075,231.97,470.3,7,2,132000,50.4,0.148999,0.106201,0.021399
34,135900,2.918420,-34.919949,34.0773,10.3941,1.6276,0.1159,391.88,911.7,17,10,136000,52.3,0.129342,0.087388,0.020977
35,139900,,,,,,,160.05,187.9,10,3,140000,52.6,,,
36,143900,3.106140,-36.255356,35.4294,10.9439,1.5795,0.1253,198.45,238.8,8,5,144000,54.6,0.098602,0.059911,0.019345
37,147900,3.252854,-37.569717,36.7435,11.6158,1.6559,0.1326,167.02,238.7,6,4,148000,56.5,0.075701,0.037329,0.019186
38,151900,3.419847,-38.833916,38.0194,12.3673,1.6540,0.1450,316.25,403.5,4,1,152000,58.5,0.053848,0.025075,0.014386
39,155900,3.398731,-40.152254,39.3442,12.4509,1.5725,0.1503,526.47,767.3,3,3,156000,60.6,0.047241,0.021872,0.012684
40,159900,,,,,,,315.88,363.8,5,5,160000,60.8,,,
41,163900,3.543983,-41.402245,40.6094,13.1012,1.6301,0.1588,312.12,332.0,4,1,164000,63.0,0.058206,0.036268,0.010969
42,167900,3.665132,-42.600379,41.8317,13.6914,1.6712,0.1672,532.70,1001.0,1,1,168000,65.2,0.050060,0.029873,0.010093
43,171900,3.729131,-43.760641,42.9936,14.1786,1.6239,0.1752,436.87,529.6,5,2,172000,67.2,0.036925,0.020855,0.008035
44,175900,3.871599,-44.970507,44.2226,14.8963,1.8604,0.1802,382.38,570.0,3,2,176000,69.2,0.052730,0.033027,0.009852
45,179900,,,,,,,462.49,555.3,3,0,180000,69.4,,,
46,183900,3.926324,-46.203795,45.4492,14.9694,1.6839,0.1888,522.77,605.0,7,6,184000,71.3,0.050450,0.031813,0.009318
47,187900,4.069874,-47.406531,46.6726,15.6604,1.6995,0.1915,516.93,732.0,4,3,188000,73.2,0.065517,0.046812,0.009353
48,191900,4.119041,-48.641298,47.8937,16.7728,1.7399,0.2029,457.94,472.0,4,2,192000,75.2,0.060748,0.042866,0.008941
49,195900,4.416636,-49.903588,49.1763,18.0334,1.6827,0.2113,435.23,674.9,8,4,196000,77.2,0.067471,0.046545,0.010463
50,199900,,,,,,,288.97,188.0,1,0,200000,77.4,,,
51,203900,4.593507,-51.035573,50.3178,17.6656,1.6766,0.2205,601.56,931.5,13,4,204000,79.4,0.090322,0.063345,0.013489
52,207900,4.674289,-52.342980,51.6238,17.8507,1.7506,0.2237,537.73,765.4,7,3,208000,81.4,0.063296,0.042261,0.010517
53,211900,4.692495,-53.530463,52.8313,18.0247,1.8092,0.2306,518.16,637.7,6,4,212000,83.5,0.073692,0.053552,0.010070
54,215900,4.974024,-54.779474,54.0951,19.1056,1.9344,0.2399,505.58,752.3,9,8,216000,85.4,0.049387,0.032353,0.008517
55,219900,,,,,,,499.06,358.3,3,1,220000,85.6,,,
56,223900,5.129386,-56.005972,55.3139,19.7064,1.9064,0.2522,547.49,597.0,8,4,224000,87.6,0.026836,0.013631,0.006602
57,227900,5.494397,-57.241183,56.5628,21.0725,1.8612,0.2540,592.81,853.3,15,9,228000,89.6,0.040985,0.024697,0.008144
58,231900,5.574022,-58.574051,57.8850,21.7730,1.9872,0.2646,345.04,381.1,8,4,232000,91.5,0.084061,0.061791,0.011135
