epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,11.82,18.2,151,75,4000,0.2
2,7900,,,,,,,19.19,25.5,138,65,8000,0.5
3,11900,0.169933,-2.272989,2.0009,0.5044,0.0037,0.0017,30.63,31.6,74,39,12000,2.2
4,15900,0.798661,-6.201563,5.7339,1.3705,0.1429,0.0016,64.62,41.7,110,47,16000,3.7
5,19900,,,,,,,,,0,0,20000,3.9
6,23900,1.231979,-11.372102,10.7789,2.4818,0.2037,0.0030,160.36,77.7,100,56,24000,5.5
7,27900,2.636207,-16.743814,16.0500,4.8414,0.2250,0.0079,137.13,71.7,3,0,28000,7.0
8,31900,4.452492,-22.824458,21.9335,10.4101,0.2488,0.0124,184.73,84.8,96,41,32000,8.7
9,35900,5.104341,-28.721211,27.7986,14.2802,0.3697,0.0089,173.66,83.5,2,1,36000,11.9
10,39900,,,,,,,169.72,85.3,89,51,40000,12.1
11,43900,7.538709,-34.605548,33.5296,20.1979,0.5972,0.0172,159.92,82.8,13,8,44000,13.8
12,47900,8.739279,-40.228188,39.1783,21.1888,0.5873,0.0182,174.41,84.4,87,43,48000,15.5
13,51900,10.947904,-45.394211,44.2791,22.8737,0.6000,0.0250,,,0,0,52000,17.1
14,55900,12.303595,-50.841348,49.5399,26.0528,0.6220,0.0287,341.95,149.2,4,1,56000,18.7
15,59900,,,,,,,348.86,156.4,8,5,60000,18.8
16,63900,13.871031,-56.806332,55.6276,30.1994,0.7279,0.0350,362.86,164.4,43,21,64000,20.5
17,67900,16.322822,-62.374846,61.1917,35.4456,0.7441,0.0397,415.85,176.8,56,23,68000,22.0
18,71900,19.610438,-67.898883,66.6709,39.3813,0.7312,0.0406,230.19,98.9,17,9,72000,23.6
19,75900,22.376202,-73.817378,72.5155,47.6843,0.8213,0.0503,293.32,108.9,39,17,76000,25.1
20,79900,,,,,,,298.36,110.2,45,22,80000,25.3
21,83900,26.056927,-79.408575,77.9690,55.8874,0.8972,0.0492,286.11,108.5,27,10,84000,26.9
22,87900,29.261484,-85.680925,84.1045,61.8300,0.9515,0.0610,308.59,118.8,11,6,88000,28.4
23,91900,31.565926,-91.790137,90.2195,66.0192,0.9574,0.0575,346.05,135.0,59,31,92000,29.9
24,95900,34.961421,-97.320860,95.7974,76.7166,0.9548,0.0689,391.54,140.1,14,10,96000,31.4
25,99900,,,,,,,386.69,138.0,21,6,100000,31.6
26,103900,37.989614,-103.104226,101.5442,84.5577,1.0701,0.0627,379.97,136.6,35,21,104000,33.1
27,107900,40.678787,-108.214415,106.7024,85.2185,1.0493,0.0660,382.08,136.3,34,16,108000,34.7
28,111900,43.561183,-113.487820,111.9616,89.7685,1.0699,0.0688,401.23,145.2,25,15,112000,36.2
29,115900,46.636211,-118.636578,117.1451,98.9946,1.2165,0.0820,379.69,136.3,21,11,116000,37.8
30,119900,,,,,,,367.25,130.4,52,26,120000,38.1
31,123900,51.017679,-123.266305,121.7139,111.8530,1.2490,0.0817,374.64,132.0,13,7,124000,39.8
32,127900,55.402450,-128.440620,126.8357,111.1555,1.1659,0.0894,362.96,129.3,26,19,128000,41.4
33,131900,61.508050,-133.358374,131.7194,124.7614,1.3801,0.0986,387.99,135.9,55,24,132000,43.0
34,135900,67.204453,-138.015002,136.3665,134.0106,1.3809,0.1020,395.50,138.4,8,3,136000,44.5
35,139900,,,,,,,391.94,136.7,31,14,140000,44.7
