step,episode_return
900,-14.458112120308812
1100,-15.722317723474717
1200,-10.060457622966094
1300,-3.202982750413981
1300,-22.175475776772775
1400,-5.531595794312466
1400,-4.342977079358546
1500,-9.127409665899435
1900,-10.579513775361303
1900,-16.50763826119749
1900,-25.052560726966146
2000,-27.051938466592524
2000,10.183857502507864
2100,-2.390532156839173
2100,10.350756769183146
2200,-10.951633826517433
2200,-17.341647935494986
2300,-1.9128140087736945
2300,-6.9242121006929045
2300,-14.91951983654998
2400,-13.75899991207713
2500,-3.939518684025083
2500,-13.958365215736052
2500,-19.704144730754503
2600,-21.183108352561284
2800,-0.16762761273119708
2800,-13.535116887445776
2800,-9.48490752444669
2800,-20.33708942936502
2900,-8.167157217338584
2900,-22.455965637201835
2900,-16.280114880845115
2900,-35.00037597094781
3000,-31.08540802916385
3300,-38.64481961446721
3400,-5.2712651292252275
3400,1.9761605875899797
3500,3.6402821770769433
3700,1.3338662372927113
3800,4.673527697269723
3900,-3.253330179576539
3900,-11.988787448517419
4000,-14.500390949756472
4000,-19.673653168847977
4100,-15.269062697035716
4100,-14.843162553998203
4300,5.243762193017755
4400,-12.199294373286577
4400,-0.5357878231807913
4400,-7.068472645313907
4500,-1.6812786634652457
4500,-25.802346712385134
4600,10.587482582031637
4700,-25.120756134149616
5000,-16.396196549092856
5000,-14.186886483652525
5100,-14.292414318032238
5200,-39.55079312941717
98600,809.0861687732556
99800,877.1091302218468
99900,780.4714188945879
99900,833.6236989201475
99900,778.542144200352
99900,758.2714543687001
99900,811.288880075704
99900,852.7424263889436
99900,694.3452484376752
99900,851.5343851814761
99900,755.7778690905591
99900,712.092783117328
99900,756.9187159871561
99900,708.0035726687069
99900,741.8746460986123
99900,795.4863632926077
99900,746.0763915523422
99900,769.4503783578638
99900,801.6158390053096
99900,826.4931392756428
99900,773.4127005614761
99900,799.5995760477683
99900,862.221087497293
99900,715.5967706473858
99900,863.2434841972278
99900,844.4667116676857
99900,829.5878576903383
99900,735.9412352649631
99900,815.611578738901
99900,594.838134393739
99900,688.9916117691328
99900,814.2656250658307
99900,775.7695254684216
99900,696.3084101085742
99900,791.8457657311626
99900,798.4696719211847
99900,704.7269141336649
99900,788.1863833696972
99900,797.8826312966551
99900,694.8489283503927
99900,688.5520242651833
99900,707.2615506845191
99900,860.5352991610663
99900,683.2995906780476
99900,805.9612104138587
99900,698.0886067606768
99900,765.3035378876887
99900,848.9264001124078
99900,715.6510881229268
99900,750.6456648566625
99900,800.9495661490681
99900,860.6876676492781
101300,690.6074813313226
101400,721.4949031087798
101500,717.8920923099955
101500,868.886750588919
102000,834.1428908405013
102000,824.1869368356903
102100,864.1339970565118
102100,845.1615349750017
102200,813.7785550853969
102400,734.8913351677353
102400,823.9304614568379
102400,733.8272121057901
102500,796.0032437044614
102600,815.0352498170499
102600,773.6582236915168
102700,855.5775429878846
102900,869.7781179669132
102900,736.5521922053746
102900,797.0276993963327
102900,908.2858069911697
103000,772.2944586614149
103000,853.7843849969298
103000,834.8650396494694
103000,881.2933042472529
103100,804.7199355975143
103400,820.2925314446999
103500,908.8594862631902
103500,787.4720812948535
103600,879.1856379986039
103800,874.6095635551331
103900,859.0276083641263
104000,875.3661091649465
104000,856.7034945178129
104100,837.9682901852268
104100,726.3613380175997
104200,861.9092051802415
104200,927.130086617032
104400,865.4123116256471
104500,917.7609166838577
104500,881.5133202329587
104500,833.2584587009338
104600,888.6920033743515
104600,902.9569382887113
104700,887.8157004014155
104800,849.7664684839299
105100,816.9586871300241
105100,871.4933724381455
105300,865.5642579843799
106500,35.85153532703266
110600,128.65245101158933
114200,133.99393996568315
114800,123.04240348673105
118400,190.97571609954383
123500,243.27905308702455
128700,292.4524703977498
129900,253.83051999811403
131400,45.85767635555891
132600,314.3626228727241
133800,300.7124501355272
137300,353.88862368559137
137300,388.53011383513484
138700,382.68257491973003
139000,383.60416717097746
141800,177.13509508920293
142300,395.53132285922356
143800,449.5852211572423
144600,451.8656539570692
146800,482.9582980744534
147900,255.35369176810863
148300,74.52542056931946
151300,464.28681442003466
155600,635.3397856121371
156000,527.2973094886532
156900,98.22360813394371
157600,99.53529671525585
158100,529.4740568110108
158800,652.4980397464367
158900,504.0781363945046
159100,551.249013480122
159200,554.24605446266
159200,124.14668605767302
160200,26.32213161846986
161200,534.735653116269
161900,185.51180271999772
162000,31.534637114444728
168900,125.82551570233268
176200,138.2747755868623
182200,848.8950287870803
182700,97.2619019359318
187400,681.0728591811179
190000,358.52785233162865
191100,920.2125726676695
198700,770.0946140421603
199900,780.9074137980585
200000,769.3619806508422
200000,881.8304853483482
200000,942.28522822128
200000,758.1646171603386
200000,964.6375353889362
200000,833.9378015316006
200000,959.1642740976661
200000,763.3251125720033
200000,847.6930445233093
200000,1171.6023765980603
200000,1073.761710858734
200000,917.5454888557225
200000,1090.9057066009243
200000,790.0887709128255
200000,922.9113523261988
200000,845.2053907270154
200000,817.0554207898113
200000,860.2871728549347
200000,857.321715115845
200000,876.650672525481
200000,770.5769379353843
200000,898.0033604237955
200000,956.290870615091
200000,874.5951921120542
200000,805.2325876647195
200000,843.9691953936868
200000,904.4479905776066
200000,800.9004855998734
200000,835.2618484211865
200000,937.2494284751141
