epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
51,203900,0.236343,0.231960,-3.974472,3.3691,3.3680,0.7039,0.6419,0.5613,0.0000,59.79,61.8,56,31,204000,28.1
52,207900,0.242851,0.238041,-4.091294,3.4907,3.4893,0.8057,0.8433,0.6449,0.0000,63.54,65.5,63,29,208000,28.7
53,211900,0.264292,0.259328,-4.202094,3.5879,3.5876,0.7405,0.8896,0.3763,0.0000,63.05,65.1,58,28,212000,29.3
54,215900,0.263111,0.255496,-4.325321,3.7162,3.7160,0.8253,0.7538,0.6849,0.0000,67.00,69.0,57,24,216000,30.0
55,219900,,,,,,,,,,65.66,67.7,62,30,220000,30.2
56,223900,0.285497,0.276509,-4.417141,3.8115,3.8110,1.1054,0.9430,0.7207,0.0000,64.58,66.6,60,30,224000,30.8
57,227900,0.286561,0.277459,-4.541605,3.9428,3.9421,0.8659,0.9124,0.4680,0.0000,64.05,66.0,64,38,228000,31.5
58,231900,0.297839,0.288774,-4.628224,4.0398,4.0397,0.8043,0.8055,0.3509,0.0000,64.96,67.0,53,30,232000,32.1
59,235900,0.324475,0.312998,-4.748871,4.1705,4.1705,0.9495,0.9833,0.3884,0.0001,69.15,71.2,59,25,236000,32.7
60,239900,,,,,,,,,,66.33,68.3,57,31,240000,32.9
61,243900,0.324638,0.313822,-4.848698,4.2845,4.2833,0.9460,0.8886,0.6247,0.0002,68.20,70.2,55,28,244000,33.6
62,247900,0.342211,0.330329,-4.981958,4.4038,4.4036,0.9836,1.0245,0.5484,0.0004,69.23,71.2,52,33,248000,34.2
63,251900,0.366254,0.352465,-5.079398,4.5189,4.5180,1.4144,1.2531,0.5732,0.0007,69.89,71.9,61,32,252000,34.8
64,255900,0.372319,0.358933,-5.166951,4.6304,4.6309,1.3725,1.3497,1.1188,0.0012,70.90,72.9,51,28,256000,35.5
65,259900,,,,,,,,,,74.13,76.1,54,26,260000,35.7
66,263900,0.379445,0.363231,-5.312158,4.7474,4.7455,1.8009,1.7498,0.9679,0.0027,72.53,74.5,59,21,264000,36.3
67,267900,0.386644,0.369234,-5.374625,4.8513,4.8517,1.2315,1.1414,0.9171,0.0069,67.44,69.4,48,26,268000,37.0
68,271900,0.381686,0.364884,-5.505639,4.9920,4.9915,0.9885,1.0898,0.6805,0.0718,70.81,72.8,62,30,272000,37.6
69,275900,0.397556,0.381664,-5.586976,5.0797,5.0788,1.1221,1.2207,0.9239,0.0539,71.04,73.0,48,27,276000,38.3
70,279900,,,,,,,,,,68.29,70.3,75,36,280000,38.5
71,283900,0.410388,0.393302,-5.701378,5.1954,5.1946,1.5355,1.5777,0.5883,0.0267,59.34,61.3,47,25,284000,39.2
72,287900,0.416866,0.398988,-5.816845,5.3160,5.3150,1.2957,1.4734,0.5291,0.0690,64.04,66.0,73,39,288000,39.8
73,291900,0.417466,0.398191,-5.922396,5.4316,5.4327,1.2465,1.3033,0.6118,0.0538,60.76,62.8,66,29,292000,40.5
74,295900,0.437195,0.419389,-6.014582,5.5336,5.5331,1.4162,1.5199,0.6175,0.0240,62.29,64.3,41,21,296000,41.1
75,299900,,,,,,,,,,67.38,69.4,79,34,300000,41.3
76,303900,0.425673,0.406228,-6.129475,5.6547,5.6543,1.2429,1.3272,0.7748,0.0539,60.07,62.1,67,31,304000,42.0
77,307900,0.444667,0.425023,-6.221931,5.7384,5.7378,1.3088,1.5293,0.5519,0.0597,52.61,54.6,56,28,308000,42.6
78,311900,0.452628,0.432354,-6.325360,5.8486,5.8482,1.4934,1.4188,0.4624,0.0368,59.07,61.1,74,34,312000,43.3
79,315900,0.497313,0.474383,-6.422169,5.9472,5.9461,1.7082,1.7716,0.3817,0.0325,61.76,63.8,62,32,316000,43.9
80,319900,,,,,,,,,,60.55,62.5,60,26,320000,44.1
81,323900,0.488800,0.465021,-6.511167,6.0584,6.0593,1.5070,1.7768,0.7928,0.0158,62.83,64.8,64,31,324000,44.7
82,327900,0.496646,0.473848,-6.634581,6.1583,6.1576,1.3653,1.4619,0.7784,0.0366,64.36,66.4,58,22,328000,45.4
83,331900,0.521628,0.499530,-6.712773,6.2467,6.2457,1.5343,1.8723,1.1345,0.0232,58.64,60.6,69,37,332000,46.0
84,335900,0.504421,0.481866,-6.806080,6.3566,6.3562,1.4299,1.6811,0.9060,0.0387,59.18,61.2,66,37,336000,46.7
85,339900,,,,,,,,,,61.65,63.6,60,28,340000,46.9
86,343900,0.517157,0.494030,-6.895612,6.4552,6.4551,1.3553,1.6073,0.7430,0.0345,56.88,58.9,68,29,344000,47.6
87,347900,0.500467,0.474365,-7.025201,6.5621,6.5619,1.4485,1.6110,0.6101,0.0478,60.74,62.7,70,42,348000,48.2
88,351900,0.540930,0.515146,-7.121595,6.6434,6.6448,1.9158,2.1749,0.6274,0.0509,62.27,64.3,55,20,352000,48.8
89,355900,0.547990,0.522488,-7.203628,6.7483,6.7459,2.0720,2.2525,0.7681,0.0291,60.65,62.6,60,31,356000,49.5
90,359900,,,,,,,,,,61.85,63.8,71,40,360000,49.7
91,363900,0.582306,0.558179,-7.300275,6.8499,6.8503,1.6120,1.8432,0.5834,0.0205,61.80,63.8,54,30,364000,50.3
92,367900,0.538796,0.513195,-7.404171,6.9651,6.9646,1.6424,1.8170,0.7633,0.0191,61.95,63.9,74,44,368000,51.0
93,371900,0.557168,0.531218,-7.512426,7.0543,7.0538,1.6227,1.9500,0.9283,0.0392,58.67,60.7,69,36,372000,51.7
94,375900,0.574527,0.546135,-7.601177,7.1495,7.1486,2.3294,2.4938,0.9909,0.0809,51.83,53.8,75,38,376000,52.3
95,379900,,,,,,,,,,49.28,51.3,64,34,380000,52.5
96,383900,0.586932,0.557274,-7.676750,7.2235,7.2231,1.6977,2.1001,0.9403,0.0700,56.12,58.1,90,54,384000,53.2
97,387900,0.591798,0.563823,-7.773095,7.3361,7.3359,1.7726,2.2484,0.8954,0.0381,48.23,50.2,65,36,388000,53.8
98,391900,0.603136,0.572507,-7.858065,7.4279,7.4286,1.9300,2.2069,1.1245,0.0383,54.45,56.5,62,29,392000,54.5
99,395900,0.579347,0.550675,-7.967893,7.5347,7.5345,1.9713,2.4607,0.9233,0.0669,59.32,61.3,77,29,396000,55.2
100,399900,,,,,,,,,,55.26,57.3,68,43,400000,55.4
101,403900,0.633659,0.604644,-8.081242,7.6427,7.6428,2.1353,2.5217,0.8254,0.0626,55.15,57.2,66,30,404000,56.0
102,407900,0.628655,0.595745,-8.159660,7.7094,7.7084,2.2037,2.6921,0.8538,0.0600,53.80,55.8,80,38,408000,56.7
103,411900,0.642317,0.610279,-8.278778,7.8117,7.8100,2.2887,2.6683,0.8630,0.1090,50.92,52.9,74,46,412000,57.3
104,415900,0.670751,0.633074,-8.351014,7.8979,7.8978,2.0920,2.4554,0.9915,0.0668,47.54,49.5,83,46,416000,58.0
105,419900,,,,,,,,,,48.92,50.9,64,34,420000,58.2
106,423900,0.661593,0.625816,-8.423590,7.9914,7.9918,2.0634,2.5330,1.1817,0.0727,56.40,58.4,83,35,424000,58.8
107,427900,0.670245,0.630905,-8.523085,8.0766,8.0760,2.2627,2.6399,1.6991,0.0629,45.55,47.5,77,41,428000,59.5
108,431900,0.690826,0.652878,-8.645863,8.1779,8.1774,2.2771,2.6385,1.7015,0.0772,53.09,55.1,64,42,432000,60.1
109,435900,0.672138,0.634286,-8.734642,8.2866,8.2849,2.5395,3.0243,1.3660,0.0766,53.05,55.0,82,41,436000,60.7
110,439900,,,,,,,,,,48.57,50.6,89,44,440000,60.9
111,443900,0.668210,0.633047,-8.828974,8.3794,8.3797,2.2552,2.8517,1.1038,0.0246,48.38,50.4,68,38,444000,61.6
