epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
72,287900,842.799980,-240.174163,237.5021,6929.5109,4.4512,387.88,86.9,66,288000,122.6
73,291900,857.921765,-241.999422,239.3893,6850.9163,4.4566,312.85,73.8,43,292000,125.9
74,295900,868.388541,-244.098797,241.4545,7091.3674,4.4209,315.73,74.6,57,296000,129.3
75,299900,,,,,,332.84,77.9,47,300000,129.9
76,303900,870.744837,-246.241948,243.6157,6979.2737,4.4608,349.96,80.5,47,304000,133.1
77,307900,874.399275,-248.200454,245.5979,7029.4331,4.5243,359.12,80.3,54,308000,136.3
78,311900,904.140736,-249.603370,247.0538,6784.5205,4.6455,356.95,80.3,47,312000,139.5
79,315900,923.641679,-251.260504,248.7179,7027.5641,4.6430,332.82,76.8,51,316000,142.6
80,319900,,,,,,390.74,87.4,43,320000,143.2
81,323900,902.748781,-252.946078,250.4056,6769.9852,4.4881,367.25,83.1,52,324000,146.5
82,327900,933.885772,-254.207977,251.6778,7026.2583,4.5536,370.63,83.8,46,328000,149.6
83,331900,943.838362,-255.580707,253.0364,7070.0809,4.5520,362.19,81.7,52,332000,152.8
84,335900,950.204969,-257.103675,254.5567,7142.8633,4.5479,360.48,81.9,43,336000,155.9
85,339900,,,,,,340.34,78.4,66,340000,156.4
86,343900,955.851071,-258.384717,255.7859,6984.9612,4.9770,327.44,76.1,41,344000,159.7
87,347900,962.625188,-259.561963,257.0030,7025.2186,4.9178,337.48,78.2,49,348000,162.9
88,351900,957.883406,-261.175596,258.5912,6826.9186,4.8058,387.33,87.0,45,352000,166.2
89,355900,975.205064,-262.428780,259.9326,7162.8910,4.8437,393.37,87.4,44,356000,169.6
90,359900,,,,,,432.72,94.7,40,360000,170.1
91,363900,966.670102,-264.009105,261.5587,7011.9689,4.9814,426.96,93.0,49,364000,173.2
92,367900,982.355607,-265.280306,262.7332,6932.2354,4.7640,407.84,90.5,40,368000,175.0
93,371900,975.017197,-266.566131,264.0087,7039.0780,4.8848,417.44,92.5,46,372000,177.0
94,375900,988.790543,-268.161197,265.6781,7003.0255,4.8147,446.96,95.7,38,376000,179.0
95,379900,,,,,,459.57,94.7,39,380000,179.7
96,383900,998.486749,-269.863811,267.3449,7204.3144,4.8146,463.33,96.6,45,384000,182.7
97,387900,999.595193,-271.269951,268.7984,7230.6708,4.5715,458.34,95.6,46,388000,185.9
98,391900,1002.051789,-272.563554,270.0990,6958.3875,4.6399,423.98,92.7,35,392000,189.0
99,395900,1007.667286,-273.512908,271.0856,6966.1520,4.6352,458.06,95.3,41,396000,192.1
100,399900,,,,,,480.45,100.4,43,400000,192.7
101,403900,1004.845332,-275.029552,272.5320,7327.7270,4.8654,453.13,94.4,49,404000,195.8
102,407900,1006.870957,-276.206125,273.7699,7177.1475,4.6917,443.51,92.9,45,408000,198.9
103,411900,1005.477638,-277.293194,274.8834,7028.9157,4.6969,376.16,82.4,46,412000,202.0
104,415900,1016.442646,-278.134033,275.7155,7061.2175,4.7194,380.60,84.2,47,416000,205.5
105,419900,,,,,,399.30,87.5,48,420000,206.0
106,423900,1022.511733,-279.311709,276.8951,7065.9117,4.8658,393.65,86.1,42,424000,209.2
107,427900,1031.391359,-280.331643,277.9272,7244.4427,4.7659,384.50,84.7,57,428000,212.3
108,431900,1053.107797,-281.005253,278.6283,7052.3194,4.9240,397.48,88.4,37,432000,215.4
109,435900,1036.614041,-282.224094,279.8970,7113.8624,4.7673,401.79,85.7,51,436000,218.5
110,439900,,,,,,402.58,85.2,46,440000,219.3
111,443900,1060.259006,-282.973432,280.6336,7102.3716,4.9946,385.62,82.2,45,444000,221.4
112,447900,1051.748258,-284.044289,281.7218,6986.4192,5.0667,413.25,86.7,52,448000,224.1
113,451900,1059.360178,-284.967711,282.6208,7080.0711,5.2886,390.30,83.3,41,452000,227.3
114,455900,1059.437512,-285.905957,283.5269,6995.1746,5.1687,414.79,87.4,43,456000,230.5
115,459900,,,,,,426.07,89.2,49,460000,231.2
116,463900,1069.221855,-287.060274,284.7192,7065.7257,4.8596,456.24,92.7,36,464000,234.4
117,467900,1078.327353,-287.961754,285.5591,7019.1428,5.0092,459.50,95.7,43,468000,237.6
118,471900,1080.080026,-288.936086,286.5974,7010.6755,5.3215,473.55,97.7,35,472000,240.8
119,475900,1066.110122,-289.820744,287.4464,7032.6167,5.4800,493.38,102.6,38,476000,244.0
120,479900,,,,,,496.62,104.0,45,480000,244.6
121,483900,1078.763297,-291.019914,288.6572,7259.6397,5.4849,472.14,100.0,40,484000,247.8
122,487900,1080.295625,-291.748927,289.4110,7105.2075,5.6661,426.91,92.0,39,488000,251.0
123,491900,1069.833653,-293.009355,290.6821,7295.2750,5.8607,451.13,97.8,47,492000,254.1
124,495900,1087.930805,-293.697241,291.3830,7226.5533,6.0777,420.63,92.8,43,496000,257.2
125,499900,,,,,,426.06,95.1,40,500000,257.7
126,503900,1098.339817,-294.502809,292.2083,7330.6689,6.1938,406.55,90.1,42,504000,260.8
127,507900,1106.433907,-295.270013,292.9778,7093.4413,5.9501,435.49,94.2,51,508000,263.2
128,511900,1113.163871,-295.898077,293.5887,7152.4730,6.0135,435.35,91.2,39,512000,265.6
129,515900,1115.088050,-296.839991,294.4766,7071.2413,6.0626,405.11,86.2,42,516000,268.7
130,519900,,,,,,449.48,95.2,45,520000,269.3
131,523900,1100.857900,-297.956218,295.6291,6899.1918,5.7710,450.08,94.0,47,524000,272.4
132,527900,1119.155675,-298.679424,296.3870,7213.6579,5.8596,435.67,91.0,39,528000,275.5
133,531900,1109.449045,-299.577056,297.2979,7183.0368,6.3071,425.46,90.8,49,532000,278.7
134,535900,1109.393604,-300.379519,298.1087,7205.8744,5.9523,475.45,99.1,32,536000,281.8
135,539900,,,,,,458.47,98.7,41,540000,282.4
136,543900,1103.597842,-301.032736,298.8155,6953.9412,6.0786,485.12,104.7,38,544000,285.5
137,547900,1116.495193,-301.726300,299.5240,7019.0609,6.3769,473.52,100.8,36,548000,288.7
138,551900,1121.507696,-302.356388,300.1413,7236.6913,6.1635,474.86,99.6,54,552000,292.0
139,555900,1112.890635,-302.933096,300.7713,7174.3433,6.0380,418.65,89.8,31,556000,295.1
140,559900,,,,,,440.31,93.2,49,560000,295.7
141,563900,1117.669655,-303.613929,301.4986,6962.5064,5.9797,472.44,98.0,48,564000,298.7
142,567900,1128.000744,-303.722888,301.5764,6964.9130,6.0525,385.95,82.4,43,568000,301.8
143,571900,1107.233510,-304.110298,302.0306,7123.5398,6.3333,432.03,89.3,55,572000,304.0
144,575900,1125.668736,-304.662704,302.5548,7032.6620,6.3604,395.76,81.8,45,576000,306.2
145,579900,,,,,,370.12,77.8,58,580000,306.7
146,583900,1135.309663,-304.905023,302.7959,6923.0610,5.9214,390.15,82.0,37,584000,309.9
147,587900,1123.728168,-305.130596,303.0332,6905.1378,6.2176,390.71,83.2,57,588000,313.1
148,591900,1125.545224,-305.612376,303.5709,6986.9723,5.8323,395.47,83.3,45,592000,316.4
149,595900,1124.714436,-305.471141,303.5070,6827.8081,5.8409,375.29,79.4,56,596000,319.6
150,599900,,,,,,371.81,79.1,43,600000,320.1
151,603900,1134.448193,-305.426631,303.3982,6922.0559,6.3556,352.92,75.5,67,604000,323.4
152,607900,1129.558558,-305.738341,303.7355,6755.0228,6.3158,331.79,71.9,40,608000,326.7
153,611900,1143.198112,-305.548497,303.5661,6761.6544,5.9346,359.13,77.5,62,612000,330.2
154,615900,1132.527363,-305.760537,303.7484,6507.9647,5.8437,369.42,79.0,44,616000,333.7
155,619900,,,,,,381.28,80.7,52,620000,334.3
156,623900,1131.874416,-305.689856,303.7293,6696.7176,5.7718,365.42,78.7,50,624000,337.6
1,3900,,,,,,109.05,23.4,115,4000,1.0
2,7900,,,,,,118.00,26.1,139,8000,3.2
3,11900,1.407652,-10.848915,10.4846,13.6487,0.0086,120.60,27.2,178,12000,16.6
