epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
51,203900,46.164851,47.530762,-30.730951,26.4373,26.4444,69.8281,66.9554,0.1182,0.0270,126.68,15.8,240,121,204000,31.1
52,207900,48.201362,49.716043,-31.602966,27.2377,27.2394,72.9921,70.3888,0.1422,0.0204,135.42,16.7,241,125,208000,31.8
53,211900,49.830239,51.428651,-32.505181,28.1145,28.1214,79.1728,79.7747,0.3117,0.0435,144.26,17.7,240,110,212000,32.5
54,215900,53.146454,54.778161,-33.150299,28.7846,28.7807,87.2024,79.6098,0.1887,0.0324,134.99,16.7,236,118,216000,33.2
55,219900,,,,,,,,,,133.90,16.6,240,111,220000,33.4
56,223900,54.813261,56.560824,-34.304618,29.8037,29.8152,79.1939,76.9379,0.1331,0.0178,131.07,16.3,241,122,224000,34.1
57,227900,57.429718,59.248745,-35.154807,30.4807,30.4815,80.0119,73.9823,0.1456,0.0243,136.29,16.8,239,124,228000,34.8
58,231900,59.715319,61.706106,-36.212370,31.3880,31.3882,78.0465,74.7334,0.3442,0.0412,134.69,16.7,243,131,232000,35.4
59,235900,60.732460,62.730365,-36.715120,32.0419,32.0508,103.7314,102.0481,0.3814,0.0586,129.89,16.1,241,123,236000,36.2
60,239900,,,,,,,,,,138.22,17.0,237,111,240000,36.4
61,243900,64.048917,66.392745,-37.683840,32.9529,32.9553,93.1300,89.5046,0.3221,0.0672,143.36,17.6,228,121,244000,37.2
62,247900,65.471975,67.759633,-38.574856,33.8220,33.8286,101.0919,94.5613,0.1741,0.0414,137.84,17.0,223,106,248000,37.9
63,251900,68.697879,71.110406,-39.292847,34.5587,34.5577,120.4594,114.8215,0.2257,0.0432,141.23,17.4,241,109,252000,38.6
64,255900,71.913759,74.493433,-39.822473,35.1463,35.1454,125.9998,122.3308,0.1847,0.0433,141.67,17.4,222,112,256000,39.4
65,259900,,,,,,,,,,143.44,17.6,224,111,260000,39.6
66,263900,73.526821,76.197900,-40.808029,36.1088,36.1143,106.7574,96.9674,0.2576,0.0297,141.48,17.4,237,117,264000,40.4
67,267900,75.975949,78.940963,-41.760677,36.9272,36.9354,127.5840,117.8540,0.2061,0.0279,140.23,17.3,234,100,268000,41.0
68,271900,77.702940,80.480026,-42.713680,37.7215,37.7240,147.3806,136.4760,0.3379,0.0328,142.17,17.5,233,114,272000,41.7
69,275900,81.172050,84.216133,-43.476161,38.4701,38.4565,129.2691,115.5675,0.3804,0.0709,142.83,17.5,225,110,276000,42.4
70,279900,,,,,,,,,,138.56,17.1,236,123,280000,42.6
71,283900,82.474897,85.604762,-44.386134,39.2901,39.3030,121.6415,113.0594,0.3595,0.0475,137.42,16.9,235,125,284000,43.3
