epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3999,,,,,,,,,,-62.66,168.1,19,3,4000,1.1,,,
2,7999,0.273828,0.284038,-0.791955,1.1205,1.1213,2.4256,2.6633,0.4210,0.0192,16.98,585.0,7,1,8000,14.0,,,
3,11999,0.579782,0.590637,-5.286871,4.7414,4.7412,4.1062,4.5711,1.0148,0.1578,14.57,347.9,12,2,12000,31.0,,,
4,15999,0.721781,0.733343,-4.479802,3.9493,3.9487,4.1766,4.5379,1.3594,0.3119,7.03,319.4,13,4,16000,48.0,,,
5,19999,0.552839,0.565539,-4.165662,3.2770,3.2768,3.0197,3.3811,1.3083,0.3637,136.84,687.2,5,2,20000,65.2,,,
6,23999,0.565029,0.585021,-5.371293,4.3821,4.3822,3.1207,3.6087,1.4460,0.5006,60.44,303.6,16,8,24000,82.5,,,
7,27999,0.669539,0.687402,-6.488306,5.5600,5.5604,3.7983,4.3171,1.6771,0.7221,58.36,240.5,17,3,28000,99.6,,,
8,31999,0.767912,0.787854,-7.090540,6.1715,6.1711,4.4035,4.9123,1.9108,0.8992,68.98,302.2,10,2,32000,116.4,,,
9,35999,0.957813,0.983203,-6.697371,5.7761,5.7750,5.1152,5.7027,2.2241,1.0646,16.11,291.8,17,5,36000,133.3,,,
10,39999,1.044844,1.083885,-6.240632,5.2285,5.2278,5.7032,6.4404,2.4711,1.1846,86.95,285.9,14,5,40000,150.3,,,
11,43999,1.159646,1.198107,-6.283493,5.1961,5.1952,6.4786,7.1079,2.6993,1.3183,76.16,311.5,12,5,44000,167.3,,,
12,47999,1.258766,1.290144,-6.764841,5.5764,5.5759,7.2716,8.0321,2.8944,1.4577,56.10,190.0,22,6,48000,208.1,0.732261,0.580101,0.128510
13,51999,1.303485,1.332359,-7.433239,6.2241,6.2237,7.6198,8.3561,3.0091,1.5222,67.02,225.9,18,6,52000,344.6,0.752825,0.598819,0.130705
14,55999,1.354155,1.386936,-7.761545,6.6421,6.6417,8.1997,8.9591,3.0129,1.5397,41.19,133.7,28,9,56000,481.1,0.749114,0.595672,0.129848
15,59999,1.375217,1.422008,-8.148643,7.0397,7.0387,8.2464,8.9533,3.0648,1.5546,73.55,243.9,17,8,60000,617.3,0.753423,0.598596,0.130729
16,63999,1.433506,1.471634,-8.363114,7.2439,7.2433,8.6006,9.2924,3.1571,1.6003,69.32,288.8,11,3,64000,753.6,0.765552,0.607357,0.133356
17,67999,1.485671,1.532791,-8.844793,7.6907,7.6902,9.2298,10.0157,3.2840,1.6376,100.00,250.5,17,4,68000,889.9,0.753830,0.598684,0.130749
18,71999,1.498766,1.544977,-9.362917,8.1753,8.1749,9.8580,10.7412,3.3770,1.6496,259.49,613.0,7,4,72000,1026.1,0.760831,0.603705,0.132256
19,75999,1.593262,1.632227,-9.888790,8.6803,8.6793,10.4873,11.1999,3.4846,1.6765,134.60,435.3,10,1,76000,1162.5,0.757669,0.601338,0.131544
20,79999,1.737653,1.775180,-10.267373,9.0543,9.0532,11.5884,12.6020,3.6277,1.7383,93.50,255.1,15,4,80000,1299.1,0.757224,0.600949,0.131426
21,83999,1.844312,1.886116,-10.316152,9.1188,9.1174,12.2758,13.2921,3.7124,1.7496,72.59,209.8,20,4,84000,1435.7,0.752997,0.597770,0.130472
22,87999,1.831674,1.904356,-10.557166,9.3775,9.3771,12.5543,14.1253,3.7467,1.7590,219.47,498.3,7,2,88000,1572.0,0.748950,0.594746,0.129569
23,91999,1.808287,1.881478,-11.069278,9.9120,9.9112,13.3728,14.9139,3.7290,1.7425,147.81,362.1,10,1,92000,1708.4,0.745929,0.592499,0.128899
24,95999,1.872874,1.951080,-11.415945,10.2652,10.2648,13.8219,15.6837,3.7850,1.7646,170.66,396.1,11,2,96000,1844.8,0.741214,0.588984,0.127853
25,99999,1.971826,2.045950,-11.755579,10.6050,10.6050,15.2198,16.5367,3.8108,1.7698,112.23,376.5,10,3,100000,1981.2,0.743828,0.590871,0.128414
26,103999,2.288151,2.340062,-11.541015,10.4026,10.4019,16.7341,18.3633,4.0042,1.8390,63.15,211.4,22,8,104000,2117.8,0.749126,0.594707,0.129558
27,107999,2.429748,2.495932,-11.166518,9.9967,9.9961,17.8131,19.4289,4.1451,1.9238,115.24,313.2,11,1,108000,2254.3,0.748639,0.594291,0.129434
28,111999,2.479071,2.542795,-10.781867,9.6158,9.6157,18.5772,20.5794,4.2120,1.9587,103.84,274.1,17,2,112000,2390.7,0.741229,0.588815,0.127802
29,115999,2.435121,2.501249,-10.699555,9.5563,9.5558,19.2734,20.7101,4.2033,1.9599,146.33,416.2,8,0,116000,2527.4,0.732999,0.582730,0.125998
30,119999,2.546641,2.630011,-10.652419,9.5061,9.5061,19.9453,21.7280,4.2859,1.9835,158.78,412.9,11,4,120000,2664.0,0.732789,0.582542,0.125943
