epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
1,3999,,,,,,47.33,7.3,548,4000,0.9
49,195900,45.894268,44.965923,-30.365779,25.5112,25.5164,81.5691,80.5608,0.2491,137.40,17.0,242,196000,26.5
50,199900,,,,,,,,,136.02,16.8,227,200000,26.7
51,203900,48.072996,47.021645,-31.221640,26.3807,26.3776,73.9000,77.5678,0.3531,136.82,16.9,228,204000,27.4
52,207900,50.199474,49.242604,-31.917582,27.2571,27.2544,83.4167,86.1035,0.2752,138.92,17.1,246,208000,28.0
53,211900,52.554671,51.689915,-32.718231,27.9834,27.9834,85.4451,89.2937,0.1727,141.95,17.5,221,212000,28.6
54,215900,54.233332,53.245024,-33.499816,28.7904,28.7870,84.8436,90.4956,0.3561,137.37,17.0,245,216000,29.2
55,219900,,,,,,,,,126.89,15.8,253,220000,29.4
56,223900,56.711699,55.876235,-34.282901,29.5621,29.5524,98.3610,105.9234,0.4165,133.51,16.5,239,224000,30.0
57,227900,58.848398,57.745410,-35.299274,30.3962,30.3990,110.7641,106.9768,0.3275,127.48,15.9,250,228000,30.6
58,231900,59.945196,59.136307,-36.160854,31.2484,31.2472,106.1647,111.8468,0.2175,133.03,16.5,247,232000,31.2
59,235900,62.748752,62.032694,-36.943329,32.0967,32.0866,124.4585,130.0059,0.5212,125.18,15.6,258,236000,31.8
60,239900,,,,,,,,,125.11,15.6,255,240000,32.0
61,243900,64.024698,63.453409,-37.868092,32.9385,32.9415,98.9381,113.9501,0.2800,117.01,14.8,271,244000,32.6
62,247900,66.239191,65.766797,-38.714047,33.6575,33.6571,119.1766,116.6576,0.3333,117.42,14.8,269,248000,33.2
63,251900,68.409373,68.038009,-39.263803,34.4587,34.4442,118.6383,125.0227,0.2864,119.75,15.1,269,252000,33.9
64,255900,72.834948,72.173076,-40.305059,35.3424,35.3304,151.0387,154.8898,0.6759,122.91,15.4,258,256000,34.5
65,259900,,,,,,,,,115.72,14.6,275,260000,34.7
66,263900,72.990018,72.520407,-41.332396,35.9717,35.9814,113.8175,117.9841,0.5628,118.72,14.9,265,264000,35.3
67,267900,76.234077,75.884141,-42.148564,36.7735,36.7667,136.1859,144.2320,0.3307,115.02,14.5,278,268000,35.9
68,271900,79.629673,79.304903,-42.991894,37.7885,37.7893,148.1593,155.3173,0.3391,114.31,14.5,277,272000,36.5
69,275900,84.375338,83.683772,-43.877123,38.5312,38.5281,149.7231,154.4859,0.5934,114.90,14.5,284,276000,37.1
70,279900,,,,,,,,,104.46,13.4,304,280000,37.3
71,283900,87.021532,86.607006,-44.553834,39.1123,39.1048,179.0439,183.6020,0.5234,112.21,14.2,270,284000,37.9
72,287900,88.508877,88.423690,-45.573255,39.9796,39.9863,193.2106,210.4740,0.3452,113.66,14.4,278,288000,38.6
73,291900,90.040780,89.541652,-46.528600,40.8153,40.8112,159.8470,173.6692,0.4371,109.44,13.9,284,292000,39.3
74,295900,94.637851,94.267495,-47.216139,41.5396,41.5419,194.8015,201.0007,0.6773,117.56,14.8,277,296000,40.0
75,299900,,,,,,,,,110.45,14.0,284,300000,40.3
76,303900,98.274798,97.656445,-48.002497,42.2772,42.2716,204.2702,209.6358,0.3397,116.43,14.7,266,304000,41.0
77,307900,100.821741,100.391693,-48.840320,43.0958,43.0947,199.3913,210.3080,0.3312,117.39,14.8,267,308000,41.8
78,311900,103.590987,103.325941,-49.561702,43.8058,43.8143,183.9810,196.8452,0.3805,114.51,14.5,284,312000,42.4
79,315900,105.948423,105.458383,-50.307794,44.5880,44.5722,207.9590,215.4883,0.3879,112.88,14.3,279,316000,43.0
80,319900,,,,,,,,,105.40,13.5,298,320000,43.2
81,323900,111.718731,111.387870,-50.936486,45.0338,45.0386,224.2407,231.4505,0.4960,109.30,13.9,283,324000,43.9
82,327900,113.387865,112.712175,-51.795850,45.7416,45.7354,220.7800,228.6668,0.5944,114.41,14.5,277,328000,44.5
83,331900,118.519373,117.413468,-52.274063,46.3552,46.3571,216.5533,227.0273,0.3044,109.22,13.9,295,332000,45.1
