epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,108.90,23.4,112,58,4000,0.5
2,7900,,,,,,,,,,118.26,26.1,147,80,8000,1.3
3,11900,1.125033,1.134437,-7.826938,7.3758,7.3742,7.7574,7.3675,0.0059,0.0025,113.35,25.2,187,95,12000,7.6
4,15900,1.730918,1.708741,-12.687615,12.3657,12.3680,29.4086,27.3834,0.0200,0.0006,60.79,15.4,256,120,16000,13.8
5,19900,,,,,,,,,,145.31,34.4,62,35,20000,14.6
6,23900,3.501378,3.494186,-17.600967,17.2938,17.2944,56.0123,58.8478,0.0204,0.0042,137.04,32.1,177,87,24000,20.8
7,27900,7.372119,7.388250,-22.037963,21.7700,21.7694,86.4634,92.6456,0.0324,0.0067,97.85,22.3,189,95,28000,27.0
8,31900,10.911279,10.881340,-26.523904,26.1988,26.1983,119.1989,118.9849,0.0457,0.0101,95.68,21.9,190,99,32000,33.3
9,35900,16.660286,16.937332,-30.470175,30.1036,30.0997,202.0285,166.3095,0.0505,0.0133,81.53,19.4,198,99,36000,40.0
10,39900,,,,,,,,,,78.02,18.8,210,102,40000,40.8
11,43900,22.012181,22.423794,-34.202091,33.8033,33.8015,348.4176,238.8804,0.0596,0.0133,70.98,17.8,218,97,44000,47.1
12,47900,29.310815,29.828348,-37.094191,36.7081,36.7022,423.7534,264.0818,0.0607,0.0183,69.74,17.5,237,110,48000,53.4
13,51900,33.286382,35.184581,-39.410397,39.0119,39.0034,663.7581,402.3753,0.0863,0.0198,68.56,17.4,237,110,52000,59.7
14,55900,36.735143,37.142647,-41.800772,41.3800,41.3816,1128.3379,647.0651,0.1509,0.0201,67.96,17.4,214,113,56000,66.6
15,59900,,,,,,,,,,67.16,17.6,232,117,60000,67.3
16,63900,43.685329,42.891070,-43.718891,43.2787,43.2733,1106.5107,902.4120,0.2005,0.0343,89.72,22.5,160,73,64000,73.6
17,67900,51.298977,48.612387,-45.424161,44.9934,44.9990,1306.7111,1025.0301,0.2624,0.0493,102.91,25.1,176,74,68000,79.9
18,71900,63.702670,62.194932,-47.668580,46.8413,46.8324,1557.7371,1183.5908,0.4010,0.0609,82.71,20.7,182,88,72000,85.9
19,75900,79.323368,78.685556,-49.636708,48.7445,48.7384,1776.7864,1480.1180,0.4959,0.0709,84.82,21.3,176,91,76000,92.0
20,79900,,,,,,,,,,162.22,39.8,24,11,80000,92.6
21,83900,82.080538,81.442745,-51.300680,50.2656,50.2592,1837.4630,1589.4684,0.7198,0.0861,289.87,62.3,96,42,84000,98.8
22,87900,88.822216,89.637567,-53.437618,52.2020,52.1894,1943.6863,1661.5503,1.2517,0.1049,207.23,43.8,110,51,88000,105.2
23,91900,96.569130,95.981073,-55.016797,53.7814,53.7829,2502.5921,1733.5308,1.5290,0.1547,159.74,35.0,105,47,92000,111.6
24,95900,97.740547,98.292193,-56.643077,55.3180,55.3131,2433.1728,1918.3680,1.9534,0.1663,149.65,33.6,125,55,96000,117.8
25,99900,,,,,,,,,,125.02,29.0,160,77,100000,118.4
26,103900,104.574476,106.528723,-58.084645,56.6777,56.6699,2454.6490,1934.9375,1.6302,0.1099,120.45,28.3,126,58,104000,125.8
27,107900,103.203973,105.113295,-59.345997,57.8268,57.8264,2455.8259,1918.1055,1.6019,0.1601,125.38,29.3,131,63,108000,133.5
28,111900,106.572020,107.986615,-60.694379,59.1474,59.1407,2745.0325,1929.1409,1.8001,0.1754,145.92,33.5,113,58,112000,140.8
29,115900,109.562963,111.638096,-61.970735,60.3829,60.3786,2822.8071,2059.0094,1.9248,0.2239,152.53,35.3,118,52,116000,147.3
30,119900,,,,,,,,,,189.50,43.7,56,26,120000,148.1
31,123900,110.907261,114.342735,-63.344123,61.7393,61.7370,3019.7257,2134.7194,1.8502,0.1851,270.36,59.7,71,37,124000,154.3
32,127900,113.102138,115.501885,-64.609569,62.9672,62.9634,2614.2233,2237.0966,1.8826,0.1727,287.95,63.1,58,31,128000,160.4
33,131900,114.884802,115.662732,-66.137618,64.4174,64.4126,2959.7348,2162.7646,2.1088,0.1957,305.69,66.4,58,38,132000,166.6
34,135900,117.482626,120.426932,-67.718771,65.8225,65.8103,2988.6467,2302.4472,2.3276,0.1982,300.43,67.7,59,30,136000,173.1
35,139900,,,,,,,,,,299.30,68.4,59,26,140000,173.9
36,143900,125.107146,127.223039,-69.102608,67.1955,67.1964,2921.9037,2518.6853,2.3931,0.1917,290.35,66.4,60,26,144000,180.3
37,147900,127.634264,130.164787,-70.528745,68.6484,68.6327,3368.2683,2512.5250,2.3929,0.1615,304.58,69.7,48,21,148000,186.8
38,151900,130.246726,131.537177,-72.100600,70.1399,70.1387,3289.0711,2458.6294,2.4817,0.1783,322.72,72.9,52,31,152000,193.6
39,155900,128.894514,130.444640,-73.371428,71.4467,71.4448,2911.1497,2731.2090,2.5262,0.1808,336.00,76.6,59,30,156000,201.0
40,159900,,,,,,,,,,313.29,72.3,54,29,160000,201.8
41,163900,129.150457,131.831067,-74.670120,72.7805,72.7749,3137.3682,2269.5898,2.7176,0.1936,296.43,68.2,59,29,164000,208.2
42,167900,132.657493,134.034264,-75.981783,74.0531,74.0506,3134.2529,2655.4443,2.7038,0.1877,313.16,71.2,58,30,168000,214.6
43,171900,135.210031,136.530009,-77.195548,75.2654,75.2623,3164.1059,2466.8974,2.8770,0.1602,294.67,67.5,69,33,172000,221.2
44,175900,137.049274,138.599142,-78.568794,76.6008,76.5972,3317.9145,2475.1659,3.1200,0.1733,283.53,65.0,59,32,176000,227.9
45,179900,,,,,,,,,,264.32,59.5,76,39,180000,228.6
46,183900,141.088034,143.201262,-79.634628,77.7480,77.7393,3390.6522,2677.8084,3.0638,0.1975,243.75,55.0,72,39,184000,235.3
47,187900,144.728311,145.726764,-80.642228,78.8002,78.8065,3253.5029,2521.2960,3.1601,0.1917,245.02,54.6,78,39,188000,241.8
48,191900,147.187684,148.807254,-81.872353,79.9725,79.9789,3511.1816,2649.5579,3.1539,0.1951,220.72,50.1,77,34,192000,248.3
49,195900,148.945635,150.789344,-82.923543,80.9989,80.9951,3474.7895,2715.7090,3.2415,0.1883,215.99,48.0,81,44,196000,255.5
50,199900,,,,,,,,,,237.14,51.7,81,36,200000,256.3
51,203900,151.759369,152.762156,-83.921320,82.0764,82.0697,3404.6605,2519.5512,3.6201,0.1834,243.26,53.8,69,39,204000,262.9
52,207900,156.073560,157.113198,-84.964635,83.0393,83.0433,3433.2018,2483.0369,3.8405,0.1918,273.45,58.8,57,28,208000,269.4
53,211900,158.710154,162.765934,-86.015520,84.0711,84.0709,3665.1242,2610.2440,3.5141,0.2010,293.19,64.3,66,35,212000,276.6
54,215900,159.541145,161.185929,-86.934713,85.0115,85.0143,3370.8501,2753.0910,3.4232,0.2151,269.44,60.7,72,27,216000,284.0
55,219900,,,,,,,,,,273.34,61.2,62,26,220000,284.8
56,223900,164.572574,167.011940,-87.842873,85.9462,85.9380,3076.7408,2416.6057,3.2564,0.2259,287.31,63.0,52,31,224000,292.1
57,227900,171.006478,172.605246,-88.835143,86.9086,86.9105,3893.4648,2795.1313,3.4711,0.2224,314.14,68.4,62,28,228000,299.8
58,231900,172.807461,173.608807,-89.672495,87.8590,87.8571,4047.8064,2963.2792,3.8024,0.2233,327.92,69.7,58,23,232000,307.1
59,235900,169.838793,175.137655,-90.667532,88.7136,88.7113,4067.0894,2843.2461,3.5586,0.2355,337.74,72.1,46,17,236000,313.8
60,239900,,,,,,,,,,309.00,66.3,81,37,240000,314.4
61,243900,173.313864,177.495544,-91.163006,89.3217,89.3248,3045.4716,2524.5485,3.7792,0.2222,277.70,60.1,63,31,244000,321.3
62,247900,175.361269,177.141046,-91.817961,89.9857,89.9870,3311.3475,2800.7078,3.9630,0.2298,294.22,64.3,53,27,248000,327.8
63,251900,176.056193,177.581001,-92.811223,90.9216,90.9304,3671.5642,2603.4994,3.8803,0.2526,312.24,67.9,59,25,252000,334.3
64,255900,175.663149,179.626871,-93.515103,91.5799,91.5765,3357.7952,2812.9189,4.1674,0.2489,330.58,71.6,53,28,256000,341.0
65,259900,,,,,,,,,,328.85,71.5,60,31,260000,341.6
66,263900,178.762331,179.866230,-94.203051,92.3114,92.3112,3380.3943,2659.5718,3.8719,0.2181,313.82,69.2,57,26,264000,348.2
67,267900,183.215703,182.747957,-94.724824,92.9508,92.9532,3482.5637,2745.5322,4.1185,0.2240,348.21,75.3,49,26,268000,354.6
68,271900,183.801934,184.348244,-95.415754,93.5983,93.5994,3263.9692,2501.1688,3.9787,0.2366,345.41,73.5,63,26,272000,360.9
69,275900,182.721537,183.715056,-95.974147,94.2215,94.2199,3280.0931,2619.0430,3.6962,0.2305,301.45,68.6,49,24,276000,367.3
70,279900,,,,,,,,,,305.78,69.6,67,33,280000,368.0
71,283900,182.810390,187.943724,-96.533969,94.7550,94.7608,3014.0654,3160.3507,3.7436,0.2485,273.57,62.5,66,38,284000,374.6
