step,episode_return
4900,-47.92179388760526
4900,-38.25298077701675
4900,-40.88945900063323
4900,-42.13845586112592
4900,-41.23900044452569
4900,-39.313779874289615
4900,-49.91040091149981
4900,-45.36127792672938
4900,-34.52219904956255
4900,-42.175757046110874
4900,-39.10204334526998
4900,-51.9029750990258
4900,-46.83143956546477
4900,-44.31742067069178
4900,-40.002166498838015
4900,-40.534767905814775
4900,-46.071614966109415
4900,-41.28879949180767
4900,-43.992108244200075
4900,-46.51882774236509
4900,-42.93065108109806
4900,-41.43965043123418
4900,-43.76085630930192
4900,-49.079496070637866
4900,-43.06984274081987
4900,-49.138774191481666
4900,-48.14483781153158
4900,-40.94869151074399
4900,-44.746966890261724
4900,-41.08458910158169
4900,-50.25508725887637
4900,-46.52303196261163
4900,-48.01017407054883
4900,-35.19281595200417
4900,-35.66313047734062
4900,-49.82949707019439
4900,-36.5611545130579
4900,-43.21873967863495
4900,-34.33849397239348
4900,-46.561976826123306
4900,-41.59345938899187
4900,-42.12157389205481
4900,-45.43002220707761
4900,-42.272885260627056
4900,-38.63934601493289
4900,-43.03566985267904
4900,-42.49279718571691
4900,-45.90497665401635
4900,-45.01213071393879
4900,-47.151028475659274
4900,-44.761279133382686
4900,-44.282350176083305
4900,-38.58477663709238
4900,-49.45838069364412
4900,-47.81501482792128
4900,-44.777306772349625
4900,-45.3681521697942
4900,-38.85723031469285
4900,-37.32874311143466
4900,-44.10734531481399
4900,-37.19204969260085
4900,-43.41450395955141
4900,-41.38954349718334
4900,-40.9002906287631
4900,-46.66967488406593
4900,-37.02391026318583
4900,-46.35495316139831
4900,-39.18146458200157
4900,-44.228386694001465
4900,-40.636047891052726
4900,-43.795870949833706
4900,-39.61373028012102
4900,-42.47796583704212
4900,-51.738551470013654
4900,-43.97934897421756
4900,-40.552173802504655
4900,-40.27891370810438
4900,-46.26408178119047
4900,-39.47352849390331
4900,-49.497770977915565
4900,-45.28431495914714
4900,-43.63087689265505
4900,-39.363178962192634
4900,-46.961938324389756
4900,-41.25524703112454
4900,-45.8721421010726
4900,-46.342392802611315
4900,-38.56764841991789
4900,-44.850176060864385
4900,-40.868347909466415
4900,-43.25419560956825
4900,-40.48689068740638
4900,-43.35266920123067
4900,-40.46286755882461
4900,-41.88635005343281
4900,-42.26046773712896
4900,-45.61927345489648
4900,-40.015131089545356
4900,-40.782730090837035
4900,-37.39495885266488
49,-41.98347240730849
100,-46.56146317368324
151,-39.78622954737061
202,-48.26148107024485
253,-39.07073964583708
304,-46.719356660340495
355,-45.20168475312446
406,-38.756477230549116
457,-51.56663254878859
508,-41.16515731036554
559,-43.13426831099421
610,-44.2813190108034
661,-38.120852386591665
712,-43.80464301025253
763,-37.254917228879506
814,-41.44413335165472
865,-44.2294242649238
916,-44.84714833610537
967,-37.473376296655495
1018,-40.20460286485666
1069,-42.79537761662388
1120,-39.90866669288552
1171,-43.04875959580295
1222,-39.04895412751856
1273,-40.62612270849529
1324,-41.623353790959484
1375,-41.71833449501967
1426,-46.893913850983125
1477,-48.89684110065519
1528,-39.31512255266175
1579,-44.80882167081748
1630,-46.81922103309532
1681,-40.59170413873837
1732,-41.84822337194222
1783,-43.673274755010794
1834,-35.731029570526694
1885,-41.507317425216904
1936,-38.477054842382856
1987,-42.741973956519644
2038,-43.26375430913667
2089,-47.819492939394365
2140,-40.17859579808511
2191,-37.901280681982215
2242,-42.929015115414366
2293,-39.54508508725558
2344,-40.71110769863252
2395,-41.002932277360586
2446,-42.68908435397669
2497,-41.557700059486685
2548,-45.27736346850597
2599,-48.54404123013423
2650,-39.66109255148618
2701,-50.30772920913837
2752,-42.38496976624624
2803,-47.45901176890439
2854,-39.14889189598244
2905,-42.542724159552584
2956,-46.10651072695818
3007,-44.352588831167154
3058,-40.00768703165775
3109,-43.34502824113753
3160,-39.004305946459894
3211,-46.33013235771472
3262,-35.26074279594271
3313,-41.16139641004735
3364,-43.933254429677724
3415,-41.43912070878018
3466,-43.09769940618417
3517,-45.46390505025242
3568,-48.76195114213166
3619,-38.275608167113006
3670,-38.06139985385288
3721,-47.18031617836559
3772,-44.28938452193865
3823,-41.90081912538746
3874,-49.08654381667663
3925,-47.70467766529079
3976,-39.95336580374107
