epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,12.79,18.7,143,73,4000,0.2,,,
2,7900,,,,,,,20.41,26.1,140,57,8000,0.5,,,
3,11900,0.178114,-2.326833,2.0422,0.5515,0.0063,0.0015,34.13,33.1,75,30,12000,2.3,0.779303,0.681000,0.049152
4,15900,0.956763,-6.479607,5.8919,1.7062,0.1897,0.0004,52.13,34.7,140,60,16000,4.0,0.751546,0.678959,0.036294
5,19900,,,,,,,81.72,53.9,60,34,20000,4.2,,,
6,23900,1.619720,-10.972387,10.3472,3.1578,0.1126,0.0000,90.78,50.8,97,49,24000,5.9,0.746801,0.667847,0.039477
7,27900,3.237481,-16.072967,15.1501,5.3287,0.2385,0.0069,68.12,40.5,92,54,28000,7.7,0.748864,0.672176,0.038344
8,31900,4.532917,-20.986905,20.0516,6.9436,0.2931,0.0220,56.16,34.0,114,61,32000,9.5,0.731639,0.662212,0.034714
9,35900,6.341678,-25.841874,24.8149,9.7090,0.3838,0.0195,46.09,27.6,118,62,36000,11.3,0.722288,0.656796,0.032746
10,39900,,,,,,,71.93,39.3,146,61,40000,11.5,,,
11,43900,8.985123,-30.761358,29.5007,14.2712,0.7064,0.0272,53.16,31.7,102,53,44000,13.3,0.717828,0.653226,0.032301
12,47900,12.564223,-36.106358,34.7485,19.5365,1.0109,0.0317,74.94,43.2,47,25,48000,15.1,0.720151,0.658694,0.030728
13,51900,14.895007,-40.952354,39.4957,23.5739,0.9467,0.0388,182.94,86.0,42,31,52000,16.9,0.704154,0.643532,0.030311
14,55900,19.379132,-46.031729,44.4956,27.7259,1.1295,0.0473,198.04,91.7,57,26,56000,18.7,0.701223,0.637931,0.031646
15,59900,,,,,,,82.91,45.1,60,28,60000,18.9,,,
16,63900,24.018617,-51.521925,49.8387,33.9589,1.3465,0.0577,190.79,95.4,47,19,64000,20.7,0.704836,0.640762,0.032037
17,67900,27.467892,-57.103876,55.3735,39.1802,1.4447,0.0647,152.14,79.7,42,22,68000,22.4,0.695403,0.631081,0.032161
18,71900,32.986713,-62.951743,61.1113,47.4644,1.5795,0.0744,202.71,96.6,52,31,72000,24.2,0.689086,0.622540,0.033273
19,75900,36.383692,-69.132356,67.1794,53.0013,1.7387,0.0762,142.39,71.9,29,12,76000,26.0,0.688376,0.622168,0.033104
20,79900,,,,,,,226.44,99.3,56,30,80000,26.1,,,
21,83900,40.923170,-75.055726,73.0231,62.4765,1.8370,0.0816,239.87,104.6,25,10,84000,27.9,0.701440,0.631977,0.034732
22,87900,44.173999,-81.285644,79.1630,72.2070,1.8877,0.0912,240.02,106.2,33,14,88000,29.7,0.672539,0.605369,0.033585
23,91900,51.035384,-86.855252,84.6890,87.1366,1.9953,0.0991,237.06,103.9,58,33,92000,31.4,0.682678,0.612312,0.035183
24,95900,57.064634,-92.948072,90.6211,95.6002,2.1294,0.1289,243.64,105.4,16,8,96000,33.1,0.679051,0.608829,0.035111
25,99900,,,,,,,253.23,106.3,62,35,100000,33.3,,,
26,103900,62.010856,-98.247052,95.9823,109.2429,2.2375,0.1367,248.38,105.7,26,14,104000,35.1,0.659190,0.589408,0.034891
27,107900,64.328642,-104.030909,101.6873,121.3343,2.4611,0.1518,249.74,108.1,16,7,108000,36.8,0.659674,0.586257,0.036709
28,111900,69.204479,-109.972737,107.5148,133.4992,2.5353,0.1671,254.68,115.5,60,30,112000,38.5,0.642701,0.570947,0.035877
29,115900,76.874510,-115.699474,113.1817,140.3483,2.7647,0.1741,259.77,123.8,20,9,116000,40.2,0.648702,0.576509,0.036097
30,119900,,,,,,,256.71,116.9,32,15,120000,40.4,,,
