epoch,global_step,device,epoch_wall_s,steps_per_sec,updates_per_sec,env_step_total_s,env_step_mean_ms,buffer_sample_total_s,buffer_sample_mean_ms,update_total_s,update_mean_ms,gpu_mem_allocated_mb,gpu_mem_reserved_mb
1,3999,GPU (NVIDIA GeForce RTX 3080),1.04,3833.5,0.0,0.795,0.199,0.000,0.000,0.000,0.000,27.5,32.0
2,7999,GPU (NVIDIA GeForce RTX 3080),12.86,311.1,233.3,0.982,0.246,0.518,0.173,10.270,3.423,42.5,52.0
3,11999,GPU (NVIDIA GeForce RTX 3080),16.78,238.3,238.3,1.050,0.262,0.698,0.174,13.692,3.423,42.5,52.0
4,15999,GPU (NVIDIA GeForce RTX 3080),16.72,239.3,239.3,1.026,0.256,0.696,0.174,13.657,3.414,42.5,52.0
5,19999,GPU (NVIDIA GeForce RTX 3080),16.75,238.9,238.9,1.016,0.254,0.712,0.178,13.699,3.425,42.5,52.0
6,23999,GPU (NVIDIA GeForce RTX 3080),16.71,239.4,239.4,1.027,0.257,0.713,0.178,13.661,3.415,42.5,52.0
7,27999,GPU (NVIDIA GeForce RTX 3080),16.71,239.4,239.4,1.027,0.257,0.712,0.178,13.621,3.405,42.5,52.0
8,31999,GPU (NVIDIA GeForce RTX 3080),17.03,234.9,234.9,1.031,0.258,0.714,0.178,13.929,3.482,42.5,52.0
9,35999,GPU (NVIDIA GeForce RTX 3080),16.75,238.9,238.9,1.017,0.254,0.716,0.179,13.624,3.406,42.5,52.0
10,39999,GPU (NVIDIA GeForce RTX 3080),16.70,239.6,239.6,1.029,0.257,0.720,0.180,13.636,3.409,42.5,52.0
11,43999,GPU (NVIDIA GeForce RTX 3080),16.76,238.6,238.6,1.026,0.256,0.715,0.179,13.727,3.432,42.5,52.0
12,47999,GPU (NVIDIA GeForce RTX 3080),16.80,238.1,238.1,1.019,0.255,0.716,0.179,13.722,3.430,42.5,52.0
13,51999,GPU (NVIDIA GeForce RTX 3080),16.60,240.9,240.9,1.012,0.253,0.717,0.179,13.585,3.396,42.5,52.0
14,55999,GPU (NVIDIA GeForce RTX 3080),16.71,239.3,239.3,1.018,0.254,0.717,0.179,13.637,3.409,42.5,52.0
15,59999,GPU (NVIDIA GeForce RTX 3080),17.04,234.7,234.7,1.017,0.254,0.715,0.179,14.016,3.504,42.5,52.0
16,63999,GPU (NVIDIA GeForce RTX 3080),16.94,236.1,236.1,1.011,0.253,0.714,0.178,13.912,3.478,42.5,52.0
17,67999,GPU (NVIDIA GeForce RTX 3080),16.92,236.5,236.5,1.017,0.254,0.723,0.181,13.825,3.456,42.5,52.0
18,71999,GPU (NVIDIA GeForce RTX 3080),16.72,239.2,239.2,1.018,0.255,0.728,0.182,13.680,3.420,42.5,52.0
19,75999,GPU (NVIDIA GeForce RTX 3080),16.88,237.0,237.0,1.018,0.254,0.724,0.181,13.797,3.449,42.5,52.0
20,79999,GPU (NVIDIA GeForce RTX 3080),16.85,237.3,237.3,1.025,0.256,0.729,0.182,13.701,3.425,42.5,52.0
21,83999,GPU (NVIDIA GeForce RTX 3080),16.72,239.3,239.3,1.014,0.254,0.721,0.180,13.613,3.403,42.5,52.0
22,87999,GPU (NVIDIA GeForce RTX 3080),16.98,235.5,235.5,1.029,0.257,0.723,0.181,13.898,3.474,42.5,52.0
23,91999,GPU (NVIDIA GeForce RTX 3080),16.92,236.5,236.5,1.024,0.256,0.723,0.181,13.840,3.460,42.5,52.0
24,95999,GPU (NVIDIA GeForce RTX 3080),16.58,241.2,241.2,1.024,0.256,0.720,0.180,13.537,3.384,42.5,52.0
25,99999,GPU (NVIDIA GeForce RTX 3080),17.53,228.2,228.2,1.035,0.259,0.733,0.183,14.396,3.599,42.5,52.0
26,103999,GPU (NVIDIA GeForce RTX 3080),16.93,236.3,236.3,1.028,0.257,0.720,0.180,13.882,3.471,42.5,52.0
27,107999,GPU (NVIDIA GeForce RTX 3080),17.13,233.5,233.5,1.037,0.259,0.729,0.182,14.017,3.504,42.5,52.0
28,111999,GPU (NVIDIA GeForce RTX 3080),16.91,236.6,236.6,1.018,0.255,0.723,0.181,13.778,3.444,42.5,52.0
29,115999,GPU (NVIDIA GeForce RTX 3080),16.77,238.5,238.5,1.017,0.254,0.722,0.181,13.740,3.435,42.5,52.0
30,119999,GPU (NVIDIA GeForce RTX 3080),17.12,233.7,233.7,1.025,0.256,0.723,0.181,14.055,3.514,42.5,52.0
