epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
48,191900,45.098805,45.442923,-28.756759,23.3081,23.3080,80.9378,77.2364,0.0923,0.0000,117.58,14.8,271,141,192000,30.0,0.822711,0.620087,0.101312
49,195900,47.801059,48.072162,-29.514796,24.1225,24.1239,101.5344,95.3964,0.0906,0.0000,120.22,15.1,264,125,196000,31.4,0.700729,0.570085,0.065322
50,199900,,,,,,,,,,115.58,14.6,270,128,200000,31.7,,,
51,203900,50.638117,51.008868,-30.313850,25.0377,25.0400,74.0161,71.5905,0.1092,0.0000,115.91,14.6,280,139,204000,33.1,0.607717,0.505537,0.051090
52,207900,52.611393,53.003190,-31.222062,25.8228,25.8235,100.3218,95.1120,0.1350,0.0000,113.60,14.4,281,148,208000,34.4,0.528692,0.446505,0.041093
53,211900,55.891668,56.117760,-31.946525,26.6648,26.6649,128.0745,120.9763,0.1370,0.0000,111.43,14.1,276,120,212000,35.8,0.468888,0.399064,0.034912
54,215900,58.179802,58.403084,-32.603758,27.3927,27.3934,108.5637,103.7024,0.1739,0.0000,111.47,14.1,292,135,216000,37.2,0.513524,0.439029,0.037247
55,219900,,,,,,,,,,109.72,14.0,280,135,220000,37.5,,,
56,223900,61.282350,61.531263,-33.444436,28.1925,28.1948,106.0974,102.6592,0.1945,0.0000,110.41,14.0,289,141,224000,38.9,0.496690,0.425257,0.035716
57,227900,61.769369,61.945999,-34.575363,29.1879,29.1912,114.7348,108.9079,0.2032,0.0000,108.16,13.8,282,150,228000,40.3,0.475519,0.406782,0.034368
58,231900,66.037083,66.229317,-35.279482,29.8084,29.8057,128.2920,122.2507,0.2023,0.0000,110.76,14.1,283,156,232000,41.6,0.486257,0.417746,0.034256
59,235900,68.010264,68.248819,-36.141829,30.6830,30.6843,134.3906,126.9560,0.1632,0.0000,109.30,13.9,289,139,236000,42.9,0.469620,0.403575,0.033023
60,239900,,,,,,,,,,113.97,14.4,277,153,240000,43.2,,,
61,243900,71.074978,71.327212,-37.051853,31.4395,31.4390,127.4249,122.8002,0.1748,0.0000,116.24,14.7,279,139,244000,44.7,0.471532,0.405689,0.032922
62,247900,72.056872,72.231744,-37.923638,32.2203,32.2211,129.3369,121.8201,0.2259,0.0000,115.02,14.5,269,139,248000,46.1,0.468664,0.403756,0.032454
63,251900,74.986344,75.065197,-38.885994,33.0712,33.0733,131.6414,128.4810,0.2660,0.0000,115.93,14.6,277,134,252000,47.4,0.454351,0.391329,0.031511
64,255900,79.172480,79.462614,-39.629385,33.7419,33.7422,145.2447,138.2273,0.7286,0.0000,123.91,15.5,245,122,256000,48.8,0.460664,0.397311,0.031676
65,259900,,,,,,,,,,130.89,16.2,258,137,260000,49.0,,,
66,263900,83.753298,84.020011,-40.366689,34.4983,34.4965,194.4275,188.1813,0.5862,0.0000,132.87,16.5,239,115,264000,50.4,0.475810,0.410760,0.032525
67,267900,85.825830,86.334515,-41.050795,35.3326,35.3344,177.2341,165.5663,0.4463,0.0000,136.79,16.9,236,120,268000,51.9,0.541926,0.466804,0.037561
68,271900,87.109203,87.629869,-42.329360,36.3371,36.3386,172.4288,165.5261,0.8924,0.0000,134.63,16.6,227,127,272000,53.2,0.528378,0.454360,0.037009
69,275900,89.819201,90.313320,-43.166114,37.0530,37.0557,202.2619,189.9328,0.6012,0.0000,133.37,16.5,257,128,276000,54.6,0.551979,0.473655,0.039162
70,279900,,,,,,,,,,133.20,16.5,243,101,280000,54.9,,,
71,283900,92.511873,93.109862,-43.984788,37.9033,37.9022,178.8397,170.1000,0.7609,0.0000,137.16,16.9,233,98,284000,56.3,0.559525,0.479128,0.040199
72,287900,97.111832,97.588332,-44.657987,38.6580,38.6612,179.5829,168.1391,0.5271,0.0000,151.59,18.5,214,104,288000,57.7,0.573378,0.491278,0.041050
