step,episode_return
1000,5.305321897763624
1200,-2.927856080274047
1400,-16.43318878981868
1500,-27.879863741475653
1600,-17.408417732116163
1600,0.355220153492934
1600,-20.72553777359456
1700,-8.778106961765463
1800,-10.743039122643452
1800,-3.5557200596528244
2000,8.925330448390039
2100,6.1178520318547385
2100,6.882993518346389
2400,-3.114626351577039
2400,-16.34928006701387
2500,10.668287642362579
2500,1.4835462849195353
2500,-19.147217783148324
2600,-17.360232047584358
2700,-4.689919818502331
2700,1.1624548916675668
2800,-20.581407600939375
2900,23.12864540274037
3000,-0.9721240590418134
3200,-10.872308051942364
3200,-11.542479287816453
3200,-12.467825839930576
3200,-12.488461756748599
3200,-29.13985249102908
3200,-4.051359552077068
3200,2.4313845472407016
3300,-18.49210512397664
3300,-15.392654074581774
3400,-24.056779735824204
3500,-24.235596369747558
3900,-11.681883290094067
4100,-12.792035681299197
4100,-37.12546241564404
4200,-21.367329700541276
4300,-15.24454270866835
4400,4.841376422959182
4500,-3.7653992064574378
4500,-69.51698310366102
4600,-22.793018714383827
15600,-85.82259484087346
16200,-54.29012780203329
