epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
60,239900,,,,,,,,,0,0,240000,81.6,,,
61,243900,8.114666,-94.684216,93.7341,21.6167,1.0589,0.2132,,,0,0,244000,83.5,0.011374,0.009589,0.000892
62,247900,7.780695,-98.250513,97.2962,21.1974,1.0588,0.2278,,,0,0,248000,85.1,0.028533,0.025421,0.001556
63,251900,8.603067,-101.759454,100.7917,23.8965,1.1410,0.2397,,,0,0,252000,86.9,0.011619,0.009842,0.000888
64,255900,8.979367,-105.280783,104.2997,23.6592,1.1417,0.2460,,,0,0,256000,88.7,0.009154,0.007638,0.000758
65,259900,,,,,,,,,0,0,260000,88.8,,,
66,263900,9.699842,-108.935773,107.9477,23.8353,1.1636,0.2585,,,0,0,264000,90.6,0.022711,0.019797,0.001457
67,267900,8.810310,-112.484750,111.4761,23.5208,1.1542,0.2686,,,0,0,268000,92.4,0.006799,0.005583,0.000608
68,271900,10.082533,-116.121455,115.1203,24.5512,1.1838,0.2757,,,0,0,272000,94.4,0.026716,0.023428,0.001644
69,275900,9.525991,-119.644553,118.6398,25.1313,1.2770,0.2900,,,0,0,276000,96.3,0.008468,0.006993,0.000738
70,279900,,,,,,,,,0,0,280000,96.5,,,
71,283900,10.031784,-123.380333,122.3590,25.6018,1.2301,0.3025,,,0,0,284000,98.3,0.017750,0.015638,0.001056
72,287900,10.351964,-126.896429,125.8731,26.6581,1.3233,0.3148,,,0,0,288000,99.9,0.011266,0.009452,0.000907
73,291900,10.553097,-130.443442,129.4171,27.4084,1.3055,0.3296,,,0,0,292000,101.6,0.009367,0.007683,0.000842
74,295900,10.532938,-134.116348,133.0568,26.5228,1.3288,0.3361,,,0,0,296000,103.4,0.013083,0.011160,0.000961
75,299900,,,,,,,,,0,0,300000,103.5,,,
76,303900,10.683270,-137.752365,136.7289,28.4281,1.3693,0.3463,2852.95,1001.0,100,46,304000,105.4,0.004086,0.003103,0.000492
77,307900,22.167062,-140.960436,139.9492,31.9841,1.3884,0.3582,,,0,0,308000,107.2,0.641843,0.584536,0.028653
78,311900,22.581418,-144.416642,143.3710,33.3328,1.5243,0.3691,,,0,0,312000,108.8,0.158670,0.137532,0.010569
79,315900,24.423248,-147.802018,146.7553,33.3905,1.4534,0.3715,,,0,0,316000,110.6,0.083489,0.072105,0.005692
80,319900,,,,,,,,,0,0,320000,110.7,,,
81,323900,21.790382,-151.156703,150.1113,32.8236,1.5775,0.3861,,,0,0,324000,112.5,0.059759,0.052458,0.003650
82,327900,23.241780,-154.437053,153.3864,34.4254,1.5588,0.3937,,,0,0,328000,114.4,0.055013,0.048346,0.003333
83,331900,26.112778,-157.852836,156.7965,36.8162,1.6263,0.4039,,,0,0,332000,116.3,0.030579,0.026683,0.001948
84,335900,23.910524,-161.095903,160.0383,35.0962,1.5540,0.4184,,,0,0,336000,117.9,0.028528,0.024653,0.001938
85,339900,,,,,,,,,0,0,340000,118.1,,,
86,343900,23.375868,-164.261083,163.2223,37.8361,1.6638,0.4245,,,0,0,344000,119.7,0.037033,0.032354,0.002340
87,347900,26.330468,-167.178274,166.1241,37.7051,1.6861,0.4333,,,0,0,348000,121.4,0.020040,0.017769,0.001135
88,351900,25.469976,-170.324010,169.2477,39.4857,1.7878,0.4358,,,0,0,352000,123.1,0.011110,0.009440,0.000835
89,355900,26.740083,-173.515808,172.4626,40.0637,1.7403,0.4473,,,0,0,356000,124.8,0.008999,0.007789,0.000605
90,359900,,,,,,,,,0,0,360000,125.0,,,
91,363900,26.487789,-176.576273,175.5358,40.0879,1.8334,0.4537,,,0,0,364000,126.6,0.009585,0.008318,0.000633
92,367900,25.162879,-179.332161,178.3008,39.1150,1.7593,0.4594,,,0,0,368000,128.3,0.010084,0.008550,0.000767
93,371900,25.856133,-182.309388,181.2838,37.9389,1.8101,0.4714,,,0,0,372000,129.9,0.011102,0.009532,0.000785
94,375900,27.946762,-185.019822,183.9761,41.8001,1.8120,0.4839,,,0,0,376000,131.6,0.010686,0.009400,0.000643
95,379900,,,,,,,,,0,0,380000,131.7,,,
96,383900,25.957882,-187.901832,186.8651,37.8564,1.7821,0.4843,,,0,0,384000,133.4,0.014903,0.012879,0.001012
97,387900,26.266760,-190.639753,189.6266,39.7141,1.8329,0.4962,,,0,0,388000,135.1,0.024984,0.022572,0.001206
98,391900,27.730516,-193.286697,192.3089,42.2903,1.8736,0.5025,,,0,0,392000,136.9,0.010592,0.009362,0.000615
99,395900,28.446041,-195.890697,194.8726,41.1974,1.8801,0.5136,,,0,0,396000,138.6,0.019710,0.017399,0.001156
100,399900,,,,,,,,,0,0,400000,138.8,,,
1,3999,,,,,,,-295.25,1000.7,3,0,4000,0.5,,,
