step,episode_return
99900,31858.569751387746
99900,31967.59491172875
99900,32278.518854522175
99900,32439.625689242148
99900,31941.970663508495
99900,31636.274917806153
99900,31198.03496351934
99900,31844.777202468897
99900,31997.070586425863
99900,33095.37142635509
99900,32233.56807418543
99900,31890.473426786535
99900,31908.54746144279
99900,32089.47373294805
99900,32071.362894810794
99900,32671.421751425954
99900,32384.663841027097
99900,31813.98328147991
99900,31327.116571795075
99900,31992.35107811776
99900,32132.296534662717
99900,31957.564583227668
99900,32036.43847934207
99900,32238.74709466704
99900,32578.798047290766
99900,31002.918826031255
99900,32112.585195393254
99900,31267.986493568136
99900,32028.35197350786
99900,32881.083514836886
99900,31916.162815482083
99900,32182.115139351834
99900,31860.227002100088
99900,32634.841324420475
99900,32088.304145304268
99900,31697.628281927562
99900,32149.85348568962
99900,31722.781152374653
99900,31464.592031485292
99900,31327.88753561346
99900,32121.741975163888
99900,32899.33783939573
99900,50707.51137788658
99900,32203.36111485873
99900,32117.50870461183
99900,32141.23735965724
99900,32543.58784947078
99900,32372.818313511365
99900,31666.64297697246
99900,32812.03391753195
99900,32151.425128278897
99900,33270.112114597825
99900,31969.94614257023
99900,32137.10326479159
99900,32321.87306933873
99900,32012.044285930955
99900,32318.17860949772
99900,32255.267088009186
99900,31819.573248139583
99900,32509.219247497513
99900,32143.24262424895
99900,32155.766407253344
99900,31739.179142036435
99900,32198.501970667352
99900,31982.402598931883
99900,32128.168623052028
99900,31857.103951726862
99900,32109.42119721763
99900,32607.989398807214
99900,31261.92201483128
99900,32118.85327681752
99900,32070.440322288596
99900,31874.717435188035
99900,32112.804021062624
99900,32015.96570345578
99900,31903.64952160728
99900,31659.256734546823
99900,31894.51025427726
99900,31926.731043383013
99900,32248.78018711167
99900,32002.547303752202
99900,32179.30036322816
99900,32384.418579737132
99900,32532.83164270628
99900,32037.71109681967
99900,32367.263429288378
99900,32117.94527046577
99900,32337.391895773875
99900,33089.69287124757
99900,32129.699803287895
99900,31633.856233399005
99900,32272.961702383433
99900,31614.314548263323
99900,32352.263100143682
99900,31028.29483671035
99900,31969.460455378907
99900,32732.99689792988
99900,31726.2578818689
99900,32053.708611320744
99900,32542.76439859085
200000,104056.32004306081
200000,111977.33908905067
200000,111115.15621640031
200000,110917.88304795587
200000,111268.5562864021
200000,110761.7857511256
200000,111128.37805958127
200000,111356.857179433
200000,112825.18975585698
200000,111329.05481150321
200000,105469.5733199517
200000,110724.55644545499
200000,111670.90126452826
200000,111943.18417880176
200000,110997.7325011682
200000,104143.67635029435
200000,105042.2772877479
200000,110819.97735090175
200000,111048.18081999879
200000,110864.39806859774
200000,111001.64093254165
200000,110815.37692368201
200000,111276.79968122137
200000,111034.66669537804
200000,110690.44750139923
200000,111536.90263345333
200000,110816.61084196897
200000,110868.62043694907
200000,111314.66666592844
200000,104312.09396866102
200000,110986.11989007755
200000,111300.08789519264
200000,110861.38789291088
200000,111443.68981819191
200000,110744.79937531418
200000,111475.31443527085
200000,111194.37578352429
200000,109884.30684500925
200000,111232.2760679573
200000,111032.46071785007
200000,110937.19369744773
200000,110977.56343582904
200000,104572.16004637255
200000,111496.89821126738
200000,111161.88135341114
200000,103982.12204480708
200000,112474.97568204497
200000,112254.77135197136
200000,110914.63985838865
200000,111031.77936741259
200000,105243.57439810962
200000,77742.06827849874
200000,111537.37553826522
200000,103643.3775788779
200000,110683.43438213397
200000,110975.55598705374
200000,110906.26495565685
200000,111034.25216839601
200000,111492.0336518974
200000,111050.44979852845
200000,110810.59466415535
200000,110951.69464348492
200000,111549.55239969175
200000,111889.820860043
200000,111214.65966714166
200000,111695.3813962563
200000,111035.14772903225
200000,111140.56380650378
200000,104054.11392991128
200000,111339.22030428798
200000,111726.14709734196
200000,73552.31095727674
200000,104338.40415184548
200000,110616.93688217498
200000,111282.9533345403
200000,110635.92688390358
200000,103927.20824823633
200000,104167.5773371826
200000,111257.41654896658
200000,104058.05250396198
200000,104380.97822367844
200000,110592.4869999755
200000,110901.79716847392
200000,110824.12225336967
200000,111115.93752717598
200000,103314.56129745283
200000,109951.04053258376
200000,111583.57605920862
200000,111311.54253251514
200000,81119.09801993193
200000,111302.26944251805
200000,111279.446382718
200000,111061.55293164424
200000,110920.34232036845
200000,104125.33991448363
200000,110722.1766099113
200000,110552.91349004439
200000,110963.05438960368
200000,104414.59328063608
200000,111898.17772560468
300100,97798.6098438888
300100,99612.31283669989
300100,102765.63955527887
300100,98139.84404289087
300100,100449.38139000797
300100,99621.12369172956
300100,103002.67030258756
300100,98756.16754285546
300100,95332.22461693805
300100,99035.4904244651
300100,102836.57831447596
300100,102782.46302594352
300100,99719.01955921776
300100,99028.92750973823
300100,102659.80381861751
300100,102613.59003068469
300100,101952.20687349782
300100,99094.47954353577
300100,96672.36712111314
300100,88025.17628485027
300100,98358.23556959347
300100,87828.4623226329
300100,101975.03113814027
300100,103434.76496367103
300100,97528.94746055322
300100,102673.56810313865
300100,89000.8273323392
300100,100098.57515344274
300100,96117.85449306144
300100,97542.06150941965
300100,99751.74430469352
300100,96130.58158308707
300100,102865.26750099077
300100,98370.07208191349
300100,98577.75771067743
300100,97757.71026691335
300100,98038.23170186262
300100,98719.9084607058
300100,103545.64977295269
300100,100389.44231601566
300100,102524.19030286196
300100,100933.04397323122
300100,97773.50789506035
300100,102722.63039714987
300100,99801.80627428782
300100,99452.15330251925
300100,98426.83323392725
300100,100123.00017475573
300100,97350.59208671522
300100,97856.37832429426
300100,98867.84958701003
300100,95013.43552807046
300100,101120.0323778655
300100,95988.33648447954
300100,89941.16174239898
300100,100025.84306937583
300100,97532.95593942108
300100,103306.80022576405
300100,101169.59679681428
300100,102526.17604879616
300100,98162.10511932433
300100,99357.73779741702
300100,103218.03399729183
300100,102716.33213518429
300100,87832.58754425134
300100,96774.49370791134
300100,102682.40819126161
300100,101991.69584605731
300100,91294.28791169664
300100,98238.41204018176
300100,102003.51852253756
300100,97241.20289907866
300100,99070.594200327
300100,103263.57273160596
300100,98741.05284379299
300100,98849.8056255069
300100,101991.5190807761
300100,102644.59233157625
300100,97687.66112832609
300100,98099.16653865557
300100,98723.89651993092
300100,96862.43136116462
300100,99710.50733361242
300100,96688.26366481443
