epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
64,255900,8.829839,-86.437377,85.6847,30.2303,2.2046,0.2831,885.37,514.0,4,1,256000,82.9
65,259900,,,,,,,654.11,603.3,3,1,260000,83.2
66,263900,9.244595,-87.900677,87.1687,30.4470,2.3022,0.2922,775.90,432.6,5,2,264000,84.8
67,267900,8.779621,-89.383631,88.6331,29.1746,2.3112,0.3009,596.82,583.0,3,1,268000,86.4
68,271900,9.289410,-90.766045,90.0340,31.8777,2.3047,0.2968,581.77,746.0,5,3,272000,87.9
69,275900,9.319244,-92.030634,91.3141,33.5344,2.3804,0.3019,1387.22,832.8,6,2,276000,89.5
70,279900,,,,,,,843.67,612.9,8,4,280000,89.8
71,283900,9.606320,-93.402374,92.7029,31.1410,2.3633,0.3096,833.30,687.0,3,3,284000,91.4
72,287900,9.717659,-94.819894,94.1100,32.9545,2.3701,0.3165,737.37,573.2,6,2,288000,93.0
73,291900,10.175426,-96.139369,95.4304,35.5321,2.4393,0.3221,564.63,669.2,4,3,292000,94.6
74,295900,10.137331,-97.506853,96.7984,31.8040,2.4553,0.3317,349.03,180.0,2,1,296000,96.2
75,299900,,,,,,,681.58,497.3,9,5,300000,96.4
76,303900,10.751815,-98.660313,97.9604,39.4241,2.4351,0.3346,846.69,697.4,18,11,304000,98.0
77,307900,11.432712,-99.969144,99.2933,37.3742,2.3803,0.3501,839.45,654.6,8,5,308000,99.6
78,311900,12.132621,-101.236182,100.5640,42.2492,2.5199,0.3601,570.13,493.1,8,5,312000,101.2
79,315900,12.861894,-102.598826,101.9164,44.6451,2.5469,0.3727,570.37,441.8,11,7,316000,102.8
80,319900,,,,,,,273.87,368.9,7,5,320000,103.1
81,323900,12.653339,-103.903685,103.2193,42.4767,2.4834,0.3752,544.77,710.7,9,5,324000,104.7
82,327900,12.892556,-105.433166,104.7348,42.7964,2.6513,0.3837,994.16,943.9,7,2,328000,106.3
