epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,-9.61,25.1,35,23,4000,0.3
2,7900,,,,,,,-9.24,41.6,11,4,8000,0.6
3,11900,0.481073,-1.995470,1.3406,1.8749,0.0838,0.0062,8.57,107.6,5,1,12000,2.3
4,15900,0.841874,-2.997273,1.6710,3.8413,0.8298,0.0000,-78.23,152.0,2,1,16000,3.8
5,19900,,,,,,,,,0,0,20000,4.1
6,23900,0.812642,-2.544287,2.2029,4.9602,1.0224,0.0022,,,0,0,24000,5.7
7,27900,0.664591,-1.930569,1.7010,4.9735,0.9837,0.0085,-134.70,231.0,1,1,28000,7.3
8,31900,1.043226,-4.028851,2.4247,6.3641,1.7255,0.0261,-150.35,267.7,17,9,32000,8.8
9,35900,1.524847,-6.080880,4.7670,7.4595,1.9596,0.0232,-114.76,192.4,25,9,36000,10.4
10,39900,,,,,,,-177.92,282.5,11,6,40000,10.7
11,43900,1.472116,-7.427855,5.9901,7.4409,1.8896,0.0281,-184.26,343.8,4,2,44000,12.3
12,47900,1.432202,-9.638585,8.2944,7.6260,1.7956,0.0316,,,0,0,48000,13.9
13,51900,1.345184,-11.774762,10.5288,7.7342,1.8041,0.0370,,,0,0,52000,15.4
14,55900,1.335900,-13.899721,12.7632,7.6655,1.7369,0.0439,2.21,393.7,3,1,56000,17.0
15,59900,,,,,,,87.86,271.5,4,2,60000,17.3
16,63900,1.363420,-15.952231,14.8739,7.9790,1.6767,0.0462,48.65,288.3,3,1,64000,18.9
17,67900,1.452493,-17.987636,16.9349,7.9946,1.8018,0.0516,115.05,354.0,7,5,68000,20.5
18,71900,1.586078,-20.076799,19.0751,8.6747,1.7223,0.0561,244.91,364.2,4,3,72000,22.2
19,75900,1.651423,-21.998157,21.0426,8.8362,1.7029,0.0606,178.19,175.3,3,2,76000,23.8
20,79900,,,,,,,144.30,171.7,3,3,80000,24.0
21,83900,1.718240,-23.852638,22.9386,8.7915,1.6993,0.0635,65.25,40.0,1,1,84000,25.6
22,87900,1.668617,-25.578127,24.6845,8.9358,1.6801,0.0680,137.14,444.0,2,1,88000,27.2
23,91900,1.731492,-27.267473,26.4024,8.8642,1.8062,0.0741,389.68,398.7,3,2,92000,28.8
24,95900,1.739999,-28.972503,28.1366,9.0384,1.7400,0.0785,,,0,0,96000,30.4
25,99900,,,,,,,155.94,998.3,34,15,100000,30.6
26,103900,1.987353,-30.604510,29.7950,9.2839,1.7359,0.0834,199.33,640.3,18,8,104000,32.3
27,107900,2.305174,-32.500770,31.7025,10.1511,1.7603,0.0924,148.66,309.6,11,5,108000,33.9
28,111900,2.511698,-34.408674,33.6197,11.1936,1.7238,0.0979,155.50,289.0,8,4,112000,35.6
29,115900,2.740496,-36.210893,35.4548,11.9954,1.8335,0.1065,300.36,399.2,12,5,116000,37.2
30,119900,,,,,,,232.95,229.2,5,4,120000,37.4
31,123900,2.851460,-37.992566,37.2460,12.7716,1.7306,0.1126,164.38,136.8,5,4,124000,39.1
32,127900,2.934121,-39.778906,39.0345,12.8956,1.6750,0.1187,386.36,417.8,4,3,128000,40.8
33,131900,3.040170,-41.487377,40.7622,13.7050,1.8783,0.1254,459.92,744.5,6,3,132000,42.4
34,135900,3.019708,-43.222303,42.4841,12.8446,1.7861,0.1273,594.96,901.4,13,6,136000,44.0
35,139900,,,,,,,583.35,766.2,9,8,140000,44.2
36,143900,3.173605,-45.024483,44.2979,13.2762,1.7910,0.1328,481.61,469.7,3,2,144000,45.8
37,147900,3.387347,-46.820765,46.1082,14.4596,1.8280,0.1374,324.76,302.3,3,2,148000,47.4
