epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
58,231900,12236.951141,-3291.511900,3289.4809,14701.9928,0.2937,0.0862,,,0,0,232000,114.3,0.007882,0.007055,0.000413
59,235900,11436.606764,-3368.380308,3366.3918,14638.8559,0.3399,0.0772,,,0,0,236000,116.9,0.004002,0.003516,0.000243
60,239900,,,,,,,,,0,0,240000,117.5,,,
61,243900,11204.385347,-3442.398793,3440.4221,15868.3152,0.3171,0.0704,,,0,0,244000,120.2,0.007567,0.006941,0.000313
62,247900,12429.312571,-3514.777929,3512.8266,15547.3557,0.2500,0.0796,,,0,0,248000,122.7,0.005526,0.004961,0.000282
63,251900,12180.919967,-3591.920795,3589.9159,13834.0352,0.2356,0.0842,,,0,0,252000,125.2,0.006806,0.006049,0.000378
64,255900,11690.388776,-3666.705868,3664.7390,14620.7263,0.1748,0.0753,,,0,0,256000,127.6,0.012267,0.011102,0.000583
65,259900,,,,,,,,,0,0,260000,128.2,,,
66,263900,12001.580692,-3738.845166,3736.8749,15935.6050,0.2128,0.0684,,,0,0,264000,130.7,0.029118,0.026551,0.001284
67,267900,13577.699806,-3813.374981,3811.3663,15291.4450,0.2807,0.0766,,,0,0,268000,133.3,0.002395,0.002230,0.000082
68,271900,11998.473204,-3886.329512,3884.2706,16085.5518,0.4614,0.0835,,,0,0,272000,135.7,0.000224,0.000214,0.000005
69,275900,12628.832253,-3963.926126,3961.9017,16241.5776,0.5805,0.0925,,,0,0,276000,138.1,0.000192,0.000183,0.000005
70,279900,,,,,,,,,0,0,280000,138.7,,,
71,283900,12249.548546,-4030.483426,4028.4897,17387.4161,0.6348,0.0858,,,0,0,284000,141.1,0.000170,0.000162,0.000004
72,287900,13048.752167,-4101.307897,4099.2982,15589.0933,0.8040,0.0886,,,0,0,288000,143.6,0.000148,0.000140,0.000004
73,291900,12682.423486,-4172.639396,4170.5389,15331.4515,0.8570,0.1034,,,0,0,292000,146.0,0.000139,0.000132,0.000004
74,295900,13826.140060,-4238.839545,4236.7447,16162.7427,0.8846,0.0918,,,0,0,296000,148.4,0.000123,0.000116,0.000003
75,299900,,,,,,,,,0,0,300000,149.0,,,
76,303900,13408.994039,-4304.374715,4302.0989,17031.2057,0.9995,0.0966,89954.12,1001.0,100,52,304000,151.4,0.000111,0.000105,0.000003
77,307900,22061.717842,-4372.055814,4369.7688,22755.2901,1.0258,0.1071,,,0,0,308000,153.8,0.641792,0.588418,0.026687
