epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi,mean_return,mean_length,episodes,buffer_size,elapsed_s
63,251900,1.183978,1.201357,-7.616498,6.9595,6.9592,11.3771,11.1950,0.8610,,,0,252000,67.2
64,255900,1.179277,1.200975,-8.084199,7.4068,7.4067,11.4554,11.4109,0.8506,,,0,256000,68.6
65,259900,,,,,,,,,,,0,260000,68.8
66,263900,1.200147,1.222998,-8.541884,7.8400,7.8396,11.9716,12.1343,0.8798,,,0,264000,70.1
67,267900,1.219444,1.242285,-9.034833,8.3374,8.3371,12.1527,11.7265,0.8162,,,0,268000,71.4
68,271900,1.222602,1.246200,-9.536994,8.8414,8.8410,12.1553,12.0625,0.8791,,,0,272000,72.8
69,275900,1.232441,1.258516,-10.081141,9.3531,9.3529,12.5363,12.0337,0.9554,,,0,276000,74.1
70,279900,,,,,,,,,,,0,280000,74.2
71,283900,1.257226,1.280216,-10.688404,9.9238,9.9237,13.0793,13.0407,0.9270,,,0,284000,75.6
72,287900,1.280802,1.311051,-11.224153,10.4559,10.4560,13.4909,13.6206,0.9135,,,0,288000,76.9
73,291900,1.301813,1.330894,-11.830319,11.0512,11.0511,13.6660,13.3509,0.9495,,,0,292000,78.3
74,295900,1.317907,1.349922,-12.427175,11.6357,11.6356,14.6632,14.4932,0.9080,,,0,296000,79.6
75,299900,,,,,,,,,,,0,300000,79.8
76,303900,1.318598,1.342617,-13.069948,12.2674,12.2671,13.9375,13.6811,0.8691,611.12,1001.0,100,304000,81.1
77,307900,1.570375,1.593139,-13.925916,13.1302,13.1304,16.7514,15.9156,0.9332,,,0,308000,82.5
78,311900,1.694836,1.728342,-14.918996,14.1184,14.1181,17.7362,17.0216,0.9417,,,0,312000,83.8
79,315900,1.839707,1.876221,-15.861498,15.0289,15.0289,19.0992,18.2893,0.9290,,,0,316000,85.1
80,319900,,,,,,,,,,,0,320000,85.3
81,323900,1.921165,1.962479,-16.718226,15.8855,15.8855,20.4900,19.1507,0.9322,,,0,324000,86.6
82,327900,1.948596,1.994529,-17.508885,16.6678,16.6678,21.3581,20.0171,0.9339,,,0,328000,88.0
83,331900,2.030278,2.073603,-18.247260,17.3966,17.3966,20.9871,19.3157,0.9654,,,0,332000,89.3
84,335900,2.045644,2.089004,-18.845078,18.0239,18.0240,22.0273,20.2645,0.9752,,,0,336000,90.7
85,339900,,,,,,,,,,,0,340000,90.9
86,343900,2.090186,2.136191,-19.519247,18.6953,18.6957,22.9558,20.7366,1.0596,,,0,344000,92.2
87,347900,2.067647,2.114134,-20.152950,19.3063,19.3066,22.9700,21.3484,0.9189,,,0,348000,93.5
88,351900,2.109908,2.149611,-20.806913,19.9488,19.9490,22.7410,21.1048,0.9682,,,0,352000,94.9
89,355900,2.119112,2.153508,-21.459094,20.6021,20.6022,24.1215,22.0409,1.0001,,,0,356000,96.2
90,359900,,,,,,,,,,,0,360000,96.4
91,363900,2.132011,2.173271,-22.129236,21.2497,21.2502,24.4860,22.3841,1.0002,,,0,364000,97.8
92,367900,2.177851,2.213152,-22.741776,21.8784,21.8788,25.5823,23.1585,1.0209,,,0,368000,99.1
93,371900,2.224137,2.263339,-23.384327,22.4982,22.4983,25.3694,23.4065,1.0148,,,0,372000,100.5
94,375900,2.357737,2.403695,-24.045432,23.1677,23.1675,27.6945,25.7294,1.0712,,,0,376000,101.9
95,379900,,,,,,,,,,,0,380000,102.1
96,383900,2.400381,2.441432,-24.729492,23.8044,23.8049,29.0939,26.4713,1.0321,,,0,384000,103.4
97,387900,2.381866,2.407460,-25.341005,24.4447,24.4446,28.0310,25.5108,1.0946,,,0,388000,104.8
98,391900,2.450072,2.477746,-25.995033,25.0769,25.0770,29.0748,26.1719,1.0296,,,0,392000,106.1
99,395900,2.461757,2.484628,-26.579092,25.6731,25.6733,29.7756,27.0814,1.0148,,,0,396000,107.4
100,399900,,,,,,,,,,,0,400000,107.5
101,403900,2.455665,2.494132,-27.165493,26.2505,26.2502,29.0531,26.8191,1.0263,963.98,1001.0,100,404000,108.9
102,407900,2.882349,2.891050,-28.081238,27.1457,27.1465,32.6772,29.9791,1.0095,,,0,408000,110.3
103,411900,3.066388,3.078687,-28.888991,27.9532,27.9528,34.2927,31.0425,1.0481,,,0,412000,111.7
104,415900,3.063487,3.071079,-29.626776,28.7028,28.7030,36.6735,33.5434,1.0642,,,0,416000,113.0
105,419900,,,,,,,,,,,0,420000,113.2
106,423900,3.196675,3.208470,-30.232247,29.3479,29.3482,38.1784,34.4279,1.0951,,,0,424000,114.5
107,427900,3.226817,3.233541,-30.856807,29.9477,29.9479,38.3641,34.3593,1.0246,,,0,428000,115.8
108,431900,3.340295,3.351542,-31.470463,30.5840,30.5836,39.8118,35.2517,1.0187,,,0,432000,117.2
109,435900,3.318044,3.317159,-32.040499,31.1462,31.1467,39.6179,34.7261,1.0413,,,0,436000,118.4
110,439900,,,,,,,,,,,0,440000,118.6
111,443900,3.308296,3.329297,-32.592186,31.6692,31.6691,39.4567,36.1108,1.0297,,,0,444000,119.9
112,447900,3.433530,3.455924,-33.004666,32.1269,32.1270,40.9752,37.6251,1.0875,,,0,448000,121.2
113,451900,3.423495,3.425730,-33.483471,32.6073,32.6075,42.1696,37.7688,1.0822,,,0,452000,122.6
114,455900,3.526008,3.540251,-33.935367,33.0428,33.0429,42.0273,37.2487,1.0654,,,0,456000,123.9
115,459900,,,,,,,,,,,0,460000,124.0
116,463900,3.531092,3.544001,-34.288981,33.4151,33.4151,43.2221,38.7167,1.0847,,,0,464000,125.4
117,467900,3.636144,3.635882,-34.715129,33.8297,33.8301,44.4935,39.5170,1.1388,,,0,468000,126.8
118,471900,3.694222,3.707565,-35.108179,34.2062,34.2064,46.3172,41.7198,1.1491,,,0,472000,128.1
119,475900,3.818258,3.826654,-35.427980,34.5759,34.5758,47.4719,41.7494,1.1150,,,0,476000,129.5
120,479900,,,,,,,,,,,0,480000,129.6
121,483900,3.748787,3.769543,-35.898984,34.9365,34.9366,46.2909,41.3923,1.1132,,,0,484000,131.0
122,487900,3.776172,3.773884,-36.295359,35.2732,35.2734,48.6305,42.5377,1.1465,,,0,488000,132.4
123,491900,3.768979,3.785472,-36.844277,35.7935,35.7936,48.6814,44.0141,1.1410,,,0,492000,133.7
124,495900,3.822397,3.829647,-37.171875,36.1963,36.1963,48.2293,42.5943,1.1405,,,0,496000,135.0
125,499900,,,,,,,,,,,0,500000,135.2
126,503900,3.864802,3.880363,-37.478241,36.4753,36.4754,46.0917,41.7511,1.0802,703.71,1001.0,100,504000,136.5
127,507900,4.466636,4.479416,-38.324859,37.3570,37.3574,50.6060,45.7504,1.1369,,,0,508000,137.8
128,511900,4.680580,4.682346,-39.370106,38.3652,38.3654,53.7709,47.8034,1.1520,,,0,512000,139.1
129,515900,4.958612,4.960749,-40.361737,39.3647,39.3644,59.4820,52.8910,1.1859,,,0,516000,140.4
130,519900,,,,,,,,,,,0,520000,140.6
131,523900,5.028062,5.051718,-41.287936,40.2660,40.2658,60.0949,52.6798,1.2007,,,0,524000,141.9
132,527900,5.077152,5.106661,-42.257272,41.2742,41.2748,61.7550,54.4775,1.1997,,,0,528000,143.2
133,531900,5.183651,5.196154,-43.209804,42.1514,42.1518,61.8610,54.9888,1.1534,,,0,532000,144.6
134,535900,5.441174,5.456101,-44.095980,43.0866,43.0862,65.1476,56.5748,1.2272,,,0,536000,145.8
135,539900,,,,,,,,,,,0,540000,146.0
136,543900,5.763756,5.802104,-44.941590,43.9125,43.9129,65.2957,58.1990,1.2329,,,0,544000,147.3
137,547900,5.710474,5.764257,-45.822526,44.8459,44.8457,67.1221,59.6664,1.2062,,,0,548000,148.6
138,551900,5.734249,5.769456,-46.797081,45.7800,45.7807,68.2817,60.5120,1.2547,,,0,552000,149.9
139,555900,5.840638,5.895144,-47.743885,46.7212,46.7209,70.2942,62.1508,1.2840,,,0,556000,151.3
140,559900,,,,,,,,,,,0,560000,151.4
141,563900,6.171719,6.221412,-48.528628,47.4544,47.4545,70.9667,63.8856,1.1926,,,0,564000,152.7
142,567900,6.244163,6.284962,-49.420852,48.3457,48.3461,73.7694,63.7439,1.3370,,,0,568000,154.1
143,571900,5.932180,5.984295,-50.309809,49.1898,49.1897,71.9707,63.4666,1.2923,,,0,572000,155.4
144,575900,6.224149,6.297810,-51.208160,50.0515,50.0513,75.0737,67.1939,1.2860,,,0,576000,156.8
145,579900,,,,,,,,,,,0,580000,156.9
146,583900,6.325496,6.398421,-52.041340,50.9617,50.9617,77.2010,68.6158,1.3436,,,0,584000,158.3
147,587900,6.626171,6.673787,-53.001579,51.8572,51.8576,78.4584,68.0956,1.3266,,,0,588000,159.7
148,591900,6.661575,6.732927,-53.844753,52.7179,52.7174,80.0844,70.6347,1.3232,,,0,592000,161.0
149,595900,6.685516,6.737149,-54.740583,53.5357,53.5354,85.4063,74.8994,1.3254,,,0,596000,162.3
150,599900,,,,,,,,,,,0,600000,162.5
151,603900,6.904708,6.960861,-55.729123,54.5645,54.5644,81.8982,72.9852,1.3416,2211.29,1001.0,100,604000,163.8
152,607900,9.399811,9.484503,-56.585314,55.4540,55.4534,97.7878,86.3091,1.4656,,,0,608000,165.2
153,611900,9.274124,9.332707,-58.000656,56.8109,56.8110,102.4764,89.4642,1.3839,,,0,612000,166.6
