epoch,step,loss_q,loss_pi,q_val,grad_q,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s,det_loss,det_dist_loss,det_alpha_loss
1,3900,,,,,,,,,0,0,4000,0.2,,,
2,7900,,,,,,,,,0,0,8000,0.4,,,
3,11900,0.108071,-1.649397,0.6741,0.8173,0.0374,0.0042,,,0,0,12000,2.0,,,
4,15900,0.153857,-1.860541,1.5040,1.4904,0.0857,0.0062,,,0,0,16000,3.4,,,
5,19900,,,,,,,,,0,0,20000,3.6,,,
6,23900,0.188990,-2.288303,1.5744,2.7589,0.2518,0.0113,,,0,0,24000,5.0,,,
7,27900,0.246448,-3.237566,2.4909,3.8170,0.4007,0.0168,,,0,0,28000,6.5,,,
8,31900,0.234178,-4.205635,3.4393,4.6913,0.5409,0.0168,,,0,0,32000,8.0,,,
9,35900,0.229951,-5.100551,4.3846,4.5525,0.5072,0.0174,,,0,0,36000,9.5,,,
10,39900,,,,,,,,,0,0,40000,9.7,,,
11,43900,0.219365,-5.488279,4.8489,4.5603,0.5161,0.0190,,,0,0,44000,11.2,,,
12,47900,0.195982,-5.778822,5.0733,4.2086,0.4149,0.0197,,,0,0,48000,12.7,,,
13,51900,0.212521,-6.335516,5.6544,4.0441,0.3669,0.0213,,,0,0,52000,14.2,,,
14,55900,0.174847,-6.905289,6.1654,3.5469,0.3425,0.0208,,,0,0,56000,15.7,,,
15,59900,,,,,,,,,0,0,60000,15.8,,,
16,63900,0.174826,-7.207751,6.5661,3.3995,0.3223,0.0215,,,0,0,64000,17.3,,,
17,67900,0.181324,-7.493718,6.8686,3.5467,0.3064,0.0231,,,0,0,68000,18.8,,,
18,71900,0.209245,-7.753108,7.1518,3.8791,0.3324,0.0259,,,0,0,72000,20.3,,,
19,75900,0.228054,-8.178367,7.5499,4.3334,0.3693,0.0285,,,0,0,76000,21.8,,,
20,79900,,,,,,,,,0,0,80000,22.0,,,
21,83900,0.258060,-8.903151,8.2061,5.1148,0.3892,0.0330,,,0,0,84000,23.6,,,
22,87900,0.301016,-10.034927,9.2740,5.3615,0.3875,0.0357,,,0,0,88000,25.1,,,
23,91900,0.343410,-11.511587,10.6702,6.0157,0.4122,0.0394,,,0,0,92000,26.6,,,
24,95900,0.368911,-13.245129,12.3844,6.7671,0.4039,0.0428,,,0,0,96000,28.1,,,
25,99900,,,,,,,7.62,1000.0,100,44,100000,28.3,,,
26,103900,0.939844,-15.128905,14.2421,8.6750,0.4395,0.0476,,,0,0,104000,30.0,0.737836,0.617141,0.060347
27,107900,1.008816,-18.103684,17.2453,8.8729,0.4771,0.0486,,,0,0,108000,31.8,0.476491,0.387732,0.044379
28,111900,1.041626,-20.770508,19.9872,9.1451,0.5224,0.0510,,,0,0,112000,33.5,0.289337,0.228690,0.030323
29,115900,1.113699,-23.214866,22.4650,8.8313,0.5444,0.0532,,,0,0,116000,35.2,0.210448,0.161164,0.024642
30,119900,,,,,,,,,0,0,120000,35.4,,,
31,123900,1.098200,-25.778680,25.0460,8.3784,0.5627,0.0577,,,0,0,124000,37.1,0.165646,0.121006,0.022320
32,127900,1.258499,-28.372486,27.6467,9.1442,0.5937,0.0615,,,0,0,128000,38.8,0.117808,0.076678,0.020565
33,131900,1.343321,-30.923039,30.1991,9.2958,0.6332,0.0669,,,0,0,132000,40.5,0.074569,0.038097,0.018236
34,135900,1.386580,-33.603419,32.8405,9.2293,0.6391,0.0740,,,0,0,136000,42.3,0.062526,0.027393,0.017567
35,139900,,,,,,,,,0,0,140000,42.4,,,
36,143900,1.476118,-36.574500,35.7795,10.2784,0.6807,0.0800,,,0,0,144000,44.1,0.063312,0.027681,0.017816
37,147900,1.595821,-39.538919,38.7129,11.3126,0.6997,0.0865,,,0,0,148000,45.8,0.054466,0.021298,0.016584
38,151900,1.704932,-42.855031,42.0030,11.6110,0.7608,0.0952,,,0,0,152000,47.6,0.044529,0.013841,0.015344
39,155900,1.794249,-46.260060,45.3704,11.4986,0.8094,0.1016,,,0,0,156000,49.3,0.041570,0.012915,0.014327
40,159900,,,,,,,,,0,0,160000,49.5,,,
41,163900,1.885842,-49.819751,48.8908,11.6367,0.8330,0.1075,,,0,0,164000,51.2,0.034254,0.011459,0.011397
42,167900,1.992075,-53.506692,52.5431,12.6929,0.8566,0.1141,,,0,0,168000,52.9,0.032114,0.013681,0.009217
43,171900,2.142859,-57.247021,56.2873,13.3434,0.8732,0.1188,,,0,0,172000,54.6,0.023628,0.009101,0.007264
44,175900,2.250306,-61.181486,60.1906,13.4819,0.9325,0.1266,,,0,0,176000,56.4,0.022068,0.010576,0.005746
45,179900,,,,,,,,,0,0,180000,56.6,,,
46,183900,2.375079,-65.042914,64.0226,13.7439,0.9147,0.1343,,,0,0,184000,58.3,0.020350,0.009648,0.005351
47,187900,2.499337,-68.989426,67.9852,13.8645,1.0004,0.1426,,,0,0,188000,60.1,0.013816,0.005195,0.004311
48,191900,2.597096,-72.769299,71.7843,14.6703,1.0048,0.1498,,,0,0,192000,61.8,0.010904,0.003631,0.003636
49,195900,2.701026,-76.765493,75.7730,15.1043,1.0256,0.1549,,,0,0,196000,63.6,0.010103,0.003212,0.003445
50,199900,,,,,,,,,0,0,200000,63.8,,,
51,203900,9.574638,-80.559000,79.5832,18.8102,1.0206,0.1597,2018.33,1001.0,100,48,204000,65.5,0.685354,0.519074,0.083140
52,207900,9.692113,-84.483891,83.5287,19.2389,1.0563,0.1673,,,0,0,208000,67.3,0.214254,0.154981,0.029636
53,211900,11.115437,-88.488793,87.5616,20.2784,1.0819,0.1746,,,0,0,212000,69.1,0.117127,0.078729,0.019199
54,215900,11.559949,-92.444057,91.4942,20.2469,1.0855,0.1818,,,0,0,216000,70.8,0.072875,0.046657,0.013109
55,219900,,,,,,,,,0,0,220000,71.0,,,
56,223900,10.609670,-96.469965,95.5222,20.5086,1.1348,0.1858,,,0,0,224000,72.7,0.034902,0.019483,0.007709
57,227900,11.156640,-100.408118,99.4452,20.9346,1.1619,0.1927,,,0,0,228000,74.5,0.028279,0.017571,0.005354
58,231900,11.539972,-104.383075,103.4562,22.5665,1.1649,0.2041,,,0,0,232000,76.2,0.018564,0.010779,0.003892
59,235900,12.783006,-108.255349,107.3120,22.1206,1.2276,0.2222,,,0,0,236000,78.0,0.017620,0.010410,0.003605
60,239900,,,,,,,,,0,0,240000,78.2,,,
61,243900,12.344829,-112.198361,111.2556,21.8008,1.1927,0.2288,,,0,0,244000,79.9,0.012840,0.007065,0.002887
62,247900,14.037571,-115.972728,115.0150,23.9068,1.2470,0.2345,,,0,0,248000,81.6,0.010938,0.005796,0.002571
63,251900,12.807256,-119.721798,118.7840,23.3491,1.2279,0.2419,,,0,0,252000,83.4,0.006817,0.002042,0.002387
64,255900,13.358367,-123.625392,122.6844,23.8489,1.2584,0.2475,,,0,0,256000,85.1,0.012164,0.007963,0.002100
65,259900,,,,,,,,,0,0,260000,85.2,,,
66,263900,13.336344,-127.276525,126.3373,24.7812,1.2684,0.2549,,,0,0,264000,86.9,0.010800,0.007013,0.001893
67,267900,12.663744,-130.873262,129.9438,24.2685,1.3148,0.2558,,,0,0,268000,88.7,0.012858,0.008720,0.002069
68,271900,14.243366,-134.394435,133.4677,25.6526,1.2569,0.2683,,,0,0,272000,90.4,0.025061,0.020354,0.002354
69,275900,14.393262,-138.010138,137.0888,24.9425,1.3263,0.2712,,,0,0,276000,92.2,0.009175,0.005140,0.002018
70,279900,,,,,,,,,0,0,280000,92.4,,,
71,283900,14.379458,-141.529076,140.6023,27.6144,1.4122,0.2830,,,0,0,284000,94.1,0.009922,0.006144,0.001889
72,287900,14.654403,-144.815964,143.9243,26.9443,1.3428,0.2858,,,0,0,288000,95.9,0.008330,0.005053,0.001639
73,291900,15.286700,-148.259820,147.3756,27.3440,1.3842,0.2914,,,0,0,292000,97.6,0.010496,0.007012,0.001742
