epoch,step,loss_q1,loss_q2,loss_pi,q1_val,q2_val,grad_q1,grad_q2,grad_pi_rob,grad_pi_adv,mean_return,mean_length,episodes,dist_episodes,buffer_size,elapsed_s
1,3900,,,,,,,,,,108.16,23.3,115,63,4000,0.5
2,7900,,,,,,,,,,119.49,26.2,138,55,8000,1.1
3,11900,1.144848,1.142061,-7.926570,7.5405,7.5420,8.5950,8.9542,0.0218,0.0011,149.91,32.1,117,56,12000,7.2
4,15900,1.668241,1.687094,-13.798677,13.5292,13.5289,34.1880,34.6786,0.0093,0.0010,200.59,42.2,100,51,16000,13.4
5,19900,,,,,,,,,,168.25,36.9,81,46,20000,14.1
6,23900,3.318857,3.314104,-19.167668,18.9973,18.9973,59.6678,59.7794,0.0028,0.0000,246.23,55.3,56,24,24000,20.0
7,27900,5.795694,5.599606,-24.523564,24.3155,24.3164,91.2033,87.2306,0.0082,0.0000,127.15,29.9,235,122,28000,26.2
8,31900,11.110951,10.976693,-27.686398,27.4136,27.4132,142.8261,138.2393,0.0087,0.0000,57.47,15.3,211,118,32000,32.3
9,35900,15.946044,15.924017,-31.235684,30.9321,30.9325,185.3448,175.9429,0.0225,0.0000,81.74,22.8,195,97,36000,38.4
10,39900,,,,,,,,,,84.63,23.7,156,85,40000,39.0
11,43900,20.415778,20.535407,-34.464301,34.1697,34.1738,205.3615,205.3513,0.0197,0.0075,86.23,24.2,158,81,44000,45.2
12,47900,26.930641,27.225138,-37.233965,36.9014,36.9024,240.5209,245.2118,0.0001,0.0092,86.55,24.2,180,95,48000,51.3
13,51900,33.188752,34.250990,-39.572119,39.2279,39.2292,292.7334,278.0274,0.0000,0.0100,85.44,24.0,165,88,52000,57.4
14,55900,40.528341,41.342632,-41.526904,41.1765,41.1763,327.4311,318.2469,0.0000,0.0092,87.02,24.3,160,88,56000,63.5
15,59900,,,,,,,,,,86.59,24.4,163,82,60000,64.1
16,63900,44.994406,46.692555,-43.378186,43.0866,43.0866,389.8416,368.0682,0.0000,0.0081,84.94,24.0,173,89,64000,70.3
17,67900,48.655192,49.949569,-44.907591,44.7374,44.7364,437.8506,392.0440,0.0000,0.0069,85.59,24.1,156,72,68000,76.5
18,71900,50.152558,50.345694,-46.597765,46.2418,46.2426,495.4113,412.6244,0.0736,0.0058,84.23,23.6,193,99,72000,82.7
19,75900,73.194844,74.463820,-49.178289,48.3013,48.2981,690.2248,572.2990,0.1654,0.0059,69.55,17.3,216,113,76000,88.8
20,79900,,,,,,,,,,183.85,46.1,12,5,80000,89.5
21,83900,79.203008,81.293857,-52.185829,51.2421,51.2411,769.1474,652.7964,0.1816,0.0066,281.67,62.7,88,57,84000,95.6
22,87900,80.944399,84.372275,-55.050316,54.1341,54.1364,859.5849,761.9147,0.2073,0.0081,243.92,50.0,99,56,88000,101.8
23,91900,88.891267,88.580700,-57.562332,56.6359,56.6325,937.1655,856.0809,0.2678,0.0089,210.98,43.2,92,42,92000,108.0
24,95900,94.310159,93.559357,-60.212147,59.1729,59.1736,966.2193,955.7820,0.2943,0.0107,226.09,46.3,80,40,96000,114.1
25,99900,,,,,,,,,,229.31,47.0,91,42,100000,114.8
26,103900,102.035205,100.721830,-62.529082,61.4270,61.4313,1126.9936,1097.6845,0.3286,0.0128,216.56,43.8,85,42,104000,120.9
27,107900,106.542131,105.166740,-64.700805,63.6185,63.6226,1105.2203,1244.0343,0.4083,0.0143,212.84,43.0,92,45,108000,127.2
28,111900,114.536188,112.774014,-66.919685,65.8553,65.8628,1213.4206,1432.8819,0.4305,0.0166,217.13,43.8,90,43,112000,133.4
29,115900,118.109803,114.057786,-69.252111,68.1693,68.1671,1247.0422,1588.6030,0.4680,0.0203,220.99,44.5,92,42,116000,139.5
30,119900,,,,,,,,,,218.68,44.0,93,43,120000,140.2
31,123900,119.747266,117.700678,-71.408044,70.3839,70.3795,1263.2737,1633.0010,0.5604,0.0231,216.91,43.8,95,41,124000,146.3
